Polling firm,Date,Sample size,A,O,V,Ø,I,Å,B,F,C,K,D,E,P,Other,Lead,Blue,Red
Megafon,20–23 May 2019,"1,001",26.7,11.6,17.5,8.1,4.3,3.4,7.7,7.8,5.4,1.7,3.2,0.6,1.9,0.1,9.2,46.2,53.7
Greens,22 May 2019,"1,000",26.6,10.4,18.4,9.3,4.6,4.2,7.9,7.4,3.2,1.6,2.1,0.7,2.8,0.8,8.2,43.8,55.4
Voxmeter,22 May 2019,"1,002",26.1,10.6,18.6,9.5,4.4,4.0,7.8,7.1,3.5,2.3,1.5,0.9,2.9,0.8,7.5,44.7,54.5
Gallup,21 May 2019,"1,503",27.4,11.9,19.8,6.6,3.8,3.0,7.5,8.1,4.4,1.9,2.9,1.1,1.3,0.2,7.6,47.1,52.6
Voxmeter,21 May 2019,"1,004",26.5,10.8,18.9,9.1,3.9,3.6,7.8,7.6,3.7,2.1,2.0,0.7,2.8,0.5,7.6,44.9,54.6
Epinion,18–20 May 2019,"1,629",29.8,10.6,17.1,8.9,4.6,3.3,7.7,6.8,4.7,1.2,2.3,0.4,2.6,0.0,12.7,43.5,56.5
Voxmeter,18–20 May 2019,"1,008",27.5,11.3,18.5,8.8,3.5,3.6,7.6,7.3,4.2,2.2,1.8,0.5,2.6,0.6,9.0,44.6,54.8
YouGov,16–20 May 2019,"1,087",28.2,11.1,15.8,9.0,4.0,3.3,7.0,8.0,4.8,1.1,4.1,0.8,2.8,0.0,12.4,44.4,55.6
Norstat,20 May 2019,"1,207",28.8,11.2,18.3,8.2,2.9,3.4,7.3,6.9,3.6,1.5,3.2,1.8,2.5,0.4,10.5,45.0,54.6
Voxmeter,19 May 2019,"1,009",27.9,11.0,18.8,8.4,3.2,4.0,8.1,7.6,4.1,1.9,1.9,0.3,2.4,0.5,9.1,43.6,56.0
Voxmeter,18 May 2019,"1,008",27.7,10.8,18.6,9.0,3.3,3.7,8.7,7.3,4.2,1.6,2.2,0.1,2.3,0.5,9.1,43.1,56.4
Voxmeter,17 May 2019,"1,006",27.8,10.1,18.6,9.6,3.9,3.3,8.5,7.7,4.0,1.7,2.3,0.1,2.6,0.2,9.6,42.9,56.9
YouGov,13–17 May 2019,973,24.8,12.5,15.7,9.2,3.1,2.8,7.0,8.6,6.8,0.9,3.8,1.0,3.9,0.0,9.1,47.7,52.3
Voxmeter,16 May 2019,"1,012",28.5,11.0,17.5,10.2,3.7,2.8,8.0,7.4,4.5,1.5,2.1,0.1,2.5,0.1,11.0,42.9,56.9
Gallup,15 May 2019,"1,532",26.1,13.4,17.8,8.1,3.9,3.3,7.3,8.3,5.9,1.4,2.1,0.6,1.6,0.0,8.3,46.7,53.1
Voxmeter,15 May 2019,"1,010",28.2,11.5,17.2,10.5,4.1,2.5,7.6,7.7,4.9,1.3,1.9,0.1,2.3,0.2,11.0,43.3,56.5
YouGov,15 May 2019,939,26.7,12.6,15.6,8.8,2.5,3.4,7.3,7.4,7.3,0.8,2.9,0.9,4.0,0.0,9.9,46.6,56.2
Voxmeter,14 May 2019,"1,067",28.7,11.9,17.8,10.2,3.7,2.9,7.1,7.3,5.4,1.3,1.5,0.1,2.0,0.1,9.9,43.7,56.2
Epinion,13 May 2019,"1,548",27.1,11.6,18.4,9.5,3.7,3.3,7.4,8.0,4.5,0.5,2.6,0.7,2.6,0.0,8.7,44.6,55.3
Voxmeter,13 May 2019,"1,004",28.5,11.6,18.6,9.9,3.3,3.3,6.8,7.0,5.2,1.3,1.7,0.2,2.4,0.2,9.9,44.3,55.5
YouGov,8–12 May 2019,964,29.1,11.2,17.2,7.3,2.4,4.0,6.8,6.8,5.8,0.6,4.3,0.5,4.0,0.0,11.9,46.0,54.0
Voxmeter,12 May 2019,"1,003",28.2,12.0,19.1,9.6,3.4,3.4,6.9,6.7,4.7,1.6,1.5,0.2,2.3,0.4,9.1,45.2,54.8
YouGov,7–11 May 2019,"1,041",27.7,11.8,17.5,7.6,2.9,4.3,5.8,7.5,5.6,0.7,4.2,0.4,4.0,0.0,10.2,47.1,52.9
Voxmeter,11 May 2019,"1,012",27.7,11.8,19.7,9.3,3.9,3.1,7.4,6.8,4.3,1.5,1.6,0.3,2.0,0.6,8.0,45.1,54.3
Norstat,10 May 2019,"1,207",27.3,11.4,16.5,10.5,3.3,3.4,6.3,7.5,5.9,1.3,2.4,1.1,2.6,0.5,10.8,44.5,55.0
Voxmeter,10 May 2019,"1,011",27.9,11.3,19.8,9.6,4.1,2.8,7.8,7.0,3.9,1.8,1.8,0.2,1.6,0.4,8.1,44.5,55.1
Megafon,8–10 May 2019,"1,010",24.7,10.8,19.2,9.4,3.8,2.9,8.4,8.0,5.0,1.4,2.8,0.7,2.8,0.1,5.5,46.5,53.4
Norstat,2–8 May 2019,"1,207",28.2,12.7,17.3,9.2,3.7,3.8,6.3,6.8,4.3,1.4,2.1,0.5,3.5,0.0,10.9,45.5,54.3
YouGov,5–8 May 2019,983,26.5,10.8,17.4,7.9,3.2,4.7,6.5,8.4,4.6,0.5,5.0,0.6,3.9,0.0,9.4,46.0,54.0
Gallup,8 May 2019,"1,690",24.3,12.5,17.9,9.2,4.1,3.1,8.4,7.2,4.8,1.1,2.7,1.1,3.3,0.0,6.4,45.6,54.4
Megafon,7 May 2019,"1,000",25.2,11.6,19.6,9.2,3.0,3.4,8.7,7.8,4.6,1.2,2.7,0.8,2.1,0.1,5.6,44.5,55.5
Greens,7 May 2019,–,27.5,12.2,19.4,10.5,4.8,3.2,7.1,6.7,3.5,1.0,0.9,0.2,2.4,0.6,8.1,44.4,58.2
Epinion,7 May 2019,"1,616",28.1,13.9,17.5,8.9,3.6,4.3,5.5,7.1,5.2,0.4,2.9,0.2,2.6,0.0,10.6,46.3,53.8
Voxmeter,6 May 2019,"1,045",27.5,12.2,19.4,10.5,4.8,3.2,7.1,6.7,3.5,1.0,0.9,0.2,2.4,0.6,8.1,44.4,55.0
YouGov,1–3 May 2019,"1,656",23.0,11.2,17.1,9.1,3.3,3.4,6.6,8.6,5.9,0.9,6.3,0.8,3.9,0.0,5.9,49.4,50.7
Megafon,29 Apr–2 May 2019,"1,008",24.7,12.6,18.4,9.8,3.3,3.5,8.8,7.5,4.2,0.5,2.6,1.3,2.7,0.1,6.3,45.6,54.3
YouGov,26–29 Apr 2019,"1,890",25.8,12.2,17.6,9.4,4.2,3.8,6.7,7.8,5.0,0.9,5.0,1.1,,0.5,8.1,46.0,53.5
Voxmeter,22–28 Apr 2019,"1,021",27.5,13.6,19.2,9.3,4.2,3.7,7.6,5.6,3.8,0.9,2.5,0.2,,1.5,8.3,44.4,54.1
Voxmeter,15–21 Apr 2019,"1,031",28.9,15.0,19.0,9.3,4.1,3.1,6.8,6.2,4.3,0.9,2.0,0.1,,0.3,9.7,45.4,54.3
Megafon,15–17 Apr 2019,"1,008",25.1,13.6,18.4,9.3,4.4,3.3,7.8,8.1,4.1,0.8,3.6,1.3,,0.2,8.1,46.2,53.6
Voxmeter,8–13 Apr 2019,"1,023",28.5,14.0,18.8,9.8,4.8,2.9,6.9,6.2,4.1,1.3,2.2,0.2,,0.3,9.7,45.4,54.3
Epinion,3–9 Apr 2019,"1,540",29.0,13.4,18.5,9.6,4.2,2.4,6.3,7.9,4.6,0.4,2.7,0.9,,0.0,10.5,44.7,55.2
Voxmeter,1–7 Apr 2019,"1,030",27.9,14.8,18.3,8.6,4.4,3.4,7.2,6.4,4.6,0.9,2.8,0.3,,0.4,9.6,46.1,53.5
Greens,1 Apr 2019,"1,078",30.4,14.4,15.8,9.0,4.0,3.0,5.8,7.0,4.6,1.2,3.3,1.0,,0.5,14.6,44.3,55.2
YouGov,31 Mar 2019,–,26.5,12.1,17.4,9.5,4.2,4.2,5.5,7.4,5.6,1.2,5.5,0.8,,0.1,8.1,46.8,53.1
Voxmeter,25–31 Mar 2019,"1,056",28.7,15.4,18.7,8.3,4.0,4.0,7.2,5.7,4.3,0.9,1.9,0.4,,0.5,10.0,45.6,53.9
Norstat,29 Mar 2019,–,28.7,14.4,16.9,8.9,3.2,4.3,7.0,6.2,4.4,0.9,4.1,0.8,,0.2,11.8,44.7,55.1
Megafon,25–28 Mar 2019,"1,006",25.4,12.6,17.3,9.1,4.8,3.7,8.1,7.2,5.4,1.1,3.8,1.3,,0.2,8.1,46.3,53.5
Epinion,18–25 Mar 2019,"1,509",29.5,15.1,17.0,9.4,3.9,3.1,5.7,6.9,5.2,0.5,3.1,0.6,,0.0,12.5,45.4,54.6
Voxmeter,18–24 Mar 2019,"1,044",28.1,15.1,19.3,8.8,4.3,3.4,6.7,5.9,4.5,0.7,1.9,0.9,,0.4,9.2,46.7,52.9
Voxmeter,11–17 Mar 2019,"1,062",27.7,14.6,18.9,9.2,4.9,3.6,7.0,6.2,4.1,0.5,2.1,0.8,,0.4,8.8,45.9,53.7
Gallup,8–14 Mar 2019,"1,587",26.0,13.7,19.7,7.9,5.4,3.7,6.9,6.7,5.2,0.9,2.6,1.3,,0.0,6.3,48.8,51.2
Voxmeter,4–9 Mar 2019,"1,037",28.6,14.2,18.6,9.0,5.3,4.3,7.2,5.7,3.8,0.4,1.7,0.5,,0.7,10.0,44.5,54.8
Voxmeter,3 Mar 2019,–,28.0,14.6,18.1,8.6,5.7,4.3,6.7,5.9,4.1,0.9,2.1,0.6,,0.4,9.9,46.1,53.5
YouGov,1–3 Mar 2019,"1,738",26.7,15.5,15.9,8.8,5.0,4.2,6.1,5.9,4.7,0.9,4.9,1.3,,0.1,8.1,48.2,51.7
Megafon,25–28 Feb 2019,"1,009",24.4,13.4,18.0,10.1,5.4,3.8,7.0,8.0,3.8,1.4,3.4,1.3,,0.0,6.4,46.7,53.3
Norstat,26 Feb 2019,"1,205",28.8,15.7,18.6,8.0,4.0,3.2,5.6,6.2,4.1,1.1,2.6,0.2,,1.9,10.2,46.3,51.8
Epinion,19–25 Feb 2019,"1,532",28.2,15.2,17.8,9.7,4.5,3.5,6.1,5.9,3.8,0.7,2.8,1.8,,0.0,10.4,46.6,53.4
Voxmeter,18–24 Feb 2019,"1,032",28.1,14.8,18.6,9.1,5.0,3.7,6.7,5.9,3.6,0.7,2.0,1.4,,0.4,9.5,46.1,53.5
Voxmeter,11–17 Feb 2019,"1,022",29.0,15.4,18.1,8.6,5.7,4.1,6.3,5.2,3.6,1.1,1.9,,,1.0,10.9,45.8,53.2
Voxmeter,4–9 Feb 2019,"1,032",28.3,15.8,17.9,8.6,6.0,3.7,6.8,5.8,3.8,1.0,1.9,,,0.4,10.4,46.4,53.2
Voxmeter,28 Jan–3 Feb 2019,"1,045",27.5,16.2,18.4,9.0,5.3,3.2,7.2,5.5,4.2,1.1,2.0,,,0.4,9.1,47.2,52.4
Megafon,28–31 Jan 2019,"1,007",25.8,15.8,17.0,8.9,3.3,4.5,8.3,7.5,4.7,0.8,3.2,,,0.2,8.8,44.8,55.0
Voxmeter,21–27 Jan 2019,"1,039",28.1,16.8,18.9,8.5,4.6,3.7,6.9,5.0,4.0,0.9,2.2,,,0.4,9.2,47.4,52.2
Norstat,22 Jan 2019,"1,207",26.4,17.6,19.3,7.9,4.3,4.2,5.3,6.4,3.8,1.2,3.1,,,0.5,7.1,49.3,50.2
Epinion,14–21 Jan 2019,"1,745",27.9,16.6,17.5,8.9,4.6,4.1,6.2,6.7,4.0,0.6,2.8,,,0.1,10.4,46.1,53.8
Voxmeter,14–20 Jan 2019,"1,032",26.9,17.8,18.3,8.8,4.3,3.6,7.5,5.6,3.5,1.2,2.1,,,0.4,8.6,47.2,52.4
YouGov,11–14 Jan 2019,"1,917",23.8,15.9,17.7,10.2,4.6,4.0,6.2,6.1,4.8,1.0,5.7,,,0.0,6.1,49.7,50.3
Voxmeter,7–12 Jan 2019,"1,027",26.4,18.2,17.9,9.9,4.7,3.8,6.9,4.8,4.1,1.1,1.9,,,0.3,8.2,47.9,51.8
Voxmeter,2–6 Jan 2019,"1,048",25.8,17.7,19.1,9.6,5.2,3.7,6.6,5.0,4.3,0.8,2.1,,,0.2,6.7,49.2,50.7
