Polling firm,Date,T-Days,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,Others,Sample size
Norstat,29 Aug 2017,-13,3.8,5.2,5.2,25.6,10.3,3.1,4.9,24.2,16.7,1.7,932
Kantar TNS,29 Aug 2017,-13,2.6,6.5,3.6,25.7,10.4,3.9,4.2,25.1,16.3,1.7,1789
Norstat,28 Aug 2017,-14,2.7,6.1,4.2,24.4,10.6,3.3,6.0,25.7,15.0,2.0,987
Kantar TNS,28 Aug 2017,-14,2.6,6.5,3.9,26.5,11.2,3.7,4.0,24.0,16.0,1.6,1891
Kantar TNS,25 Aug 2017,-17,2.9,5.7,4.6,26.8,11.2,3.1,3.7,24.2,16.7,1.2,1694
InFact,23 Aug 2017,-19,3.6,6.6,4.9,27.6,12.0,3.6,5.3,22.2,12.0,2.3,2043
Ipsos MMI,23 Aug 2017,-19,3.8,5.9,2.6,29.5,10.0,3.4,4.4,23.3,15.0,2.1,933
Kantar TNS,23 Aug 2017,-19,3.1,5.5,4.7,27.9,12.1,3.2,3.2,23.3,15.4,1.5,1070
Respons Analyse,23 Aug 2017,-19,3.2,4.5,3.9,27.3,10.8,3.7,4.5,25.1,15.5,1.5,1000
Norstat,21 Aug 2017,-21,2.7,5.5,4.4,29.0,9.5,4.0,5.1,22.4,14.2,3.1,774
Sentio,20 Aug 2017,-22,2.5,5.1,6.1,27.0,11.1,4.1,5.3,24.2,13.1,1.6,1000
Kantar TNS,18 Aug 2017,-24,3.8,6.4,3.4,28.4,10.5,3.5,5.3,23.8,12.7,2.2,976
InFact,17 Aug 2017,-25,3.7,5.6,3.9,30.5,10.9,4.1,5.2,21.9,12.1,2.4,2030
Norstat,14 Aug 2017,-28,1.8,5.2,4.6,27.1,9.2,3.9,5.0,23.8,16.7,2.7,756
Kantar TNS,11 Aug 2017,-31,4.7,3.6,3.1,30.3,12.6,4.4,3.9,21.5,13.7,2.1,977
Respons Analyse,10 Aug 2017,-32,2.7,6.4,3.7,28.1,10.1,3.6,5.1,24.8,13.6,1.9,1001
Opinion Perduco,7 Aug 2017,-35,2.9,4.1,4.3,30.0,10.8,3.2,6.0,24.9,12.3,1.5,950
Norfakta,2 Aug 2017,-40,1.8,4.6,2.1,31.9,9.5,3.1,4.7,26.1,13.8,2.5,1006
InFact,2 Aug 2017,-40,3.2,5.2,3.6,30.0,11.9,3.2,5.2,22.7,12.6,2.3,2015
Norfakta,5 Jul 2017,-68,1.8,4.6,3.9,32.2,9.7,3.3,5.2,22.9,14.7,1.7,1002
InFact,4 Jul 2017,-69,2.8,4.5,4.1,31.9,13.0,3.5,4.6,21.1,11.9,2.7,2016
Norstat,26 Jun 2017,-77,1.8,4.3,3.9,30.6,11.7,3.4,4.1,23.3,15.2,1.7,935
Sentio,22 Jun 2017,-81,3.3,4.3,3.9,30.6,11.3,3.6,4.8,24.2,11.6,2.8,1000
Ipsos MMI,21 Jun 2017,-82,3.3,4.7,3.2,31.7,12.2,4.0,3.9,23.1,12.8,1.2,1005
Kantar TNS,16 Jun 2017,-87,2.6,3.5,2.1,32.2,14.5,2.8,4.5,22.3,13.7,1.9,971
Respons Analyse,14 Jun 2017,-89,2.3,4.8,3.1,31.7,9.8,3.5,4.7,24.1,14.0,2.0,1002
Opinion Perduco,12 Jun 2017,-91,1.6,4.1,3.8,32.6,12.8,3.5,5.3,23.1,12.0,1.3,935
Norfakta,7 Jun 2017,-96,2.5,4.7,3.2,28.5,12.1,3.0,4.4,25.5,14.4,1.8,1002
InFact,7 Jun 2017,-96,3.5,4.5,3.6,32.3,11.3,3.2,4.8,20.5,12.5,3.3,2072
Norstat,5 Jun 2017,-98,1.2,4.3,2.8,33.0,11.6,3.4,4.4,23.7,14.0,1.6,927
InFact,31 May 2017,-103,2.5,4.6,2.8,34.8,12.8,3.0,4.8,21.2,10.9,2.6,1014
Norstat,29 May 2017,-105,1.7,3.4,2.9,31.0,12.5,3.1,4.2,22.7,15.9,2.5,926
Ipsos MMI,25 May 2017,-109,2.5,3.9,2.7,31.2,9.2,4.3,5.2,24.2,14.3,2.5,929
Sentio,22 May 2017,-112,2.8,4.3,3.1,30.9,15.3,3.2,3.8,24.1,11.0,1.6,1000
Opinion Perduco,15 May 2017,-119,3.8,4.1,3.1,29.4,12.1,2.9,5.5,21.8,15.1,2.1,951
Respons Analyse,10 May 2017,-124,2.1,3.8,2.6,30.9,11.4,3.4,4.4,23.9,16.1,1.4,1000
Kantar TNS,9 May 2017,-125,1.7,4.4,2.1,33.1,15.0,2.8,3.7,23.6,11.6,1.6,973
Norstat,8 May 2017,-126,2.2,4.4,2.6,32.0,11.2,3.2,5.2,24.0,12.8,2.4,935
Norfakta,3 May 2017,-131,2.3,3.7,2.9,33.7,11.0,3.2,5.0,23.9,13.0,1.4,1002
InFact,3 May 2017,-131,3.0,4.4,3.0,32.6,12.7,3.9,5.5,21.6,11.2,2.0,2020
Norstat,1 May 2017,-133,3.3,4.5,3.0,32.6,12.8,2.1,4.3,24.3,11.7,1.4,942
Ipsos MMI,26 Apr 2017,-138,3.9,4.5,2.4,33.5,11.1,4.3,4.9,21.9,12.9,0.6,933
Sentio,24 Apr 2017,-140,2.0,4.1,2.5,32.8,13.1,3.1,4.5,25.1,11.4,1.3,1000
Opinion Perduco,11 Apr 2017,-153,2.0,4.8,2.5,30.5,11.3,4.3,4.2,25.1,13.1,2.1,953
InFact,10 Apr 2017,-154,2.5,4.9,3.0,31.7,13.5,3.7,6.0,19.3,12.9,2.4,2052
Norfakta,5 Apr 2017,-159,2.7,3.8,2.8,32.2,10.7,3.6,3.8,23.8,14.3,2.2,1000
Respons Analyse,5 Apr 2017,-159,2.3,5.4,2.6,30.5,11.5,3.6,5.7,23.6,13.2,1.6,1000
Kantar TNS,4 Apr 2017,-160,1.7,4.7,3.1,28.9,15.8,3.2,3.9,24.2,12.1,1.9,975
Norstat,3 Apr 2017,-161,1.5,4.7,2.6,33.4,11.3,3.7,5.1,23.7,12.3,1.6,932
Ipsos MMI,29 Mar 2017,-166,2.5,3.9,2.4,30.9,13.4,4.2,5.3,25.3,10.6,1.6,950
Norstat,27 Mar 2017,-168,2.5,5.0,2.5,30.8,14.3,2.7,4.5,20.6,15.8,1.3,953
Sentio,20 Mar 2017,-175,2.8,4.2,3.6,34.1,12.3,3.9,5.0,22.7,10.8,0.7,1000
InFact,15 Mar 2017,-180,2.8,4.2,2.7,33.7,14.3,4.3,5.1,20.1,11.1,1.8,1020
Opinion Perduco,13 Mar 2017,-182,1.5,5.4,2.2,29.5,9.3,3.8,5.5,26.3,14.3,1.9,954
Kantar TNS,9 Mar 2017,-186,2.5,4.7,2.1,32.5,11.1,3.6,5.4,23.7,13.5,1.4,1055
Norfakta,8 Mar 2017,-187,2.7,4.5,2.5,34.4,8.9,3.3,4.2,25.3,12.6,2.0,1000
InFact,8 Mar 2017,-187,1.8,4.3,3.1,35.6,11.0,5.1,4.9,20.8,11.1,2.3,2030
Respons Analyse,8 Mar 2017,-187,2.6,4.6,3.5,32.0,10.7,3.7,5.4,24.8,11.4,1.3,1001
Norstat,6 Mar 2017,-189,2.0,4.4,2.9,32.8,10.9,3.9,4.6,22.4,14.4,2.5,927
Norstat,27 Feb 2017,-196,3.2,3.4,2.7,31.2,10.9,3.9,5.4,23.8,13.2,2.3,952
Ipsos MMI,22 Feb 2017,-201,3.0,3.8,2.2,31.6,11.4,3.5,5.2,23.8,14.1,1.2,947
Sentio,20 Feb 2017,-203,1.7,3.9,2.2,30.2,11.4,5.3,5.3,23.7,14.1,2.1,1000
Opinion Perduco,13 Feb 2017,-210,3.3,4.0,2.6,33.5,9.6,4.0,4.4,23.2,14.2,1.2,918
Kantar TNS,8 Feb 2017,-215,2.0,3.9,3.8,33.2,9.9,3.9,3.8,22.1,15.7,1.6,981
Norfakta,8 Feb 2017,-215,1.6,3.7,2.4,33.9,9.6,3.9,5.6,25.0,12.7,1.5,1002
Norstat,6 Feb 2017,-217,1.1,5.1,3.1,33.0,8.6,3.4,5.8,24.6,13.0,2.3,935
InFact,2 Feb 2017,-221,2.4,4.8,3.3,33.0,10.2,4.4,5.4,21.0,13.2,2.1,2031
Norstat,30 Jan 2017,-224,1.9,3.8,3.6,34.3,8.6,3.5,4.2,22.6,16.0,1.6,935
Ipsos MMI,25 Jan 2017,-229,1.5,5.0,2.9,35.3,8.0,3.7,4.9,22.9,14.8,1.0,944
Sentio,23 Jan 2017,-231,2.7,5.1,1.6,35.7,9.3,4.3,5.4,22.8,12.1,1.0,1000
Opinion Perduco,16 Jan 2017,-238,2.0,3.6,2.7,34.0,8.3,3.7,5.6,23.3,16.3,0.6,944
Respons Analyse,11 Jan 2017,-243,2.6,3.1,2.4,35.3,7.1,4.1,5.0,23.3,15.4,1.7,1002
InFact,9 Jan 2017,-245,2.2,4.7,3.2,36.9,8.9,3.2,5.4,20.9,12.0,2.6,2003
Norstat,9 Jan 2017,-245,1.5,4.1,2.4,36.1,6.1,3.9,5.1,24.5,15.2,1.1,944
Kantar TNS,6 Jan 2017,-248,2.6,4.7,1.9,32.7,8.4,4.9,5.3,24.5,13.6,1.4,967
Norfakta,4 Jan 2017,-250,1.9,4.2,2.6,37.8,6.2,4.2,4.8,25.3,11.8,1.1,1000
Norstat,19 Dec 2016,-266,2.1,4.2,2.9,34.1,6.3,3.8,6.2,22.0,15.7,2.6,963
Ipsos MMI,14 Dec 2016,-271,1.5,3.4,2.9,37.8,6.8,4.8,4.0,23.3,13.0,2.1,932
Sentio,13 Dec 2016,-272,1.9,3.6,2.8,36.8,8.0,3.5,4.8,23.3,13.7,1.6,1000
Norfakta,7 Dec 2016,-278,1.5,5.1,2.3,38.7,7.3,2.7,5.2,21.6,14.1,1.6,1010
Respons Analyse,7 Dec 2016,-278,2.2,4.5,2.4,34.1,7.5,4.7,4.4,24.9,14.2,1.1,1000
Opinion Perduco,5 Dec 2016,-280,2.4,4.3,2.4,35.8,6.4,4.1,5.2,24.7,13.4,1.3,962
Kantar TNS,2 Dec 2016,-283,1.7,3.9,4.5,37.2,6.0,4.0,4.3,23.0,13.3,2.1,978
InFact,1 Dec 2016,-284,2.6,4.8,3.5,36.9,8.4,4.5,5.2,19.9,12.0,2.1,2007
Norstat,28 Nov 2016,-287,1.3,5.0,1.7,33.8,7.2,4.1,4.2,25.0,16.5,1.1,971
Norstat,21 Nov 2016,-294,1.6,3.4,2.5,34.7,7.6,4.7,4.5,24.8,13.7,2.4,972
Ipsos MMI,16 Nov 2016,-299,3.1,3.7,3.5,35.6,6.3,4.5,4.0,24.8,14.1,0.4,929
InFact,16 Nov 2016,-299,2.0,4.4,3.6,38.1,8.8,4.2,5.4,19.7,12.1,1.7,2040
Sentio,14 Nov 2016,-301,1.3,3.8,3.4,38.4,7.7,3.5,5.9,23.5,10.4,2.1,1000
Opinion Perduco,7 Nov 2016,-308,2.4,4.2,3.3,36.0,7.8,4.5,5.5,24.9,9.9,1.5,954
Norfakta,2 Nov 2016,-313,1.6,4.1,1.8,34.6,6.1,6.0,4.9,24.9,14.2,1.8,1001
Norstat,31 Oct 2016,-315,1.4,4.9,2.5,37.4,6.6,4.0,5.0,23.5,13.6,1.2,963
Kantar TNS,31 Oct 2016,-315,2.3,5.7,3.1,38.0,5.3,3.6,4.8,23.7,11.9,1.5,974
Norstat,24 Oct 2016,-322,1.8,3.1,1.7,38.4,6.2,4.0,4.3,21.9,17.1,1.5,973
Ipsos MMI,19 Oct 2016,-327,2.3,4.3,2.6,36.3,6.4,4.5,4.7,25.3,12.8,0.7,931
Sentio,16 Oct 2016,-330,2.4,3.2,2.6,36.2,7.2,3.0,4.7,25.8,13.3,1.5,1000
Respons Analyse,12 Oct 2016,-334,1.9,3.7,3.3,35.8,7.0,5.1,4.4,23.5,14.0,1.3,1001
InFact,11 Oct 2016,-335,1.5,4.2,2.5,38.3,8.5,4.8,5.1,21.7,11.5,1.9,2016
Opinion Perduco,10 Oct 2016,-336,2.3,3.7,1.9,36.8,6.6,4.5,3.7,26.0,12.9,1.5,966
Norfakta,5 Oct 2016,-341,1.5,4.2,2.9,38.5,5.5,4.6,4.7,23.3,12.9,1.8,1001
Kantar TNS,3 Oct 2016,-343,1.9,4.2,2.4,34.9,6.0,4.3,4.7,27.1,12.8,1.9,974
Norstat,3 Oct 2016,-343,0.9,3.9,3.9,33.9,7.2,4.0,4.2,26.2,14.1,1.7,965
Norstat,26 Sep 2016,-350,2.0,2.8,3.5,34.6,6.7,3.4,4.3,26.3,13.7,2.8,961
Ipsos MMI,21 Sep 2016,-355,2.0,5.4,3.2,34.4,7.9,4.3,4.3,23.7,14.4,0.3,909
Sentio,18 Sep 2016,-358,1.1,4.4,1.8,38.4,7.4,3.7,4.4,22.9,14.7,1.2,1000
Respons Analyse,14 Sep 2016,-362,1.4,3.6,3.8,33.7,5.7,5.2,5.2,24.7,14.9,1.8,1001
Opinion Perduco,12 Sep 2016,-364,2.0,3.3,3.3,37.5,6.7,4.4,6.0,24.2,11.4,1.2,963
InFact,8 Sep 2016,-368,2.1,5.9,2.1,32.3,8.8,3.3,7.1,22.7,13.2,2.4,2039
Norfakta,7 Sep 2016,-369,1.0,3.3,2.9,33.8,6.5,4.6,3.8,27.1,15.1,2.0,1002
Norstat,5 Sep 2016,-371,1.7,3.7,3.1,33.7,6.9,4.5,4.3,25.0,16.2,0.9,959
TNS Gallup,2 Sep 2016,-374,1.9,4.2,2.1,33.6,7.4,4.9,3.7,26.9,14.8,0.7,964
Norstat,29 Aug 2016,-378,1.5,4.1,1.6,34.3,6.7,4.5,4.9,24.8,16.5,1.1,963
Ipsos MMI,24 Aug 2016,-383,1.5,4.4,3.5,34.1,6.3,3.8,4.4,24.3,16.4,1.4,929
Sentio,22 Aug 2016,-385,1.7,3.0,3.3,36.8,7.5,4.7,4.5,21.6,15.2,1.8,1000
Norstat,15 Aug 2016,-392,1.5,4.2,3.0,34.4,7.1,3.3,4.5,24.2,15.4,2.5,969
Opinion Perduco,8 Aug 2016,-399,1.8,2.6,2.4,36.4,6.4,4.6,5.0,25.4,14.5,1.0,972
TNS Gallup,5 Aug 2016,-402,1.8,4.4,3.4,34.0,6.1,3.8,4.6,27.1,13.2,1.6,982
Norfakta,3 Aug 2016,-404,1.3,3.9,3.5,36.2,6.9,3.7,5.0,26.4,12.2,0.8,1002
Norfakta,7 Jul 2016,-431,1.8,3.6,3.0,30.4,7.7,4.7,5.0,25.9,15.1,2.8,1001
TNS Gallup,1 Jul 2016,-437,2.9,4.7,2.6,32.2,7.0,4.5,5.1,24.9,14.9,1.2,986
Norstat,27 Jun 2016,-441,1.2,4.6,4.2,35.3,6.8,3.5,4.4,23.0,15.6,1.3,974
Ipsos MMI,22 Jun 2016,-446,2.0,3.7,3.5,30.7,6.7,4.3,5.0,25.3,16.2,2.5,933
Sentio,20 Jun 2016,-448,1.4,3.3,4.5,32.3,5.9,4.3,6.1,23.2,17.5,1.5,1000
Opinion Perduco,13 Jun 2016,-455,2.6,4.4,3.2,35.3,5.4,3.5,5.2,24.4,14.5,1.5,962
Norfakta,8 Jun 2016,-460,1.0,5.0,3.2,35.0,6.8,5.4,5.1,23.0,14.9,0.6,1000
Respons Analyse,8 Jun 2016,-460,2.1,4.2,2.8,32.5,6.1,4.6,5.0,24.6,17.1,1.0,1002
Norstat,6 Jun 2016,-462,1.8,4.2,2.8,34.5,7.1,4.2,4.8,21.5,16.6,2.5,958
TNS Gallup,3 Jun 2016,-465,2.2,4.5,4.1,34.9,5.9,4.8,4.1,23.9,14.7,0.7,978
Ipsos MMI,25 May 2016,-474,2.8,4.5,3.7,34.8,6.5,5.1,5.5,22.6,12.6,1.8,938
Sentio,23 May 2016,-476,1.1,4.1,3.6,33.8,7.5,3.7,4.4,23.3,17.9,0.6,1000
InFact,22 May 2016,-477,2.0,4.6,3.2,34.0,8.4,3.6,5.3,22.4,14.2,2.4,2022
Opinion Perduco,14 May 2016,-485,2.5,3.4,4.2,31.3,6.2,3.9,6.4,25.4,14.5,2.2,972
Respons Analyse,11 May 2016,-488,1.4,3.9,3.3,33.5,5.5,4.9,5.8,25.5,15.3,0.9,1001
Norstat,9 May 2016,-490,2.4,5.1,2.5,32.1,6.5,5.3,5.3,24.3,15.1,1.3,962
Norfakta,4 May 2016,-495,2.5,3.7,2.2,36.0,6.1,4.9,5.0,20.5,17.4,1.7,1003
Norstat,2 May 2016,-497,2.0,4.5,2.1,30.8,6.5,4.7,5.2,26.1,17.3,0.8,973
TNS Gallup,29 Apr 2016,-500,1.8,2.6,3.0,35.9,6.3,3.8,4.6,25.1,15.6,1.4,971
Sentio,25 Apr 2016,-504,1.7,4.4,2.3,33.4,6.9,5.2,6.1,23.5,14.7,1.8,1000
Ipsos MMI,20 Apr 2016,-509,2.0,5.9,3.2,32.8,5.9,4.7,6.2,23.1,15.8,0.4,943
Opinion Perduco,18 Apr 2016,-511,0.9,4.6,2.4,32.7,6.4,3.3,5.5,26.1,16.2,1.9,962
Respons Analyse,13 Apr 2016,-516,1.0,4.3,3.9,33.7,5.2,5.1,5.5,22.8,16.7,1.8,1002
Norstat,11 Apr 2016,-518,1.5,3.5,3.2,32.5,6.0,4.6,5.2,24.9,17.1,1.5,970
Norfakta,6 Apr 2016,-523,1.5,2.6,3.4,35.3,5.4,5.6,5.1,24.5,16.0,0.6,1006
InFact,6 Apr 2016,-523,1.9,4.9,3.5,33.6,7.2,3.9,5.5,22.4,15.5,1.6,1000
Norstat,4 Apr 2016,-525,1.6,3.3,3.6,34.6,5.6,4.2,4.8,21.8,18.8,1.7,959
TNS Gallup,1 Apr 2016,-528,1.4,4.4,3.0,35.8,6.2,3.5,3.9,24.5,16.5,0.8,963
Sentio,21 Mar 2016,-539,1.6,3.4,3.8,32.3,5.8,4.7,5.6,24.3,17.6,1.1,1000
Ipsos MMI,16 Mar 2016,-544,3.0,3.0,3.2,32.5,7.1,4.9,4.9,26.3,14.6,0.5,914
Respons Analyse,9 Mar 2016,-551,1.8,3.6,3.0,34.1,5.8,4.6,5.1,24.1,16.2,1.7,1001
Norstat,7 Mar 2016,-553,1.5,4.0,2.9,31.6,6.6,4.4,4.8,24.0,18.6,1.6,968
Norfakta,2 Mar 2016,-558,2.2,3.7,3.1,31.4,6.4,5.1,4.6,25.3,16.9,1.3,1000
Norstat,29 Feb 2016,-560,1.5,5.7,3.0,31.2,6.3,3.6,4.9,25.9,17.1,0.8,972
TNS Gallup,29 Feb 2016,-560,2.0,4.0,3.2,33.6,6.1,4.4,4.7,24.8,15.8,1.5,975
InFact,25 Feb 2016,-564,2.0,4.1,4.3,34.0,7.4,3.7,4.7,21.2,16.7,1.9,2037
Sentio,21 Feb 2016,-568,1.5,4.9,2.6,33.2,5.1,4.8,5.1,23.8,17.0,2.1,1000
Ipsos MMI,17 Feb 2016,-572,2.5,4.2,4.9,33.8,5.9,4.5,3.8,21.4,18.2,0.7,931
Norfakta,3 Feb 2016,-586,2.4,4.2,3.2,31.9,4.9,4.2,4.9,26.5,16.9,0.9,1000
Norstat,1 Feb 2016,-588,2.5,4.6,3.7,33.5,4.9,3.6,5.5,25.7,14.6,1.4,955
TNS Gallup,29 Jan 2016,-591,2.4,3.1,3.8,33.4,5.8,4.9,6.3,25.0,14.2,1.2,981
InFact,28 Jan 2016,-592,1.8,4.9,3.9,33.4,7.4,3.2,5.1,23.4,15.4,1.5,2020
Sentio,25 Jan 2016,-595,1.5,3.8,4.4,32.5,6.4,3.4,4.3,24.1,17.2,2.3,1000
Ipsos MMI,20 Jan 2016,-600,2.9,3.3,2.6,37.1,6.1,4.9,4.7,22.6,15.6,0.0,925
Opinion Perduco,18 Jan 2016,-602,2.5,4.1,4.3,32.2,5.4,4.1,4.2,25.3,17.5,0.4,948
Respons Analyse,13 Jan 2016,-607,2.0,4.5,4.2,30.8,5.7,4.7,5.1,23.4,17.8,1.8,1000
Norstat,11 Jan 2016,-609,1.7,4.3,4.3,29.7,6.5,5.0,5.6,25.0,16.3,1.6,955
TNS Gallup,8 Jan 2016,-612,2.2,3.9,3.5,33.5,5.3,5.2,5.4,24.2,15.7,1.0,977
Norfakta,6 Jan 2016,-614,1.2,4.4,4.5,33.4,6.2,4.1,4.5,24.5,14.8,2.3,1000
Norstat,20 Dec 2015,-631,1.7,3.5,3.0,33.4,4.5,3.2,6.0,23.8,19.2,1.7,967
Ipsos MMI,16 Dec 2015,-635,1.9,3.6,5.4,34.0,7.6,4.0,4.5,20.9,16.9,1.0,916
Sentio,13 Dec 2015,-638,2.2,3.6,4.4,35.6,7.1,4.0,4.3,20.6,16.6,1.6,1000
Respons Analyse,9 Dec 2015,-642,1.6,3.9,4.6,31.3,5.3,5.2,5.0,23.7,17.6,1.8,1001
Opinion Perduco,7 Dec 2015,-644,1.9,3.3,3.8,35.4,6.0,3.3,4.4,21.6,18.3,1.9,959
Norfakta,2 Dec 2015,-649,1.9,3.5,5.3,33.5,4.7,4.5,5.1,20.7,18.2,2.6,1000
TNS Gallup,30 Nov 2015,-651,2.1,3.9,3.9,34.2,6.6,5.2,5.2,22.5,15.6,1.2,972
Ipsos MMI,19 Nov 2015,-662,2.7,3.8,4.3,36.1,6.2,4.5,4.4,20.0,17.5,0.5,931
InFact,16 Nov 2015,-665,2.0,4.4,3.4,35.3,7.2,4.2,5.3,20.3,16.1,1.7,2037
Sentio,15 Nov 2015,-666,1.6,3.0,4.7,34.9,7.0,3.6,5.2,20.3,18.2,1.4,1000
Respons Analyse,11 Nov 2015,-670,1.9,4.3,4.1,32.3,5.1,5.3,4.7,22.8,18.7,0.8,1002
Opinion Perduco,9 Nov 2015,-672,1.5,3.6,4.5,33.1,6.7,4.2,4.2,24.7,15.3,2.2,954
Norfakta,4 Nov 2015,-677,1.5,4.1,5.2,35.2,4.3,5.2,4.9,21.7,16.6,1.3,1000
TNS Gallup,31 Oct 2015,-681,2.1,3.8,3.4,37.9,6.3,3.7,5.3,23.7,12.5,1.3,957
Norstat,26 Oct 2015,-686,2.2,5.4,3.4,32.4,6.8,4.9,5.0,24.3,15.0,0.6,961
Ipsos MMI,21 Oct 2015,-691,3.2,5.9,3.0,35.5,7.7,4.8,5.4,23.3,10.2,1.0,925
Sentio,19 Oct 2015,-693,1.1,3.3,4.5,37.6,7.2,5.6,5.0,22.5,12.3,1.0,1000
Respons Analyse,14 Oct 2015,-698,2.1,4.3,4.0,34.5,6.3,4.9,5.3,24.3,13.2,1.1,1001
Norstat,11 Oct 2015,-701,1.2,3.4,4.2,40.2,5.8,5.2,5.6,20.3,12.8,1.3,968
Norfakta,7 Oct 2015,-705,0.9,4.1,4.9,38.1,5.5,6.0,5.2,23.3,11.9,0.1,1001
Opinion Perduco,5 Oct 2015,-707,1.8,3.0,4.8,36.2,6.4,5.6,6.9,22.7,11.0,1.5,973
TNS Gallup,2 Oct 2015,-710,2.1,5.0,4.0,37.9,5.8,5.1,5.9,23.5,9.5,1.6,967
Norstat,28 Sep 2015,-714,1.7,3.5,5.1,34.8,8.0,5.0,5.6,22.0,12.4,2.0,948
Ipsos MMI,24 Sep 2015,-718,2.4,3.8,3.5,37.9,6.6,4.9,5.7,23.2,11.3,0.6,926
Sentio,21 Sep 2015,-721,1.4,4.0,5.9,36.7,5.5,5.0,5.6,21.6,12.5,1.9,1000
Respons Analyse,12 Sep 2015,-730,1.5,4.7,4.1,34.6,6.5,5.7,5.2,23.3,13.3,1.1,1204
Norstat,6 Sep 2015,-736,1.8,3.9,4.5,34.6,7.2,5.5,6.2,23.5,11.3,1.6,947
Norfakta,2 Sep 2015,-740,1.2,3.1,5.4,35.6,5.6,4.1,5.9,25.6,12.6,0.9,1000
Norstat,30 Aug 2015,-743,1.1,5.2,5.1,34.4,6.4,6.2,5.3,22.5,12.4,1.4,949
Sentio,23 Aug 2015,-750,1.6,4.6,6.0,34.2,6.3,3.8,6.1,20.6,14.3,2.3,1000
Respons Analyse,19 Aug 2015,-754,2.2,3.9,5.0,33.1,6.2,5.2,5.0,23.8,12.8,2.8,1003
Ipsos MMI,19 Aug 2015,-754,1.4,4.8,4.0,38.3,4.2,5.2,4.6,24.0,13.0,0.5,925
Opinion Perduco,17 Aug 2015,-756,1.4,3.5,4.7,37.6,6.2,4.8,5.2,21.7,12.8,2.2,969
Norstat,9 Aug 2015,-764,1.8,3.6,4.4,37.4,6.1,3.6,4.7,24.7,12.4,1.4,960
Norfakta,5 Aug 2015,-768,1.4,3.2,3.9,36.4,5.6,3.4,5.4,26.2,12.7,1.8,1001
Norfakta,8 Jul 2015,-796,2.5,3.9,3.9,38.1,4.3,4.5,5.7,21.8,13.3,2.0,1000
TNS Gallup,3 Jul 2015,-801,1.5,4.1,5.0,38.8,4.6,5.7,4.6,22.8,11.0,1.7,966
Norstat,28 Jun 2015,-806,1.0,4.9,3.9,35.8,6.4,3.5,5.1,23.4,14.2,1.6,959
Sentio,21 Jun 2015,-813,1.8,2.8,3.9,38.1,5.7,3.9,5.3,22.0,16.4,0.3,1000
Ipsos MMI,17 Jun 2015,-817,2.2,4.0,4.5,36.8,5.9,4.0,5.6,21.4,14.3,1.4,924
Opinion Perduco,15 Jun 2015,-819,1.0,3.3,6.5,41.1,5.2,3.8,5.6,22.8,9.6,1.3,950
Respons Analyse,10 Jun 2015,-824,1.2,3.6,4.8,35.9,5.7,5.3,5.3,24.7,12.9,0.6,1000
