Polling firm,Date,Source,Sample size,MoE,CAQ,PLQ,PQ,QS,PCQ,Other,Lead
Mainstreet,"September 4, 2022",PDF,"1,511",±2.6%,38.5,18.1,10.5,11.8,17.5,3.6,20.4
Mainstreet,"September 3, 2022",PDF,"1,497",±2.6%,37.5,18.3,9.4,12.5,18.3,4.1,19.2
Mainstreet,"September 2, 2022",PDF,"1,462",±2.6%,37.4,18.1,7.6,12.8,20.3,3.9,17.1
Mainstreet,"September 1, 2022",PDF,"1,417",±2.6%,38.2,17.6,7.5,13.4,19.9,3.4,18.3
Mainstreet,"August 31, 2022",PDF,"1,210",±2.8%,38.9,19.7,6.6,13.3,16.8,4.7,19.2
Mainstreet,"August 30, 2022",PDF,"1,676",±2.4%,40.9,17.7,6.9,12.0,18.2,4.3,22.7
Mainstreet,"August 29, 2022",PDF,"1,386",±2.6%,40.4,18.7,7.8,11.6,17.7,3.7,21.7
Mainstreet,"August 28, 2022",PDF,"1,067",±3%,38.1,17.4,7.0,12.1,21.5,3.9,16.6
Léger,"August 26, 2022",PDF,"1,000",±3.1%,42,17,9,15,14,3,25
Léger,"July 31, 2022",PDF,985,±3.1%,44,18,10,15,13,1,26
Léger,"June 22, 2022",PDF,"1,019",±3.1%,41,18,9,14,15,3,23
Angus Reid,"June 13, 2022",PDF,"1,211",±2.5%,35,18,10,14,19,4,16
Mainstreet,"June 10, 2022",PDF,"1,404",±3%,39.9,20.8,8.3,12.3,16.6,2,19.1
Léger,"May 22, 2022",PDF,"1,019",±3.1%,46,18,8,13,14,2,28
Léger,"April 17, 2022",PDF,"1,020",±3.1%,44,17,9,15,13,2,27
Synopsis Recherche,"March 17, 2022",PDF,"1,000",—,44,15,8,15,16,2,28
Angus Reid,"March 15, 2022",URL,761,±3%,33,19,9,16,19,4,14
Mainstreet,"March 15, 2022",PDF,"1,200",±3%,36.2,16.1,6.8,17.3,23.6,—,12.6
Léger,"March 6, 2022",HTML,"1,017",±3.1%,41,18,10,14,14,3,23
Léger,"February 13, 2022",PDF,"1,017",±3.1%,41,20,11,12,14,2,21
Léger,"January 16, 2022",HTML,"1,032",±3.1%,42,20,11,14,11,3,22
Angus Reid,"January 12, 2022",PDF,760,±3%,37,20,12,16,9,5,17
Mainstreet,"January 8, 2022",HTML,"1,024",—,38,20,10,19,13,—,16
Léger,"November 28, 2021",PDF,"1,024",±3.1%,46,20,13,13,5,3,26
Angus Reid,"October 3, 2021",HTML,716,—,37,21,10,15,11,6,16
Léger,"September 29, 2021",PDF,"1,008",±3.1%,47,20,11,11,8,3,27
Synopsis Recherche,"August 30, 2021",HTML,"1,500",—,49,16,9,14,9,3,33
Angus Reid,"June 8, 2021",PDF,679,±3%,41,21,11,14,8,4,20
Leger,"May 1, 2021",HTML,"1,015",±3.1%,46,20,12,14,6,3,26
