Polling firm,"Last date of polling",Link,CPC,LPC,NDP,BQ,GPC,PPC,Others,"Margin of error","Sample size",Polling method,Lead Polling firm,"Last date of polling",Link,,,,,,,Others,"Margin of error","Sample size",Polling method,Lead
Angus Reid,"July 16, 2021",,31,33,20,7,3,4,2,±2.0 pp,"1,625",online,2
Nanos Research,"July 16, 2021",,23.6,39.3,21.7,4.8,6.8,3.0,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),15.7
Nanos Research,"July 9, 2021",,23.9,37.8,21.3,—,6.5,—,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.9
Leger,"July 4, 2021",,30,33,19,7,5,4,2,±2.52 pp,"1,518",online,3
Nanos Research,"July 2, 2021",,23.6,38.1,20.4,5.1,7.5,4.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),14.5
Abacus Data,"June 30, 2021",,25,37,20,7,6,3,1,±2.6 pp,"1,500",online,12
Nanos Research,"June 25, 2021",,24.7,37.1,19.3,5.8,7.9,4.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.4
Ipsos,"June 22, 2021",,26,38,20,8,7,1,1,±2.9 pp,"1,501",online/telephone,12
Abacus Data,"June 21, 2021",,27,37,18,9,5,3,1,±2.2 pp,"2,070",online,10
Leger,"June 20, 2021",,30,34,20,8,5,—,4,±2.49 pp,"1,542",online,4
Nanos Research,"June 18, 2021",,25.4,37.4,18.2,7.0,6.5,4.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.0
Abacus Data,"June 16, 2021",,29,34,21,8,6,1,1,±2.6 pp,"1,500",online,5
Research Co.,"June 14, 2021",,30,38,20,5,5,1,1,±3.1 pp,"1,000",online,8
Mainstreet Research,"June 14, 2021",,27.3,37.7,17.2,5.0,5.9,—,6.9,±2.7 pp,"1,291",IVR,10.4
EKOS,"June 14, 2021",,26.2,35.0,17.3,6.6,8.3,3.9,2.7,±2.6 pp,"1,412",IVR,8.8
Nanos Research,"June 11, 2021",,26.4,37.5,17.5,7.4,7.0,3.6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.1
Innovative Research,"June 8, 2021",,26,37,17,7,8,—,5,—,"1,043",online,11
Angus Reid,"June 7, 2021",,30,33,21,6,4,—,5,±2.0 pp,"4,948",online,3
Leger,"June 6, 2021",,29,32,22,6,6,—,5,±2.5 pp,"1,539",online,3
Counsel,"June 4, 2021",,27.6,31.9,17.9,7.7,6.9,4.2,3.7,±1.7 pp,"3,175",online,4.3
Nanos Research,"June 4, 2021",,27.3,38.0,17.1,6.6,6.1,3.9,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.7
Innovative Research,"May 31, 2021",,27,38,15,8,8,4,1,—,"2,579",online,11
Abacus Data,"May 28, 2021",,31,34,17,7,7,2,2,±2.1 pp,"2,000",online,3
Nanos Research,"May 28, 2021",,27.3,38.2,17.0,7.7,6.1,3.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.9
EKOS,"May 27, 2021",Twitter,27.8,35.4,17.9,5.6,7.0,4.0,3.0,±1.7 pp,"1,948",IVR,7.6
Leger,"May 23, 2021",,30,34,19,7,7,—,3,±2.43 pp,"1,624",online,4
Mainstreet Research,"May 23, 2021",,31.4,37.2,13.3,5.2,6.9,—,6.0,±2.7 pp,"1,332",IVR,5.8
Nanos Research,"May 21, 2021",,28.7,36.9,16.1,7.2,7.0,3.6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.2
Angus Reid,"May 17, 2021",,32,34,18,7,5,—,4,±2.5 pp,"1,601",online,2
Leger,"May 16, 2021",,31,32,19,7,8,—,2,±2.5 pp,"1,516",online,1
Ipsos,"May 14, 2021",,29,38,21,6,5,1,1,±3.5 pp,"1,001",online,9
Nanos Research,"May 14, 2021",,28.4,36.9,16.7,7.5,6.3,3.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.5
Abacus Data,"May 12, 2021",,32,34,17,6,7,3,1,±2.6 pp,"1,500",online,2
Leger,"May 9, 2021",,30,33,19,7,7,—,4,±2.51 pp,"1,529",online,3
Nanos Research,"May 7, 2021",,29.5,35.2,16.6,8.5,6.8,2.8,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.7
EKOS,"May 6, 2021",,26.1,36.0,19.7,4.0,7.1,4.9,2.2,±2.3 pp,"1,808",IVR,9.9
Innovative Research,"May 5, 2021",,27,40,18,4,7,3,1,—,"2,738",online,13
Nanos Research,"April 30, 2021",,31.1,35.2,16.5,7.3,7.2,2.0,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.1
EKOS,"April 28, 2021",,29.7,34.6,16.9,—,7.4,—,—,±1.8 pp,"2,902",IVR,4.9
Leger,"April 25, 2021",,28,34,20,7,7,—,4,±2.48 pp,"1,548",online,6
Angus Reid,"April 25, 2021",,32,34,20,7,5,—,5,±2.2 pp,"2,008",online,2
Abacus Data,"April 25, 2021",,29,36,17,7,7,2,1,±2.1 pp,"2,201",online,7
Nanos Research,"April 23, 2021",,28.8,36.3,18.1,7.2,7.2,1.9,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.5
Leger,"April 21, 2021",,30,35,19,6,6,—,5,±2.5 pp,"1,504",online,5
Ipsos,"April 21, 2021",,27,38,19,7,7,—,1,±3.5 pp,"1,000",online,11
Abacus Data,"April 21, 2021",Twitter,28,39,16,7,7,—,—,—,"1,900",online,11
Mainstreet Research,"April 18, 2021",,29.6,36.8,14.9,5.8,6.6,—,6.2,±2.7 pp,"1,246",IVR,7.2
Nanos Research,"April 16, 2021",,29.0,36.1,18.5,6.8,7.4,1.7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.1
Abacus Data,"April 14, 2021",,29,37,19,6,6,2,2,±2.1 pp,"1,981",online,8
Innovative Research,"April 13, 2021",,27,39,17,4,8,4,1,—,"2,390",online,12
Stratcom,"April 13, 2021",,30.2,33.1,15.9,6.4,7.4,—,7.1,±1.8 pp,"6,537",IVR,2.9
Leger,"April 11, 2021",,30,35,18,7,7,—,3,±2.53 pp,"1,504",online,5
Ipsos,"April 9, 2021",,30,40,13,9,5,—,3,±3.5 pp,"1,001",online,10
Nanos Research,"April 9, 2021",,29.2,37.6,18.9,5.9,7.0,1.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.4
Campaign Research,"April 8, 2021",,33,34,17,7,7,—,2,±2 pp,"2,880",online,1
EKOS,"April 6, 2021",,30.4,32.0,16.3,—,8.3,—,—,±2.3 pp,"1,734",IVR,1.6
Nanos Research,"April 2, 2021",,27.0,39.2,18.0,5.6,8.0,1.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.2
Abacus Data,"March 30, 2021",,30,38,17,7,6,1,1,±2.1 pp,"2,000",online,8
Leger,"March 28, 2021",,28,35,22,7,6,—,2,±2.51 pp,"1,523",online,7
Nanos Research,"March 26, 2021",,27.4,38.7,17.4,5.8,7.9,2.0,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.3
Mainstreet Research,"March 22, 2021",,34,37,10,8,6,—,5,±2.23 pp,"1,939",IVR,3
Nanos Research,"March 19, 2021",,27.7,38.0,17.0,5.9,8.0,2.6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.3
Abacus Data,"March 17, 2021",,29,33,19,7,8,3,1,±2.1 pp,"2,000",online,4
Research Co.,"March 15, 2021",,28,37,20,7,6,1,1,±3.1 pp,"1,000",online,9
Leger,"March 14, 2021",,31,36,19,6,5,—,4,±2.52 pp,"1,512",online,5
Nanos Research,"March 12, 2021",,27.6,36.7,17.0,5.6,8.5,3.7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.1
Abacus Data,"March 5, 2021",,30,34,18,8,7,2,1,±2.1 pp,"2,000",online,4
Nanos Research,"March 5, 2021",,29.7,34.8,16.9,6.2,7.4,4.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.1
Ipsos,"March 3, 2021",,28,35,16,7,10,1,2,±3.5 pp,"1,000",online,7
Angus Reid,"March 3, 2021",,31,35,19,6,4,2,3,±1.4 pp,"5,004",online,4
Leger,"February 28, 2021",,28,35,23,7,6,—,2,±2.50 pp,"1,532",online,7
Nanos Research,"February 26, 2021",,29.4,35.0,16.5,6.2,7.2,4.4,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.6
Mainstreet Research,"February 24, 2021",,31,36,15,6,7,—,5,±2.55 pp,"1,476",IVR,5
Angus Reid,"February 19, 2021",,31,34,20,7,5,2,2,±2.2 pp,"1,987",online,3
Nanos Research,"February 19, 2021",,29.0,35.2,16.8,6.8,7.2,4.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.2
EKOS,"February 16, 2021",,31.4,32.9,14.9,—,8.6,—,—,±2.43 pp,"1,623",IVR,1.5
Leger,"February 14, 2021",,29,36,20,6,7,—,3,±2.50 pp,"1,535",online,7
Nanos Research,"February 12, 2021",,30.3,34.2,17.0,7.5,6.7,3.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.9
Ipsos,"February 10, 2021",,30,33,20,8,8,—,2,±3.5 pp,"1,000",online,3
Nanos Research,"February 5, 2021",,28.9,35.9,16.4,7.4,7.4,3.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.0
EKOS,"February 3, 2021",,28.1,36.5,14.5,—,9.3,—,—,±4.1 pp,548,online,8.4
Abacus Data,"February 3, 2021",,31,32,18,8,7,2,1,±1.6 pp,"3,930",online,1
Innovative Research,"February 1, 2021",,28,38,15,7,8,—,4,—,"4,449",online,10
Leger,"January 31, 2021",,28,37,22,7,5,—,2,±2.48 pp,"1,559",online,9
Campaign Research,"January 30, 2021",,30,34,19,6,8,—,3,±2 pp,"2,413",online,4
Nanos Research,"January 29, 2021",,30.3,35.0,15.5,8.5,7.4,2.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.7
EKOS,"January 27, 2021",,30.9,34.3,15.0,5.7,7.7,3.7,2.7,±0.8 pp,"8,575",IVR (rolling),3.4
Angus Reid,"January 24, 2021",,30,35,20,6,5,1,3,±2.5 pp,"1,559",online,5
Nanos Research,"January 22, 2021",,28.8,36.3,15.9,8.1,7.8,2.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.5
Mainstreet Research,"January 20, 2021",,31.9,39.3,14.4,5.2,5.2,2.4,1.6,±1.8 pp,"3,132",IVR,7.4
Leger,"January 17, 2021",,29,36,21,7,6,—,2,±2.53 pp,"1,516",online,7
Nanos Research,"January 15, 2021",,27.4,38.7,15.7,8.0,7.5,2.0,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.3
Abacus Data,"January 12, 2021",,31,35,17,8,6,1,1,±2.2 pp,"2,000",online,4
EKOS,"January 12, 2021",,31.3,34.5,15.0,—,7.6,—,—,±1.36 pp,"5,155",IVR,3.2
Nanos Research,"January 8, 2021",,27.3,40.2,16.5,6.7,7.4,1.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.9
Ipsos,"January 6, 2021",,29,36,19,6,8,—,2,±3.5 pp,"1,000",online,7
Leger,"January 3, 2021",,30,35,20,7,6,—,2,±2.53 pp,"1,506",online,5
Nanos Research,"January 1, 2021",,25.8,40.4,18.2,6.4,7.3,1.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),14.6
Nanos Research,"December 25, 2020",,26.8,39.9,18.0,6.5,6.9,1.4,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.1
Pollara,"December 23, 2020",,29,38,18,7,6,—,—,±2.8 pp,"1,200",online,9
Abacus Data,"December 18, 2020",,32,35,17,7,7,—,—,±2.1 pp,"2,200",online,3
Nanos Research,"December 18, 2020",,26.2,38.1,20.0,6.3,7.0,1.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.9
Mainstreet Research,"December 17, 2020",,33.2,37.9,13.1,4.9,6.7,2.3,1.9,±2.7 pp,"1,286",IVR,4.7
Research Co.,"December 14, 2020",,31,37,20,7,3,1,1,±3.1 pp,"1,000",online,6
Ipsos,"December 14, 2020",,32,35,18,7,7,—,1,±3.5 pp,"1,000",online,3
Leger,"December 13, 2020",,29,35,23,7,5,—,2,±2.50 pp,"1,528",online,6
Nanos Research,"December 11, 2020",,26.4,36.8,21.1,7.0,6.3,1.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.4
Nanos Research,"December 4, 2020",,26.6,36.0,20.0,7.0,7.9,1.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.4
Campaign Research,"December 3, 2020",,32,35,19,5,6,—,—,—,"1,956",online,3
EKOS,"December 2, 2020",,30.2,36.3,14.6,—,8.8,—,—,±1.71 pp,"3,269",IVR,6.1
Angus Reid,"November 30, 2020",,33,34,19,6,4,1,2,±1.4 pp,"5,003",online,1
Leger,"November 29, 2020",,30,34,20,7,7,—,2,±2.51 pp,"1,516",online,4
Nanos Research,"November 27, 2020",,26.5,35.7,19.9,6.0,9.4,1.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.2
Mainstreet Research,"November 26, 2020",,31.7,39.0,12.3,5.1,6.7,3.3,1.9,±2.7 pp,"1,341",IVR,7.3
EKOS,"November 26, 2020",,31.3,35.0,13.9,6.9,6.8,3.8,2.3,±1.4 pp,"5,240",IVR,3.7
Delphi Polling,"November 25, 2020",,32,38,16,6,6,1,1,—,"1,000",online,6
Abacus Data,"November 24, 2020",,30,36,16,7,5,3,2,±1.85 pp,"2,912",online,6
Ipsos,"November 23, 2020",,31,36,17,8,7,—,1,±3.5 pp,"1,001",online,5
Nanos Research,"November 20, 2020",,26.7,35.9,19.6,5.6,10.0,1.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.2
Leger,"November 15, 2020",,31,35,18,8,6,—,2,±2.51 pp,"1,522",online,4
Nanos Research,"November 13, 2020",,26.4,35.9,19.8,5.4,10.7,1.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.5
Abacus Data,"November 12, 2020",,30,38,15,8,6,2,2,±2.5 pp,"1,664",online,8
Angus Reid,"November 9, 2020",,33,35,18,7,5,—,2,±2.4 pp,"1,602",online,2
Leger,"November 8, 2020",,28,36,21,7,5,—,3,±2.50 pp,"1,534",online,8
Nanos Research,"November 6, 2020",,28.9,37.6,18.5,4.9,8.5,1.0,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.7
Leger,"November 1, 2020",,31,34,21,7,6,—,2,±2.52 pp,"1,516",online,3
Nanos Research,"October 30, 2020",,27.9,39.5,16.9,5.6,8.2,1.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.6
Ipsos,"October 26, 2020",,32,38,17,6,7,—,2,±3.5 pp,"1,000",online,6
Leger,"October 25, 2020",,30,37,18,8,5,—,2,±2.51 pp,"1,523",online,7
Nanos Research,"October 23, 2020",,29.4,38.6,15.6,6.0,8.2,1.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.2
Mainstreet Research,"October 21, 2020",,34.0,35.8,15.0,5.4,5.0,3.4,1.4,±2.7 pp,"1,328",IVR,1.8
EKOS,"October 19, 2020",Twitter,31.4,35.2,13.7,5.7,8.7,4,2,±2.6 pp,"1,416",IVR,3.8
Leger,"October 18, 2020",,29,36,18,8,6,—,2,±2.52 pp,"1,512",online,7
Nanos Research,"October 16, 2020",,32.5,38.5,13.4,6.0,7.6,1.4,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.0
Leger,"October 11, 2020",,29,37,21,7,6,—,1,±2.50 pp,"1,539",online,8
Nanos Research,"October 9, 2020",,33.2,35.3,14.9,6.5,7.9,1.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Innovative Research,"October 6, 2020",,31,37,16,6,5,3,1,—,"2,771",online,6
Leger,"October 4, 2020",,32,36,20,7,4,—,1,±2.51 pp,"1,523",online,4
Nanos Research,"October 2, 2020",,33.5,34.1,16.6,6.6,6.8,1.8,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.6
,"October 3, 2020",Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party,Annamie Paul is elected leader of the Green Party
Ipsos,"October 1, 2020",,31,36,18,7,6,—,1,±3.5 pp,"1,000",online,5
Abacus Data,"September 28, 2020",,30,35,17,6,7,3,2,±2.0 pp,"2,440",online,5
Leger,"September 27, 2020",,30,40,17,8,5,—,1,±2.52 pp,"1,514",online,10
Nanos Research,"September 25, 2020",,34.2,34.1,16.7,6.6,5.9,1.8,—,±3.1 pp,"1,000 (1/4)",telephone(rolling),0.1
Mainstreet Research,"September 24, 2020",,34.6,37.1,15.2,4.8,4.6,2.2,1.6,±2.7 pp,"1,307",IVR,2.5
Abacus Data,"September 21, 2020",,32,35,17,6,8,2,1,±2.6 pp,"1,500",online,3
Leger,"September 20, 2020",,30,35,19,8,6,—,2,±2.50 pp,"1,538",online,5
Nanos Research,"September 18, 2020",,33.2,35.0,17.4,6.0,6.1,1.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.8
Campaign Research,"September 15, 2020",,30,40,15,6,7,—,2,±2 pp,"2,389",online,10
Innovative Research,"September 15, 2020",,29,39,17,6,7,2,1,—,"2,374",online,10
Ipsos,"September 14, 2020",,32,33,20,6,8,—,1,±3.5 pp,"1,000",online,1
Research Co.,"September 13, 2020",,32,38,17,8,3,1,1,±3.1 pp,"1,000",online,6
Leger,"September 13, 2020",,31,35,18,7,6,—,3,±2.50 pp,"1,539",online,4
Nanos Research,"September 11, 2020",,30.1,35.8,19.1,6.8,6.0,1.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.7
Leger,"September 6, 2020",,32,34,19,7,6,—,1,±2.51 pp,"1,529",online,2
Nanos Research,"September 4, 2020",,31.1,33.2,19.2,7.8,7.6,0.9,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Abacus Data,"September 3, 2020",,31,33,18,7,7,3,2,±2.1 pp,"2,289",online,2
Angus Reid,"September 1, 2020",,35,35,17,7,4,1,1,±1.5 pp,"5,005",online,0
Innovative Research,"September 1, 2020",,28,38,16,7,7,3,1,—,"2,308",online (rolling),10
Leger,"August 30, 2020",,29,35,21,8,5,—,2,±2.51 pp,"1,521",online,6
Nanos Research,"August 28, 2020",,30.5,34.3,19.5,7.6,7.1,0.9,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.8
,"August 24, 2020",Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party,Erin O'Toole is elected leader of the Conservative Party
Leger,"August 23, 2020",,30,38,18,7,6,—,2,±2.52 pp,"1,516",online,8
Nanos Research,"August 21, 2020",,30.0,34.4,19.7,7.5,7.1,1.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.4
Abacus Data,"August 19, 2020",,30,36,18,6,5,4,2,±2.6 pp,"1,500",online,6
Ipsos,"August 18, 2020",,32,35,18,7,7,—,2,±2.5 pp,"2,000",online,3
Innovative Research,"August 18, 2020",,28,40,16,7,6,3,1,—,"1,934",online,12
Leger,"August 16, 2020",,32,35,18,8,6,—,2,±2.52 pp,"1,510",online,3
Nanos Research,"August 14, 2020",,31.5,33.5,17.9,6.4,8.6,1.6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.0
Campaign Research,"August 13, 2020",,33,30,18,7,8,—,4,±2 pp,"2,013",online,3
Mainstreet Research,"August 12, 2020",,28.9,41.3,15.6,5.5,5.2,2.1,1.5,±2.5 pp,"1,594",IVR,12.4
Leger,"August 9, 2020",,29,36,15,8,8,—,3,±2.52 pp,"1,513",online,7
Nanos Research,"August 7, 2020",,30.1,36.1,17.6,6.4,7.4,2.0,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.0
Leger,"August 2, 2020",,31,33,20,8,6,—,2,±2.5 pp,"1,531",online,2
Nanos Research,"July 31, 2020",,29.7,34.3,17.4,6.8,8.3,2.8,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.6
Abacus Data,"July 29, 2020",,30,34,17,8,6,2,3,±2.6 pp,"1,500",online,4
Leger,"July 26, 2020",,29,35,20,9,6,—,1,±2.52 pp,"1,517",online,6
Nanos Research,"July 24, 2020",,29.9,33.3,16.9,6.9,9.3,3.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.4
EKOS,"July 22, 2020",,30.0,34.7,15.2,6.5,7.6,3.5,2.5,±2.5 pp,"1,505",IVR,4.7
Innovative Research,"July 20, 2020",,28,40,14,7,7,3,1,—,"2,599",online,12
Leger,"July 19, 2020",,28,39,17,7,7,—,2,±2.51 pp,"1,524",online,11
Nanos Research,"July 17, 2020",,28.9,34.9,16.9,7.1,8.8,2.8,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.0
EKOS,"July 16, 2020",,29.5,33.2,18.2,6.6,7.6,2.9,2.1,±3.7 pp,694,IVR,3.7
Abacus Data,"July 16, 2020",,31,36,16,7,7,2,1,±2.6 pp,"1,500",online,5
Leger,"July 12, 2020",,26,38,19,8,7,—,2,±2.51 pp,"1,523",online,12
Nanos Research,"July 10, 2020",,28.9,35.9,15.6,6.7,9.3,2.7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.0
Leger,"July 5, 2020",,25,39,20,8,5,—,2,±2.52 pp,"1,517",online,14
Nanos Research,"July 3, 2020",,27.8,36.3,16.4,6.1,10.1,2.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.5
Leger,"June 28, 2020",,28,40,17,7,6,—,2,±2.51 pp,"1,524",online,12
Mainstreet Research,"June 26, 2020",,27.4,43.2,14.1,5.7,4.8,2.9,1.8,±2.7 pp,"1,283",IVR,15.8
Nanos Research,"June 26, 2020",,27.0,38.4,14.8,6.5,9.3,3.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.4
Innovative Research,"June 23, 2020",,27,41,15,6,8,—,3,—,"2,115",online,14
Leger,"June 21, 2020",,28,39,19,7,5,—,2,±2.51 pp,"1,521",online,11
Abacus Data,"June 21, 2020",,29,40,16,7,6,2,1,±1.8 pp,"2,979",online,11
Nanos Research,"June 19, 2020",,26.1,38.2,14.1,7.5,9.5,3.8,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.1
EKOS,"June 16, 2020",,29.9,40.5,12.7,5.1,6.5,3.5,1.8,±1.8 pp,"3,006",IVR,10.6
Leger,"June 14, 2020",,27,40,16,7,7,—,3,±2.51 pp,"1,527",online,13
Nanos Research,"June 12, 2020",,25.7,36.8,16.3,7.0,9.3,4.4,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.1
Abacus Data,"June 11, 2020",Twitter,29,39,19,6,5,—,—,—,"1,780",online,10
Leger,"June 7, 2020",,25,46,15,7,6,—,1,±2.51 pp,"1,523",online,21
Nanos Research,"June 5, 2020",,25.5,35.8,16.7,8.1,8.3,4.7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.3
Innovative Research,"June 1, 2020",,28,42,12,7,7,—,4,—,"2,246",online,14
Leger,"May 31, 2020",,27,40,18,7,7,—,2,±2.50 pp,"1,536",online,13
Abacus Data,"May 29, 2020",Twitter,29,39,15,7,7,—,—,—,"1,800",online,10
Leger,"May 25, 2020",,27,41,15,7,6,—,2,±2.52 pp,"1,510",online,14
Angus Reid,"May 24, 2020",,31,37,17,7,5,—,3,±1.4 pp,"5,001",online,6
Nanos Research,"May 22, 2020",,26.2,35.3,19.3,6.6,7.5,4.6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.1
Leger,"May 17, 2020",,25,44,15,7,7,—,2,±2.52 pp,"1,513",online,19
Abacus Data,"May 17, 2020",,31,39,16,7,6,—,—,±2.3 pp,"1,800",online,8
Nanos Research,"May 15, 2020",,26.3,36.7,18.4,6.7,7.2,4.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.4
Leger,"May 10, 2020",,28,41,17,7,6,—,1,±2.51 pp,"1,526",online,13
Nanos Research,"May 8, 2020",,26.1,36.9,19.2,6.1,8.0,3.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.8
Mainstreet Research,"May 7, 2020",,29.4,43.3,11.5,5.8,5.9,3.0,1.1,±2.6 pp,"1,404",IVR,13.9
EKOS,"May 7, 2020",,28.3,42.7,10.6,6.7,6.7,3.3,1.7,±1.4 pp,"5,276",IVR,14.4
Innovative Research,"May 5, 2020",,28,41,13,6,7,—,3,—,"2,699",online,13
Research Co.,"May 3, 2020",,30,39,17,5,7,1,1,±3.1 pp,"1,000",online,9
Leger,"May 3, 2020",,25,44,15,7,6,—,2,±2.51 pp,"1,526",online,19
