Polling firm,Date,T-Days,CPC,NDP,LPC,BQ,GPC,Sample size
Nanos Research,2015-09-17,-32,29.1,31.3,31.0,2.3,5.8,1200
Nanos Research,2015-09-16,-33,30.1,30.4,30.9,2.5,5.8,1200
Forum Research,2015-09-15,-34,32.0,30.0,28.0,4.0,6.0,1402
Nanos Research,2015-09-15,-34,29.0,31.6,30.1,2.8,5.3,1200
Environics,2015-09-15,-34,26.0,34.0,29.0,4.0,8.0,1001
EKOS,2015-09-15,-34,29.6,29.9,27.4,3.7,7.6,2704
Nanos Research,2015-09-14,-35,31.0,30.4,29.6,2.9,4.8,1200
Ipsos Reid,2015-09-13,-36,29.0,32.0,31.0,4.0,4.0,980
Nanos Research,2015-09-13,-36,30.2,31.3,30.3,2.6,4.3,1200
Nanos Research,2015-09-12,-37,31.7,30.8,30.5,2.5,4.1,1200
Abacus Data,2015-09-11,-38,29.0,31.0,29.0,4.0,6.0,1500
Nanos Research,2015-09-11,-38,30.9,30.1,31.7,2.8,4.0,1200
Forum Research,2015-09-10,-39,28.0,36.0,29.0,3.0,3.0,1308
Nanos Research,2015-09-10,-39,30.8,29.9,30.9,3.2,4.6,1200
Innovative Research,2015-09-10,-39,28.0,31.0,30.0,4.0,6.0,2121
Nanos Research,2015-09-09,-40,28.6,30.6,32.1,3.6,4.8,1200
Nanos Research,2015-09-08,-41,25.9,31.2,32.5,3.7,6.1,1200
Ipsos Reid,2015-09-08,-41,29.0,34.0,30.0,3.0,3.0,949
EKOS,2015-09-08,-41,31.8,29.6,26.9,4.6,5.9,2677
Nanos Research,2015-09-06,-43,26.2,32.7,30.8,3.7,6.0,1200
Léger Marketing,2015-09-02,-47,28.0,31.0,30.0,4.0,5.0,2119
Forum Research,2015-09-01,-48,24.0,36.0,32.0,4.0,4.0,1384
EKOS,2015-09-01,-48,29.5,30.2,27.7,4.2,6.4,3243
Abacus Data,2015-08-28,-52,30.0,31.0,28.0,3.0,7.0,1500
Nanos Research,2015-08-28,-52,28.8,30.8,29.7,4.2,5.4,1000
Innovative Research,2015-08-26,-54,30.0,32.0,27.0,4.0,6.0,3274
Ipsos Reid,2015-08-26,-54,29.0,33.0,30.0,4.0,4.0,1000
EKOS,2015-08-25,-55,28.1,33.6,26.7,4.1,5.8,3524
Forum Research,2015-08-24,-56,23.0,40.0,30.0,3.0,3.0,1440
Angus Reid,2015-08-24,-56,32.0,36.0,23.0,4.0,4.0,6226
Nanos Research,2015-08-21,-59,30.1,29.1,29.9,4.7,5.2,1000
Forum Research,2015-08-19,-61,29.0,34.0,28.0,4.0,4.0,1473
Abacus Data,2015-08-17,-63,29.0,35.0,26.0,3.0,6.0,1439
Nanos Research,2015-08-14,-66,31.8,29.0,28.7,4.5,5.3,1000
Léger Marketing,2015-08-12,-68,27.0,33.0,28.0,5.0,6.0,2095
Mainstreet Research,2015-08-11,-69,31.0,30.0,29.0,4.0,6.0,5401
Forum Research,2015-08-11,-69,28.0,34.0,27.0,6.0,4.0,1392
EKOS,2015-08-11,-69,30.4,31.8,24.2,4.2,7.3,3055
Ipsos Reid,2015-08-10,-70,30.8,33.0,27.8,3.9,4.0,2022
Nanos Research,2015-08-07,-73,31.2,30.4,28.6,4.2,5.0,1000
Forum Research,2015-08-02,-78,28.0,39.0,25.0,5.0,3.0,1399
