Polling firm,"Date",Area,"Sample size",Con,Lab,Lib Dem,SNP,Plaid Cymru,Green,Brexit,UKIP,Change UK,Other,Lead
BMG/The Independent,4–6 Dec,GB,"1,542",41%,32%,14%,3%,0%,4%,4%,0%,0%,1%,9%
Opinium/The Observer,4–6 Dec,GB,"2,002",46%,31%,13%,4%,0%,2%,3%,–,–,1%,15%
Panelbase,4–6 Dec,GB,"2,033",43%,34%,13%,4%,1%,2%,3%,–,–,0%,9%
SavantaComRes/The Sunday Telegraph,4–5 Dec,GB,"2,034",41%,33%,12%,4%,–,2%,3%,–,–,5%,8%
SavantaComRes/Remain United,2–5 Dec,GB,"2,005",42%,36%,11%,3%,–,2%,4%,–,–,1%,6%
Ipsos MORI/Evening Standard,2–4 Dec,GB,"1,545",44%,32%,13%,4%,1%,3%,2%,–,–,1%,12%
SavantaComRes/The Daily Telegraph,2–3 Dec,GB,"2,041",42%,32%,12%,4%,–,2%,3%,–,–,5%,10%
YouGov/The Times/Sky News,2–3 Dec,GB,"1,699",42%,33%,12%,5%,0%,4%,4%,–,–,1%,9%
ICM Research,2 Dec,GB,"2,029",42%,35%,13%,3%,0%,2%,3%,–,–,1%,7%
Kantar Archived 3 December 2019 at the Wayback Machine,28 Nov–2 Dec,GB,"1,096",44%,32%,15%,3%,1%,3%,2%,–,–,1%,12%
Deltapoll/The Mail on Sunday,28–30 Nov,GB,"1,528",45%,32%,15%,3%,0%,1%,3%,0%,–,0%,13%
Survation/Good Morning Britain,26–30 Nov,UK,"1,065",42%,33%,11%,3%,1%,4%,3%,–,–,3%,9%
YouGov/The Sunday Times,28–29 Nov,GB,"1,680",43%,34%,13%,4%,0%,3%,2%,–,–,1%,9%
Opinium/The Observer,27–29 Nov,GB,"2,018",46%,31%,13%,4%,0%,3%,2%,–,–,2%,15%
BMG/The Independent,27–29 Nov,GB,"1,663",39%,33%,13%,4%,0%,5%,4%,0%,0%,1%,6%
SavantaComRes/The Sunday Telegraph,27–28 Nov,GB,"2,025",43%,33%,13%,3%,–,3%,4%,–,–,1%,10%
Panelbase,27–28 Nov,GB,"2,010",42%,34%,13%,3%,0%,3%,4%,–,–,1%,8%
SavantaComRes/The Daily Telegraph,25–26 Nov,GB,"2,034",41%,34%,13%,3%,–,2%,5%,–,–,1%,7%
YouGov/The Times/Sky News,25–26 Nov,GB,"1,678",43%,32%,13%,4%,0%,2%,4%,–,–,1%,11%
ICM Research,22–25 Nov,GB,"2,004",41%,34%,13%,3%,1%,3%,4%,0%,–,1%,7%
Kantar[permanent dead link],21–25 Nov,GB,"1,097",43%,32%,14%,4%,0%,4%,3%,–,–,0%,11%
Deltapoll/The Mail on Sunday,21–23 Nov,GB,"1,519",43%,30%,16%,4%,0%,3%,3%,–,–,0%,13%
Survation/Good Morning Britain,20–23 Nov,UK,"1,010",41%,30%,15%,3%,1%,3%,5%,–,–,4%,11%
YouGov/The Sunday Times,21–22 Nov,GB,"1,677",42%,30%,16%,4%,0%,4%,3%,–,–,1%,12%
Opinium/The Observer Archived 10 December 2019 at the Wayback Machine,20–22 Nov,GB,"2,003",47%,28%,12%,5%,0%,3%,3%,–,–,2%,19%
Panelbase,20–22 Nov,GB,"2,028",42%,32%,14%,3%,1%,3%,3%,–,–,2%,10%
SavantaComRes/Sunday Express,20–21 Nov,GB,"2,038",42%,32%,15%,3%,0%,2%,5%,–,–,1%,10%
BMG,19–21 Nov,GB,"1,663",41%,28%,18%,2%,0%,5%,3%,–,–,1%,13%
YouGov,12–20 Nov,GB,"11,277",43%,29%,15%,4%,1%,3%,4%,–,–,2%,14%
SavantaComRes/The Daily Telegraph,18–19 Nov,GB,"1,628",42%,31%,15%,4%,0%,2%,5%,–,–,1%,11%
YouGov/The Times,18–19 Nov,GB,"1,606",42%,30%,15%,4%,0%,4%,4%,–,–,1%,12%
Ipsos MORI/Evening Standard,15–19 Nov,GB,"1,128",44%,28%,16%,4%,1%,3%,3%,–,–,1%,16%
YouGov,17–18 Nov,GB,"1,634",43%,29%,15%,4%,1%,3%,3%,–,–,3%,14%
ICM Research,15–18 Nov,GB,"2,010",42%,32%,13%,3%,0%,3%,5%,–,–,2%,10%
Kantar Archived 23 November 2019 at the Wayback Machine,14–18 Nov,GB,"1,176",45%,27%,16%,4%,1%,3%,2%,–,–,1%,18%
Survation/Good Morning Britain,14–16 Nov,UK,"1,010",42%,28%,13%,3%,1%,3%,5%,–,–,4%,14%
Deltapoll/The Mail on Sunday,14–16 Nov,GB,"1,526",45%,30%,11%,3%,0%,2%,6%,2%,0%,0%,15%
YouGov/The Sunday Times,14–15 Nov,GB,"1,670",45%,28%,15%,4%,0%,3%,4%,–,–,2%,17%
Opinium/The Observer Archived 28 December 2019 at the Wayback Machine,13–15 Nov,GB,"2,008",44%,28%,14%,4%,1%,3%,6%,–,–,0%,16%
BMG/The Independent,12–15 Nov,GB,"1,506",37%,29%,16%,2%,0%,5%,9%,–,–,0%,8%
SavantaComRes/The Sunday Telegraph,13–14 Nov,GB,"2,052",41%,33%,14%,3%,0%,2%,5%,–,–,1%,8%
Panelbase,13–14 Nov,GB,"1,021",43%,30%,15%,4%,0%,2%,5%,–,–,0%,13%
SavantaComRes/The Daily Telegraph,11–12 Nov,GB,"2,022",40%,30%,16%,4%,0%,3%,7%,–,–,1%,10%
YouGov/The Times/Sky News,11–12 Nov,GB,"1,619",42%,28%,15%,3%,1%,4%,4%,–,–,4%,14%
ICM Research,8–11 Nov,GB,"2,035",39%,31%,15%,3%,0%,3%,8%,–,–,2%,8%
Kantar Archived 13 November 2019 at the Wayback Machine,7–11 Nov,GB,"1,165",37%,27%,17%,3%,1%,3%,9%,1%,1%,1%,10%
ComRes/Britain Elects,8–10 Nov,GB,"2,014",37%,29%,17%,4%,0%,3%,9%,–,–,1%,8%
Deltapoll/The Mail on Sunday,6–9 Nov,GB,"1,518",41%,29%,16%,3%,0%,2%,6%,1%,0%,1%,12%
YouGov/The Sunday Times,7–8 Nov,GB,"1,598",39%,26%,17%,4%,0%,4%,10%,–,–,0%,13%
Survation,6–8 Nov,UK,"2,037",35%,29%,17%,4%,1%,1%,10%,–,–,3%,6%
Opinium/The Observer Archived 18 December 2019 at the Wayback Machine,6–8 Nov,GB,"2,001",41%,29%,15%,5%,1%,2%,6%,–,–,0%,12%
Panelbase,6–8 Nov,GB,"1,046",40%,30%,15%,4%,0%,3%,8%,–,–,0%,10%
BMG/The Independent,5–8 Nov,GB,"1,504",37%,29%,16%,2%,0%,7%,9%,–,–,0%,8%
YouGov/The Times/Sky,5–6 Nov,GB,"1,667",36%,25%,17%,4%,1%,5%,11%,–,–,1%,11%
ComRes/Remain United,30 Oct–5 Nov,GB,"6,097",36%,29%,17%,4%,1%,3%,11%,0%,0%,0%,7%
YouGov/The Times,1–4 Nov,GB,"3,284",38%,25%,16%,4%,1%,5%,11%,0%,0%,0%,13%
ICM Research/Reuters,1–4 Nov,GB,"2,047",38%,31%,15%,3%,0%,3%,9%,1%,0%,1%,7%
Deltapoll/The Mail on Sunday,31 Oct–2 Nov,GB,"1,500",40%,28%,14%,3%,1%,2%,11%,1%,0%,0%,12%
Opinium/The Observer Archived 3 November 2019 at the Wayback Machine,30 Oct–1 Nov,GB,"2,004",42%,26%,16%,4%,1%,2%,9%,0%,0%,1%,16%
YouGov/The Sunday Times,30 Oct–1 Nov,GB,"1,834",39%,27%,16%,5%,1%,4%,7%,0%,0%,1%,12%
ComRes/Sunday Express,30–31 Oct,GB,"2,032",36%,28%,17%,4%,0%,3%,10%,0%,0%,1%,8%
ORB/The Sunday Telegraph Archived 3 November 2019 at the Wayback Machine,30–31 Oct,GB,"2,025",36%,28%,14%,5%,0%,4%,12%,0%,0%,1%,8%
Panelbase,30–31 Oct,GB,"1,008",40%,29%,14%,3%,0%,3%,9%,0%,0%,1%,11%
YouGov/The Times,29–30 Oct,GB,"1,750",36%,21%,18%,4%,1%,6%,13%,0%,0%,1%,15%
Survation/Daily Mail,29–30 Oct,UK,"1,010",34%,26%,19%,4%,0%,1%,12%,0%,0%,4%,8%
Ipsos MORI/Evening Standard,25–28 Oct,GB,"1,007",41%,24%,20%,4%,1%,3%,7%,0%,0%,0%,17%
YouGov,17–28 Oct,GB,"11,590",36%,22%,19%,4%,1%,6%,12%,0%,0%,0%,14%
YouGov/The Times,24–25 Oct,GB,"1,672",36%,23%,18%,4%,1%,6%,12%,0%,0%,0%,13%
Opinium/The Observer Archived 19 December 2019 at the Wayback Machine,23–25 Oct,GB,"2,001",40%,24%,15%,5%,0%,3%,10%,1%,0%,1%,16%
YouGov/The Times,20–21 Oct,GB,"1,689",37%,22%,19%,3%,1%,7%,11%,1%,0%,0%,15%
Deltapoll,18–21 Oct,GB,"2,017",37%,24%,19%,4%,1%,3%,11%,1%,0%,0%,13%
Panelbase,17–18 Oct,GB,"1,008",36%,27%,17%,4%,0%,3%,11%,0%,0%,0%,9%
Survation/Daily Mail,17–18 Oct,UK,"1,025",32%,24%,21%,4%,1%,2%,13%,0%,0%,4%,8%
ComRes/Britain Elects,16–17 Oct,GB,"2,067",33%,29%,18%,4%,1%,4%,12%,0%,0%,0%,4%
Opinium/The Observer Archived 12 November 2019 at the Wayback Machine,15–17 Oct,GB,"2,001",37%,24%,16%,4%,1%,4%,12%,2%,0%,1%,13%
YouGov/The Times,14–15 Oct,GB,"1,625",37%,22%,18%,4%,1%,5%,11%,1%,0%,0%,15%
Kantar[permanent dead link],10–15 Oct,GB,"1,184",39%,25%,18%,3%,1%,3%,8%,1%,0%,1%,14%
Panelbase/The Sunday Times,9–11 Oct,GB,"2,013",33%,30%,17%,4%,0%,3%,12%,0%,0%,0%,3%
ComRes/Daily Express,9–10 Oct,GB,"2,018",33%,27%,18%,4%,0%,4%,12%,0%,0%,2%,6%
YouGov/The Times,8–9 Oct,GB,"1,616",35%,22%,20%,4%,1%,6%,12%,0%,1%,0%,13%
ICM Research/Represent Us,4–7 Oct,GB,"2,013",35%,29%,16%,3%,1%,4%,11%,1%,0%,1%,6%
ComRes/The Daily Telegraph,4–6 Oct,GB,"2,006",33%,27%,19%,4%,1%,3%,13%,1%,0%,1%,6%
Opinium/The Observer Archived 17 December 2019 at the Wayback Machine,3–4 Oct,GB,"2,006",38%,23%,15%,5%,0%,4%,12%,1%,0%,0%,15%
BMG/The Independent,1–4 Oct,GB,"1,514",31%,26%,20%,3%,1%,7%,11%,0%,0%,0%,5%
YouGov/The Times,30 Sep–1 Oct,GB,"1,623",34%,21%,23%,3%,1%,5%,12%,0%,0%,1%,11%
YouGov/The Sunday Times,26–27 Sep,GB,"1,623",33%,22%,21%,4%,1%,5%,13%,0%,0%,1%,11%
Opinium/The Observer Archived 29 September 2019 at the Wayback Machine,25–27 Sep,GB,"2,007",36%,24%,20%,5%,1%,2%,11%,0%,0%,1%,12%
Survation/Daily Mail,25 Sep,UK,"1,011",27%,24%,22%,4%,0%,3%,16%,0%,0%,4%,3%
YouGov/The Times,24–25 Sep,GB,"1,635",33%,22%,22%,3%,1%,6%,14%,0%,0%,0%,11%
YouGov/People's Vote,19–20 Sep,GB,"2,006",30%,23%,22%,4%,0%,5%,14%,0%,0%,1%,7%
Opinium/The Observer Archived 22 September 2019 at the Wayback Machine,19–20 Sep,GB,"2,004",37%,22%,17%,4%,1%,4%,12%,2%,0%,0%,15%
ComRes/Britain Elects,18–19 Sep,GB,"2,050",29%,27%,20%,4%,0%,4%,13%,0%,1%,0%,2%
YouGov/The Times,17–18 Sep,GB,"1,608",32%,21%,23%,4%,1%,4%,14%,1%,0%,2%,9%
Ipsos MORI/Evening Standard,13–16 Sep,GB,"1,006",33%,24%,23%,4%,4%,4%,10%,0%,0%,1%,9%
Opinium/The Observer Archived 7 December 2019 at the Wayback Machine,11–13 Sep,GB,"2,002",37%,25%,16%,4%,1%,2%,13%,1%,0%,0%,12%
ComRes/Sunday Express,11–12 Sep,GB,"2,057",28%,27%,20%,4%,1%,5%,13%,1%,1%,0%,1%
YouGov/The Times,9–10 Sep,GB,"1,676",32%,23%,19%,4%,0%,7%,14%,0%,0%,1%,9%
Kantar Archived 7 November 2019 at the Wayback Machine,5–9 Sep,GB,"1,144",38%,24%,20%,4%,1%,3%,7%,1%,1%,1%,14%
ComRes/The Daily Telegraph,6–8 Sep,GB,"2,016",30%,29%,17%,3%,1%,4%,13%,1%,0%,2%,1%
Deltapoll/The Sun on Sunday,5–7 Sep,GB,"2,049",31%,28%,17%,5%,1%,4%,13%,1%,0%,0%,3%
YouGov/The Sunday Times,5–6 Sep,GB,"1,676",35%,21%,19%,4%,0%,7%,12%,1%,0%,1%,14%
Panelbase,5–6 Sep,GB,"1,013",31%,28%,19%,3%,0%,2%,15%,0%,0%,0%,3%
Survation/Daily Mail,5–6 Sep,UK,"1,006",29%,24%,18%,4%,1%,3%,17%,0%,0%,5%,5%
ComRes/Britain Elects,4–6 Sep,GB,"2,009",31%,27%,20%,3%,1%,3%,13%,1%,0%,1%,4%
Opinium/The Observer Archived 27 December 2019 at the Wayback Machine,4–6 Sep,GB,"2,009",35%,25%,17%,5%,0%,3%,13%,1%,0%,1%,10%
BMG/The Independent,3–6 Sep,GB,"1,504",31%,27%,19%,3%,0%,6%,13%,1%,0%,0%,4%
Hanbury Strategy Archived 9 March 2021 at the Wayback Machine,3–4 Sep,GB,995,33%,26%,17%,4%,1%,3%,14%,0%,0%,2%,7%
YouGov/The Times,2–3 Sep,GB,"1,639",35%,25%,16%,4%,1%,7%,11%,1%,0%,0%,10%
ICM Research/Represent Us,30 Aug–3 Sep,GB,"2,041",37%,30%,16%,3%,1%,4%,9%,1%,0%,1%,7%
Deltapoll/The Mail on Sunday,29–31 Aug,GB,"2,028",35%,24%,18%,4%,1%,4%,14%,0%,1%,0%,11%
Survation/Daily Mail,29–30 Aug,UK,"1,020",31%,24%,21%,4%,1%,3%,14%,0%,0%,3%,7%
YouGov,28–29 Aug,GB,"1,867",33%,22%,21%,4%,1%,7%,12%,0%,0%,1%,11%
YouGov/The Times,27–28 Aug,GB,"2,006",34%,22%,17%,4%,1%,8%,13%,1%,0%,1%,12%
YouGov/The Sunday Times,22–23 Aug,GB,"2,019",33%,21%,19%,4%,1%,7%,14%,0%,0%,1%,12%
Opinium/The Observer,21–23 Aug,GB,"2,005",32%,26%,15%,5%,1%,4%,16%,1%,0%,1%,6%
YouGov/The Times,20–21 Aug,GB,"1,687",32%,22%,20%,4%,1%,7%,12%,0%,0%,2%,10%
Kantar Archived 21 August 2019 at the Wayback Machine,15–19 Aug,GB,"1,133",42%,28%,15%,5%,0%,3%,5%,0%,1%,1%,14%
YouGov/The Times,13–14 Aug,GB,"1,625",30%,21%,20%,4%,1%,8%,14%,1%,0%,2%,9%
BMG/The Independent,7–12 Aug,GB,"1,515",31%,25%,19%,3%,1%,6%,12%,1%,0%,2%,6%
ComRes/The Daily Telegraph,9–11 Aug,GB,"2,011",31%,27%,16%,3%,0%,4%,16%,1%,0%,2%,4%
Survation,6–11 Aug,UK,"2,040",28%,24%,21%,4%,0%,3%,15%,0%,0%,4%,4%
Opinium/The Observer Archived 7 December 2019 at the Wayback Machine,8–9 Aug,GB,"2,003",31%,28%,13%,4%,1%,5%,16%,1%,0%,0%,3%
YouGov/The Times,5–6 Aug,GB,"1,628",31%,22%,21%,4%,0%,7%,14%,0%,0%,1%,9%
YouGov/The Times,29–30 Jul,GB,"2,066",32%,22%,19%,4%,1%,8%,13%,0%,0%,1%,10%
Ipsos MORI,26–30 Jul,GB,"1,007",34%,24%,20%,4%,1%,6%,9%,1%,0%,1%,10%
ComRes/Britain Elects,26–28 Jul,GB,"2,004",29%,30%,16%,3%,1%,5%,15%,1%,0%,2%,1%
Deltapoll/The Mail on Sunday,25–27 Jul,GB,"2,001",30%,25%,18%,4%,1%,4%,14%,1%,2%,1%,5%
YouGov/The Sunday Times,25–26 Jul,GB,"1,697",31%,21%,20%,5%,1%,8%,13%,0%,0%,1%,10%
Opinium/The Observer,24–26 Jul,GB,"2,006",30%,28%,16%,5%,1%,5%,15%,1%,0%,1%,2%
ComRes/Sunday Express,24–25 Jul,GB,"2,029",28%,27%,19%,3%,1%,4%,16%,1%,0%,0%,1%
YouGov/The Times,23–24 Jul,GB,"1,715",25%,19%,23%,4%,1%,9%,17%,1%,0%,1%,2%
YouGov/The Times,16–17 Jul,GB,"1,749",25%,21%,20%,4%,1%,8%,19%,0%,0%,1%,4%
ComRes/Britain Elects,15–16 Jul,GB,"2,038",25%,28%,17%,4%,0%,5%,19%,1%,1%,1%,3%
ComRes/Sunday Express,10–11 Jul,GB,"1,791",24%,28%,15%,3%,1%,5%,20%,1%,1%,2%,4%
Survation,10–11 Jul,GB,"1,012",23%,29%,19%,4%,1%,3%,20%,–,–,1%,6%
YouGov/The Times,9–10 Jul,GB,"1,671",24%,20%,19%,5%,1%,9%,21%,0%,0%,1%,3%
ComRes/The Daily Telegraph,5–7 Jul,GB,"2,010",25%,28%,16%,3%,0%,5%,19%,1%,0%,1%,3%
Opinium/The Observer,3–5 Jul,GB,"2,002",23%,25%,15%,5%,1%,8%,22%,1%,1%,0%,2%
BMG/The Independent,2–5 Jul,GB,"1,532",28%,27%,18%,2%,1%,6%,14%,2%,1%,0%,1%
YouGov/The Times,2–3 Jul,GB,"1,605",24%,18%,20%,4%,1%,9%,23%,0%,0%,1%,1%
YouGov/The Times,24–25 Jun,GB,"2,059",22%,20%,19%,4%,1%,10%,22%,1%,0%,1%,Tie
Ipsos MORI,21–25 Jun,GB,"1,043",26%,24%,22%,4%,1%,8%,12%,1%,0%,0%,2%
Opinium/The Observer Archived 19 July 2019 at the Wayback Machine,19–20 Jun,GB,"2,009",20%,26%,16%,4%,1%,6%,23%,2%,1%,1%,3%
Survation/The Mail on Sunday,19–20 Jun,GB,"2,016",24%,26%,18%,3%,1%,6%,20%,1%,1%,1%,2%
YouGov/The Times,18–19 Jun,GB,"1,641",20%,20%,21%,4%,1%,9%,23%,1%,0%,0%,2%
YouGov/The Sunday Times,13–14 Jun,GB,"1,672",21%,21%,19%,3%,1%,9%,24%,0%,0%,1%,3%
YouGov/The Times,9–10 Jun,GB,"1,702",17%,19%,22%,4%,1%,8%,26%,0%,1%,1%,4%
ComRes/The Daily Telegraph,7–9 Jun,GB,"2,017",23%,27%,17%,3%,1%,5%,22%,1%,1%,1%,4%
BMG/The Independent,4–7 Jun,GB,"1,520",26%,27%,17%,3%,1%,6%,18%,1%,1%,1%,1%
YouGov/The Times,5–6 Jun,GB,"1,670",18%,20%,20%,5%,0%,9%,26%,1%,0%,0%,6%
YouGov,4–5 Jun,GB,"1,663",18%,19%,22%,4%,0%,9%,25%,0%,–,3%,3%
YouGov,31 May–1 Jun,GB,"1,644",18%,19%,23%,5%,0%,10%,23%,–,–,2%,Tie
Deltapoll/The Mail on Sunday,29–30 May,GB,"2,449",20%,26%,16%,4%,1%,5%,24%,1%,4%,1%,2%
Opinium/The Observer Archived 18 July 2019 at the Wayback Machine,28–30 May,GB,"2,005",17%,22%,16%,4%,1%,11%,26%,1%,1%,1%,4%
YouGov/The Times,28–29 May,GB,"1,763",19%,19%,24%,6%,6%,8%,22%,1%,1%,0%,2%
Survation/Daily Mail,22 May,UK,"2,029",28%,33%,13%,3%,0%,3%,12%,3%,2%,3%,5%
Number Cruncher Politics,18–21 May,GB,"1,005",27%,31%,15%,5%,1%,4%,14%,1%,2%,0%,4%
Panelbase/The Sunday Times,14–21 May,GB,"2,033",21%,31%,13%,4%,0%,5%,19%,3%,4%,0%,10%
Opinium Archived 16 September 2019 at the Wayback Machine,17–20 May,GB,"2,005",22%,26%,12%,4%,1%,4%,25%,2%,2%,0%,4%
Survation/Daily Mail,17 May,UK,"1,000",27%,32%,13%,5%,0%,3%,13%,2%,2%,4%,5%
YouGov/Best for Britain/Hope Not Hate,8–17 May,GB,"9,260",24%,24%,18%,4%,1%,6%,18%,2%,2%,1%,Tie
Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,14–16 May,GB,"2,009",22%,29%,11%,4%,0%,3%,24%,2%,3%,1%,7%
YouGov/The Times,13–14 May,GB,"1,655",25%,25%,16%,5%,5%,7%,18%,2%,2%,1%,Tie
Ipsos MORI,10–14 May,GB,"1,072",25%,27%,15%,4%,1%,7%,16%,3%,2%,1%,2%
Hanbury Strategy/Politico Archived 26 June 2019 at the Wayback Machine,9–13 May,GB,"2,000",21%,30%,13%,4%,–,5%,19%,2%,6%,1%,9%
Kantar Archived 25 May 2019 at the Wayback Machine,9–13 May,GB,"1,152",25%,34%,15%,5%,2%,3%,10%,4%,1%,2%,9%
ComRes/The Daily Telegraph,10–12 May,GB,"2,028",20%,27%,13%,3%,0%,4%,20%,4%,6%,1%,7%
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,8–10 May,GB,"2,004",22%,28%,11%,4%,0%,6%,21%,4%,4%,0%,6%
BMG/The Independent,7–10 May,GB,"1,541",27%,30%,18%,2%,0%,6%,10%,3%,3%,1%,3%
ComRes/Brexit Express,9 May,GB,"2,034",19%,27%,14%,3%,1%,5%,20%,3%,7%,1%,8%
YouGov/The Times,8–9 May,GB,"2,212",24%,24%,16%,5%,5%,7%,18%,2%,2%,1%,Tie
Opinium/People's Vote,3–7 May,GB,"2,000",25%,30%,11%,3%,1%,5%,17%,4%,2%,1%,5%
YouGov,29–30 Apr,GB,"1,630",29%,29%,13%,4%,4%,5%,15%,2%,3%,1%,Tie
YouGov/The Times,23–24 Apr,GB,"1,787",27%,30%,11%,5%,5%,5%,14%,4%,3%,1%,3%
Panelbase/The Sunday Times,18–24 Apr,GB,"2,030",27%,36%,8%,4%,–,3%,13%,5%,4%,1%,9%
Opinium/The Observer Archived 17 May 2019 at the Wayback Machine,21–23 Apr,GB,"2,004",26%,33%,6%,5%,1%,4%,17%,4%,4%,1%,7%
ORB/The Daily Telegraph,16–17 Apr,UK,"1,546",26%,29%,8%,4%,1%,4%,14%,5%,5%,4%,3%
YouGov/The Times,16–17 Apr,GB,"1,755",29%,30%,10%,5%,5%,5%,12%,4%,3%,2%,1%
ComRes/Brexit Express Archived 15 December 2019 at the Wayback Machine,16 Apr,GB,"1,061",23%,33%,7%,3%,1%,3%,14%,5%,9%,1%,10%
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,9–12 Apr,GB,"2,007",29%,36%,8%,5%,1%,4%,–,11%,–,6%,7%
YouGov/The Times,10–11 Apr,GB,"1,843",28%,32%,11%,5%,5%,5%,8%,6%,3%,2%,4%
Hanbury Strategy/Open Europe Archived 8 March 2021 at the Wayback Machine,5–8 Apr,GB,"2,000",31%,40%,8%,4%,1%,5%,–,8%,–,4%,9%
Kantar Archived 26 June 2019 at the Wayback Machine,4–8 Apr,GB,"1,172",32%,35%,11%,5%,1%,4%,–,7%,–,6%,3%
Survation,3–8 Apr,E+W,"6,062",37%,41%,10%,–,1%,2%,–,7%,1%,2%,4%
ComRes/The Daily Telegraph Archived 15 December 2019 at the Wayback Machine,5–7 Apr,GB,"2,018",32%,32%,7%,3%,0%,3%,–,9%,9%,3%,Tie
BMG/The Independent,2–5 Apr,GB,"1,500",29%,31%,8%,3%,1%,4%,6%,7%,8%,1%,2%
BMG/The Independent,2–5 Apr,GB,"1,500",35%,34%,11%,4%,1%,5%,–,6%,–,3%,1%
YouGov/The Times,2–3 Apr,GB,"1,771",32%,31%,12%,6%,6%,4%,5%,7%,–,3%,1%
Deltapoll/The Mail on Sunday,28–30 Mar,GB,"1,010",32%,35%,7%,2%,1%,2%,6%,6%,9%,1%,3%
Deltapoll/The Mail on Sunday,28–30 Mar,GB,"1,010",36%,41%,7%,3%,1%,3%,–,7%,–,3%,5%
Opinium/The Observer Archived 16 May 2019 at the Wayback Machine,28–29 Mar,GB,"2,008",35%,35%,9%,4%,0%,5%,–,9%,–,3%,Tie
YouGov/The Times,24–25 Mar,GB,"2,110",36%,33%,11%,5%,5%,4%,5%,4%,–,2%,3%
ComRes/Leave Means Leave Archived 31 March 2019 at the Wayback Machine,22–24 Mar,GB,"2,030",33%,33%,8%,3%,1%,3%,–,7%,9%,3%,Tie
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,20–22 Mar,GB,"2,002",36%,35%,7%,5%,1%,4%,–,9%,–,3%,1%
ComRes/Daily Express Archived 15 December 2019 at the Wayback Machine,20–21 Mar,GB,"2,063",34%,35%,8%,3%,1%,4%,–,7%,6%,3%,1%
Ipsos MORI,15–19 Mar,GB,"1,050",38%,34%,8%,5%,1%,4%,1%,7%,2%,0%,4%
ComRes/The Daily Telegraph Archived 15 December 2019 at the Wayback Machine,15–17 Mar,GB,"2,033",34%,35%,8%,3%,1%,3%,–,6%,7%,3%,1%
Survation/Daily Mail,15 Mar,UK,"1,007",35%,39%,10%,3%,0%,–,–,–,–,12%,4%
YouGov/People's Vote,14–15 Mar,GB,"1,823",35%,33%,11%,–,–,–,–,–,–,21%,2%
YouGov/The Times,14–15 Mar,GB,"1,756",35%,31%,12%,4%,4%,4%,4%,6%,–,2%,4%
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,13–15 Mar,GB,"2,003",35%,35%,7%,5%,0%,4%,–,8%,4%,2%,Tie
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,12–15 Mar,GB,"2,008",38%,34%,8%,5%,1%,3%,–,8%,–,3%,4%
