Polling firm,Date,"Sample size",Resp.,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,Others,Lead,Red,Blue,Lead
Kantar TNS,25–30 Aug 2017,"1,997",80.8,2.8,5.9,3.5,26.7,11.1,3.6,4.2,24.7,15.4,2.0,2.0,46.5,47.9,1.4
Norstat,22–29 Aug 2017,932,–,3.8,5.2,5.2,25.6,10.3,3.1,4.9,24.2,16.7,1.7,1.4,44.9,48.9,4.0
Kantar TNS,24–29 Aug 2017,"1,789",79.3,2.6,6.5,3.6,25.7,10.4,3.9,4.2,25.1,16.3,1.7,0.6,45.2,49.5,4.3
Norstat,24–28 Aug 2017,987,–,2.7,6.1,4.2,24.4,10.6,3.3,6.0,25.7,15.0,2.0,1.3,43.8,50.0,6.2
Kantar TNS,22–28 Aug 2017,"1,891",79.2,2.6,6.5,3.9,26.5,11.2,3.7,4.0,24.0,16.0,1.6,2.5,46.8,47.7,0.9
Kantar TNS,21–25 Aug 2017,"1,694",79.2,2.9,5.7,4.6,26.8,11.2,3.1,3.7,24.2,16.7,1.2,2.6,46.6,47.7,1.1
InFact,23 Aug 2017,"2,043",–,3.6,6.6,4.9,27.6,12.0,3.6,5.3,22.2,12.0,2.3,5.4,49.8,43.1,6.7
Ipsos MMI,21–23 Aug 2017,933,–,3.8,5.9,2.6,29.5,10.0,3.4,4.4,23.3,15.0,2.1,6.2,,,
Kantar TNS,18–23 Aug 2017,"1,070",–,3.1,5.5,4.7,27.9,12.1,3.2,3.2,23.3,15.4,1.5,4.6,,,
Respons Analyse,18–23 Aug 2017,"1,000",–,3.2,4.5,3.9,27.3,10.8,3.7,4.5,25.1,15.5,1.5,2.2,,,
Norstat,15–21 Aug 2017,774,–,2.7,5.5,4.4,29.0,9.5,4.0,5.1,22.4,14.2,3.1,6.6,,,
Sentio,15–20 Aug 2017,"1,000",71.6,2.5,5.1,6.1,27.0,11.1,4.1,5.3,24.2,13.1,1.6,2.8,,,
Kantar TNS,14–18 Aug 2017,976,75.6,3.8,6.4,3.4,28.4,10.5,3.5,5.3,23.8,12.7,2.2,4.6,,,
InFact,17 Aug 2017,"2,030",–,3.7,5.6,3.9,30.5,10.9,4.1,5.2,21.9,12.1,2.4,8.6,,,
Norstat,8–14 Aug 2017,756,–,1.8,5.2,4.6,27.1,9.2,3.9,5.0,23.8,16.7,2.7,3.3,,,
Kantar TNS,7–11 Aug 2017,977,75.6,4.7,3.6,3.1,30.3,12.6,4.4,3.9,21.5,13.7,2.1,8.8,,,
Respons Analyse,8–10 Aug 2017,"1,001",–,2.7,6.4,3.7,28.1,10.1,3.6,5.1,24.8,13.6,1.9,3.3,,,
Opinion Perduco,1–7 Aug 2017,950,72.0,2.9,4.1,4.3,30.0,10.8,3.2,6.0,24.9,12.3,1.5,5.1,,,
Norfakta,1–2 Aug 2017,"1,006",–,1.8,4.6,2.1,31.9,9.5,3.1,4.7,26.1,13.8,2.5,5.8,,,
InFact,1–2 Aug 2017,"2,015",–,3.2,5.2,3.6,30.0,11.9,3.2,5.2,22.7,12.6,2.3,7.3,,,
Norfakta,4–5 Jul 2017,"1,002",78.0,1.8,4.6,3.9,32.2,9.7,3.3,5.2,22.9,14.7,1.7,9.2,,,
InFact,3–4 Jul 2017,"2,016",–,2.8,4.5,4.1,31.9,13.0,3.5,4.6,21.1,11.9,2.7,10.8,,,
Norstat,20–26 Jun 2017,935,–,1.8,4.3,3.9,30.6,11.7,3.4,4.1,23.3,15.2,1.7,7.3,,,
Sentio,22 Jun 2017,"1,000",71.1,3.3,4.3,3.9,30.6,11.3,3.6,4.8,24.2,11.6,2.8,6.4,,,
Ipsos MMI,19–21 Jun 2017,"1,005",–,3.3,4.7,3.2,31.7,12.2,4.0,3.9,23.1,12.8,1.2,8.6,,,
Kantar TNS,12–16 Jun 2017,971,75.4,2.6,3.5,2.1,32.2,14.5,2.8,4.5,22.3,13.7,1.9,9.9,,,
Respons Analyse,9–14 Jun 2017,"1,002",74.0,2.3,4.8,3.1,31.7,9.8,3.5,4.7,24.1,14.0,2.0,7.6,,,
Opinion Perduco,6–12 Jun 2017,935,72.0,1.6,4.1,3.8,32.6,12.8,3.5,5.3,23.1,12.0,1.3,9.5,,,
Norfakta,6–7 Jun 2017,"1,002",–,2.5,4.7,3.2,28.5,12.1,3.0,4.4,25.5,14.4,1.8,3.0,,,
InFact,2–7 Jun 2017,"2,072",–,3.5,4.5,3.6,32.3,11.3,3.2,4.8,20.5,12.5,3.3,11.8,,,
Norstat,30 May–5 Jun 2017,927,–,1.2,4.3,2.8,33.0,11.6,3.4,4.4,23.7,14.0,1.6,9.3,,,
InFact,31 May 2017,"1,014",–,2.5,4.6,2.8,34.8,12.8,3.0,4.8,21.2,10.9,2.6,13.6,,,
Norstat,23–29 May 2017,926,–,1.7,3.4,2.9,31.0,12.5,3.1,4.2,22.7,15.9,2.5,8.3,,,
Ipsos MMI,22–25 May 2017,929,–,2.5,3.9,2.7,31.2,9.2,4.3,5.2,24.2,14.3,2.5,8.0,,,
Sentio,16–22 May 2017,"1,000",70.6,2.8,4.3,3.1,30.9,15.3,3.2,3.8,24.1,11.0,1.6,6.8,,,
Opinion Perduco,9–15 May 2017,951,75.0,3.8,4.1,3.1,29.4,12.1,2.9,5.5,21.8,15.1,2.1,7.6,,,
Respons Analyse,5–10 May 2017,"1,000",78.0,2.1,3.8,2.6,30.9,11.4,3.4,4.4,23.9,16.1,1.4,7.0,,,
Kantar TNS,3–9 May 2017,973,75.3,1.7,4.4,2.1,33.1,15.0,2.8,3.7,23.6,11.6,1.6,9.5,,,
Norstat,2–8 May 2017,935,–,2.2,4.4,2.6,32.0,11.2,3.2,5.2,24.0,12.8,2.4,8.0,,,
Norfakta,2–3 May 2017,"1,002",–,2.3,3.7,2.9,33.7,11.0,3.2,5.0,23.9,13.0,1.4,9.8,,,
InFact,2–3 May 2017,"2,020",–,3.0,4.4,3.0,32.6,12.7,3.9,5.5,21.6,11.2,2.0,9.0,,,
Norstat,25 Apr–1 May 2017,942,–,3.3,4.5,3.0,32.6,12.8,2.1,4.3,24.3,11.7,1.4,8.3,,,
Ipsos MMI,24–26 Apr 2017,933,–,3.9,4.5,2.4,33.5,11.1,4.3,4.9,21.9,12.9,0.6,11.6,,,
Sentio,18–24 Apr 2017,"1,000",66.8,2.0,4.1,2.5,32.8,13.1,3.1,4.5,25.1,11.4,1.3,7.7,,,
Opinion Perduco,9–11 Apr 2017,953,73.0,2.0,4.8,2.5,30.5,11.3,4.3,4.2,25.1,13.1,2.1,5.4,,,
InFact,6–10 Apr 2017,"2,052",–,2.5,4.9,3.0,31.7,13.5,3.7,6.0,19.3,12.9,2.4,12.3,,,
Norfakta,4–5 Apr 2017,"1,000",75.0,2.7,3.8,2.8,32.2,10.7,3.6,3.8,23.8,14.3,2.2,8.4,,,
Respons Analyse,3–5 Apr 2017,"1,000",–,2.3,5.4,2.6,30.5,11.5,3.6,5.7,23.6,13.2,1.6,6.9,,,
Kantar TNS,29 Mar–4 Apr 2017,975,–,1.7,4.7,3.1,28.9,15.8,3.2,3.9,24.2,12.1,1.9,4.7,,,
Norstat,28 Mar–3 Apr 2017,932,–,1.5,4.7,2.6,33.4,11.3,3.7,5.1,23.7,12.3,1.6,9.4,,,
Ipsos MMI,27–29 Mar 2017,950,–,2.5,3.9,2.4,30.9,13.4,4.2,5.3,25.3,10.6,1.6,5.6,,,
Norstat,21–27 Mar 2017,953,–,2.5,5.0,2.5,30.8,14.3,2.7,4.5,20.6,15.8,1.3,10.2,,,
Sentio,14–20 Mar 2017,"1,000",68.4,2.8,4.2,3.6,34.1,12.3,3.9,5.0,22.7,10.8,0.7,11.5,,,
InFact,15 Mar 2017,"1,020",–,2.8,4.2,2.7,33.7,14.3,4.3,5.1,20.1,11.1,1.8,13.6,,,
Opinion Perduco,7–13 Mar 2017,954,71.0,1.5,5.4,2.2,29.5,9.3,3.8,5.5,26.3,14.3,1.9,3.2,,,
Kantar TNS,9 Mar 2017,"1,055",79.7,2.5,4.7,2.1,32.5,11.1,3.6,5.4,23.7,13.5,1.4,8.8,,,
Norfakta,7–8 Mar 2017,"1,000",74.0,2.7,4.5,2.5,34.4,8.9,3.3,4.2,25.3,12.6,2.0,9.1,,,
InFact,6–8 Mar 2017,"2,030",–,1.8,4.3,3.1,35.6,11.0,5.1,4.9,20.8,11.1,2.3,14.8,,,
Respons Analyse,6–8 Mar 2017,"1,001",–,2.6,4.6,3.5,32.0,10.7,3.7,5.4,24.8,11.4,1.3,7.2,,,
Norstat,28 Feb–6 Mar 2017,927,–,2.0,4.4,2.9,32.8,10.9,3.9,4.6,22.4,14.4,2.5,10.4,,,
Norstat,21–27 Feb 2017,952,–,3.2,3.4,2.7,31.2,10.9,3.9,5.4,23.8,13.2,2.3,7.4,,,
Ipsos MMI,20–22 Feb 2017,947,–,3.0,3.8,2.2,31.6,11.4,3.5,5.2,23.8,14.1,1.2,7.8,,,
Sentio,14–20 Feb 2017,"1,000",65.0,1.7,3.9,2.2,30.2,11.4,5.3,5.3,23.7,14.1,2.1,6.5,,,
Opinion Perduco,7–13 Feb 2017,918,73.0,3.3,4.0,2.6,33.5,9.6,4.0,4.4,23.2,14.2,1.2,10.3,,,
Kantar TNS,8 Feb 2017,981,72.7,2.0,3.9,3.8,33.2,9.9,3.9,3.8,22.1,15.7,1.6,11.1,,,
Norfakta,7–8 Feb 2017,"1,002",76.0,1.6,3.7,2.4,33.9,9.6,3.9,5.6,25.0,12.7,1.5,8.9,,,
Respons Analyse,6–8 Feb 2017,–,–,1.8,4.3,2.3,34.8,9.1,3.8,4.6,24.4,13.4,1.5,10.4,,,
Norstat,31 Jan–6 Feb 2017,935,–,1.1,5.1,3.1,33.0,8.6,3.4,5.8,24.6,13.0,2.3,8.4,,,
InFact,31 Jan–2 Feb 2017,"2,031",–,2.4,4.8,3.3,33.0,10.2,4.4,5.4,21.0,13.2,2.1,12.0,,,
Norstat,24–30 Jan 2017,935,–,1.9,3.8,3.6,34.3,8.6,3.5,4.2,22.6,16.0,1.6,11.7,,,
Ipsos MMI,23–25 Jan 2017,944,–,1.5,5.0,2.9,35.3,8.0,3.7,4.9,22.9,14.8,1.0,12.4,,,
Sentio,17–23 Jan 2017,"1,000",68.3,2.7,5.1,1.6,35.7,9.3,4.3,5.4,22.8,12.1,1.0,12.9,,,
Opinion Perduco,10–16 Jan 2017,944,74.0,2.0,3.6,2.7,34.0,8.3,3.7,5.6,23.3,16.3,0.6,10.7,,,
Respons Analyse,9–11 Jan 2017,"1,002",–,2.6,3.1,2.4,35.3,7.1,4.1,5.0,23.3,15.4,1.7,12.0,,,
InFact,5–9 Jan 2017,"2,003",–,2.2,4.7,3.2,36.9,8.9,3.2,5.4,20.9,12.0,2.6,16.0,,,
Norstat,3–9 Jan 2017,944,–,1.5,4.1,2.4,36.1,6.1,3.9,5.1,24.5,15.2,1.1,11.6,,,
Kantar TNS,2–6 Jan 2017,967,–,2.6,4.7,1.9,32.7,8.4,4.9,5.3,24.5,13.6,1.4,8.2,,,
Norfakta,3–4 Jan 2017,"1,000",75.0,1.9,4.2,2.6,37.8,6.2,4.2,4.8,25.3,11.8,1.1,12.5,,,
Norstat,13–19 Dec 2016,963,–,2.1,4.2,2.9,34.1,6.3,3.8,6.2,22.0,15.7,2.6,12.1,,,
Ipsos MMI,12–14 Dec 2016,932,–,1.5,3.4,2.9,37.8,6.8,4.8,4.0,23.3,13.0,2.1,14.5,,,
Sentio,6–13 Dec 2016,"1,000",–,1.9,3.6,2.8,36.8,8.0,3.5,4.8,23.3,13.7,1.6,13.5,,,
Norfakta,6–7 Dec 2016,"1,010",77.0,1.5,5.1,2.3,38.7,7.3,2.7,5.2,21.6,14.1,1.6,16.1,,,
Respons Analyse,5–7 Dec 2016,"1,000",79.0,2.2,4.5,2.4,34.1,7.5,4.7,4.4,24.9,14.2,1.1,9.2,,,
Opinion Perduco,29 Nov–5 Dec 2016,962,72.0,2.4,4.3,2.4,35.8,6.4,4.1,5.2,24.7,13.4,1.3,11.1,,,
Kantar TNS,28 Nov–2 Dec 2016,978,79.7,1.7,3.9,4.5,37.2,6.0,4.0,4.3,23.0,13.3,2.1,14.2,,,
InFact,30 Nov–1 Dec 2016,"2,007",–,2.6,4.8,3.5,36.9,8.4,4.5,5.2,19.9,12.0,2.1,17.0,,,
Norstat,22–28 Nov 2016,971,–,1.3,5.0,1.7,33.8,7.2,4.1,4.2,25.0,16.5,1.1,8.8,,,
Norstat,15–21 Nov 2016,972,–,1.6,3.4,2.5,34.7,7.6,4.7,4.5,24.8,13.7,2.4,9.9,,,
Ipsos MMI,14–16 Nov 2016,929,–,3.1,3.7,3.5,35.6,6.3,4.5,4.0,24.8,14.1,0.4,10.8,,,
InFact,9–16 Nov 2016,"2,040",–,2.0,4.4,3.6,38.1,8.8,4.2,5.4,19.7,12.1,1.7,18.4,,,
Sentio,8–14 Nov 2016,"1,000",68.7,1.3,3.8,3.4,38.4,7.7,3.5,5.9,23.5,10.4,2.1,14.9,,,
Opinion Perduco,1–7 Nov 2016,954,73.0,2.4,4.2,3.3,36.0,7.8,4.5,5.5,24.9,9.9,1.5,11.1,,,
Norfakta,1–2 Nov 2016,"1,001",–,1.6,4.1,1.8,34.6,6.1,6.0,4.9,24.9,14.2,1.8,9.7,,,
Norstat,25–31 Oct 2016,963,–,1.4,4.9,2.5,37.4,6.6,4.0,5.0,23.5,13.6,1.2,13.9,,,
Kantar TNS,25–31 Oct 2016,974,76.8,2.3,5.7,3.1,38.0,5.3,3.6,4.8,23.7,11.9,1.5,14.3,,,
Norstat,18–24 Oct 2016,973,–,1.8,3.1,1.7,38.4,6.2,4.0,4.3,21.9,17.1,1.5,16.5,,,
Ipsos MMI,17–19 Oct 2016,931,–,2.3,4.3,2.6,36.3,6.4,4.5,4.7,25.3,12.8,0.7,11.0,,,
Sentio,11–16 Oct 2016,"1,000",68.0,2.4,3.2,2.6,36.2,7.2,3.0,4.7,25.8,13.3,1.5,10.4,,,
Respons Analyse,10–12 Oct 2016,"1,001",–,1.9,3.7,3.3,35.8,7.0,5.1,4.4,23.5,14.0,1.3,12.3,,,
InFact,10–11 Oct 2016,"2,016",–,1.5,4.2,2.5,38.3,8.5,4.8,5.1,21.7,11.5,1.9,16.6,,,
Opinion Perduco,4–10 Oct 2016,966,72.0,2.3,3.7,1.9,36.8,6.6,4.5,3.7,26.0,12.9,1.5,10.8,,,
Norfakta,4–5 Oct 2016,"1,001",79.0,1.5,4.2,2.9,38.5,5.5,4.6,4.7,23.3,12.9,1.8,15.2,,,
Kantar TNS,3 Oct 2016,974,72.8,1.9,4.2,2.4,34.9,6.0,4.3,4.7,27.1,12.8,1.9,7.8,,,
Norstat,29 Sep–3 Oct 2016,965,–,0.9,3.9,3.9,33.9,7.2,4.0,4.2,26.2,14.1,1.7,7.7,,,
Norstat,20–26 Sep 2016,961,–,2.0,2.8,3.5,34.6,6.7,3.4,4.3,26.3,13.7,2.8,8.3,,,
Ipsos MMI,19–21 Sep 2016,909,–,2.0,5.4,3.2,34.4,7.9,4.3,4.3,23.7,14.4,0.3,10.7,,,
Sentio,13–18 Sep 2016,"1,000",74.7,1.1,4.4,1.8,38.4,7.4,3.7,4.4,22.9,14.7,1.2,15.5,,,
Respons Analyse,12–14 Sep 2016,"1,001",–,1.4,3.6,3.8,33.7,5.7,5.2,5.2,24.7,14.9,1.8,9.0,,,
Opinion Perduco,6–12 Sep 2016,963,73.0,2.0,3.3,3.3,37.5,6.7,4.4,6.0,24.2,11.4,1.2,13.3,,,
InFact,5–8 Sep 2016,"2,039",–,2.1,5.9,2.1,32.3,8.8,3.3,7.1,22.7,13.2,2.4,9.6,,,
Norfakta,6–7 Sep 2016,"1,002",–,1.0,3.3,2.9,33.8,6.5,4.6,3.8,27.1,15.1,2.0,6.7,,,
Norstat,30 Aug–5 Sep 2016,959,–,1.7,3.7,3.1,33.7,6.9,4.5,4.3,25.0,16.2,0.9,8.7,,,
TNS Gallup,29 Aug–2 Sep 2016,964,78.5,1.9,4.2,2.1,33.6,7.4,4.9,3.7,26.9,14.8,0.7,6.7,,,
Norstat,23–29 Aug 2016,963,–,1.5,4.1,1.6,34.3,6.7,4.5,4.9,24.8,16.5,1.1,9.5,,,
Ipsos MMI,22–24 Aug 2016,929,–,1.5,4.4,3.5,34.1,6.3,3.8,4.4,24.3,16.4,1.4,9.8,,,
Sentio,16–22 Aug 2016,"1,000",68.8,1.7,3.0,3.3,36.8,7.5,4.7,4.5,21.6,15.2,1.8,15.2,,,
Respons Analyse,18 Aug 2016,–,–,1.2,4.2,2.6,36.1,5.5,4.7,5.2,24.7,13.7,2.1,11.4,,,
Norstat,9–15 Aug 2016,969,–,1.5,4.2,3.0,34.4,7.1,3.3,4.5,24.2,15.4,2.5,10.2,,,
Opinion Perduco,2–8 Aug 2016,972,71.0,1.8,2.6,2.4,36.4,6.4,4.6,5.0,25.4,14.5,1.0,11.0,,,
TNS Gallup,1–5 Aug 2016,982,75.1,1.8,4.4,3.4,34.0,6.1,3.8,4.6,27.1,13.2,1.6,6.9,,,
Norfakta,2–3 Aug 2016,"1,002",–,1.3,3.9,3.5,36.2,6.9,3.7,5.0,26.4,12.2,0.8,9.8,,,
Norfakta,6–7 Jul 2016,"1,001",80.0,1.8,3.6,3.0,30.4,7.7,4.7,5.0,25.9,15.1,2.8,4.5,,,
TNS Gallup,27 Jun–1 Jul 2016,986,76.9,2.9,4.7,2.6,32.2,7.0,4.5,5.1,24.9,14.9,1.2,7.3,,,
Norstat,21–27 Jun 2016,974,–,1.2,4.6,4.2,35.3,6.8,3.5,4.4,23.0,15.6,1.3,12.3,,,
Ipsos MMI,20–22 Jun 2016,933,–,2.0,3.7,3.5,30.7,6.7,4.3,5.0,25.3,16.2,2.5,5.4,,,
Sentio,14–20 Jun 2016,"1,000",70.0,1.4,3.3,4.5,32.3,5.9,4.3,6.1,23.2,17.5,1.5,9.1,,,
Opinion Perduco,7–13 Jun 2016,962,74.0,2.6,4.4,3.2,35.3,5.4,3.5,5.2,24.4,14.5,1.5,10.9,,,
Norfakta,7–8 Jun 2016,"1,000",73.0,1.0,5.0,3.2,35.0,6.8,5.4,5.1,23.0,14.9,0.6,12.0,,,
Respons Analyse,6–8 Jun 2016,"1,002",79.0,2.1,4.2,2.8,32.5,6.1,4.6,5.0,24.6,17.1,1.0,7.9,,,
Norstat,31 May–6 Jun 2016,958,–,1.8,4.2,2.8,34.5,7.1,4.2,4.8,21.5,16.6,2.5,13.0,,,
TNS Gallup,30 May–3 Jun 2016,978,74.6,2.2,4.5,4.1,34.9,5.9,4.8,4.1,23.9,14.7,0.7,11.0,,,
Norstat,3 Jun 2016,–,–,1.1,5.7,3.4,36.6,5.2,4.1,5.4,20.9,15.9,1.8,15.7,,,
Ipsos MMI,23–25 May 2016,938,–,2.8,4.5,3.7,34.8,6.5,5.1,5.5,22.6,12.6,1.8,12.2,,,
Sentio,17–23 May 2016,"1,000",70.7,1.1,4.1,3.6,33.8,7.5,3.7,4.4,23.3,17.9,0.6,10.5,,,
InFact,22 May 2016,"2,022",–,2.0,4.6,3.2,34.0,8.4,3.6,5.3,22.4,14.2,2.4,11.6,,,
Opinion Perduco,9–14 May 2016,972,77.0,2.5,3.4,4.2,31.3,6.2,3.9,6.4,25.4,14.5,2.2,5.9,,,
Respons Analyse,9–11 May 2016,"1,001",77.0,1.4,3.9,3.3,33.5,5.5,4.9,5.8,25.5,15.3,0.9,8.0,,,
Norstat,3–9 May 2016,962,–,2.4,5.1,2.5,32.1,6.5,5.3,5.3,24.3,15.1,1.3,7.8,,,
Norfakta,3–4 May 2016,"1,003",81.0,2.5,3.7,2.2,36.0,6.1,4.9,5.0,20.5,17.4,1.7,14.2,,,
Norstat,26 Apr–2 May 2016,973,–,2.0,4.5,2.1,30.8,6.5,4.7,5.2,26.1,17.3,0.8,4.7,,,
TNS Gallup,25–29 Apr 2016,971,74.4,1.8,2.6,3.0,35.9,6.3,3.8,4.6,25.1,15.6,1.4,10.8,,,
Sentio,19–25 Apr 2016,"1,000",71.9,1.7,4.4,2.3,33.4,6.9,5.2,6.1,23.5,14.7,1.8,9.9,,,
Ipsos MMI,18–20 Apr 2016,943,–,2.0,5.9,3.2,32.8,5.9,4.7,6.2,23.1,15.8,0.4,9.7,,,
Opinion Perduco,12–18 Apr 2016,962,73.0,0.9,4.6,2.4,32.7,6.4,3.3,5.5,26.1,16.2,1.9,6.6,,,
Respons Analyse,11–13 Apr 2016,"1,002",78.0,1.0,4.3,3.9,33.7,5.2,5.1,5.5,22.8,16.7,1.8,10.9,,,
Norstat,5–11 Apr 2016,970,–,1.5,3.5,3.2,32.5,6.0,4.6,5.2,24.9,17.1,1.5,7.6,,,
Norfakta,5–6 Apr 2016,"1,006",78.0,1.5,2.6,3.4,35.3,5.4,5.6,5.1,24.5,16.0,0.6,10.8,,,
InFact,4–6 Apr 2016,"1,000",–,1.9,4.9,3.5,33.6,7.2,3.9,5.5,22.4,15.5,1.6,11.2,,,
Norstat,29 Mar–4 Apr 2016,959,–,1.6,3.3,3.6,34.6,5.6,4.2,4.8,21.8,18.8,1.7,12.8,,,
TNS Gallup,29 Mar–1 Apr 2016,963,80.2,1.4,4.4,3.0,35.8,6.2,3.5,3.9,24.5,16.5,0.8,11.3,,,
Sentio,15–21 Mar 2016,"1,000",70.5,1.6,3.4,3.8,32.3,5.8,4.7,5.6,24.3,17.6,1.1,8.0,,,
Ipsos MMI,14–16 Mar 2016,914,–,3.0,3.0,3.2,32.5,7.1,4.9,4.9,26.3,14.6,0.5,6.2,,,
Opinion Perduco,8–14 Mar 2016,–,75.0,1.7,3.6,3.7,33.1,5.4,4.5,3.9,26.6,16.4,1.3,6.5,,,
Respons Analyse,7–9 Mar 2016,"1,001",80.0,1.8,3.6,3.0,34.1,5.8,4.6,5.1,24.1,16.2,1.7,10.0,,,
Norstat,1–7 Mar 2016,968,–,1.5,4.0,2.9,31.6,6.6,4.4,4.8,24.0,18.6,1.6,7.6,,,
Norfakta,1–2 Mar 2016,"1,000",80.0,2.2,3.7,3.1,31.4,6.4,5.1,4.6,25.3,16.9,1.3,6.1,,,
Norstat,23–29 Feb 2016,972,–,1.5,5.7,3.0,31.2,6.3,3.6,4.9,25.9,17.1,0.8,5.3,,,
TNS Gallup,23–29 Feb 2016,975,80.3,2.0,4.0,3.2,33.6,6.1,4.4,4.7,24.8,15.8,1.5,8.8,,,
InFact,11–25 Feb 2016,"2,037",–,2.0,4.1,4.3,34.0,7.4,3.7,4.7,21.2,16.7,1.9,12.8,,,
Sentio,16–21 Feb 2016,"1,000",72.4,1.5,4.9,2.6,33.2,5.1,4.8,5.1,23.8,17.0,2.1,9.4,,,
Ipsos MMI,15–17 Feb 2016,931,–,2.5,4.2,4.9,33.8,5.9,4.5,3.8,21.4,18.2,0.7,12.4,,,
Opinion Perduco,9–15 Feb 2016,–,74.0,2.5,4.8,2.7,32.0,5.1,4.2,6.2,24.0,17.4,1.1,8.0,,,
Respons Analyse,11 Feb 2016,–,78.0,1.6,3.9,4.0,32.5,4.9,4.8,4.5,25.0,18.1,0.7,7.5,,,
Norstat,2–8 Feb 2016,–,–,1.1,3.0,4.4,32.4,5.8,4.2,5.5,25.1,18.0,0.4,7.3,,,
Norfakta,2–3 Feb 2016,"1,000",74.0,2.4,4.2,3.2,31.9,4.9,4.2,4.9,26.5,16.9,0.9,5.4,,,
Norstat,25 Jan–1 Feb 2016,955,–,2.5,4.6,3.7,33.5,4.9,3.6,5.5,25.7,14.6,1.4,7.8,,,
TNS Gallup,25–29 Jan 2016,981,77.3,2.4,3.1,3.8,33.4,5.8,4.9,6.3,25.0,14.2,1.2,8.4,,,
InFact,14–28 Jan 2016,"2,020",–,1.8,4.9,3.9,33.4,7.4,3.2,5.1,23.4,15.4,1.5,10.0,,,
Sentio,19–25 Jan 2016,"1,000",73.0,1.5,3.8,4.4,32.5,6.4,3.4,4.3,24.1,17.2,2.3,8.4,,,
Ipsos MMI,18–20 Jan 2016,925,–,2.9,3.3,2.6,37.1,6.1,4.9,4.7,22.6,15.6,0.0,14.5,,,
Opinion Perduco,12–18 Jan 2016,948,74.0,2.5,4.1,4.3,32.2,5.4,4.1,4.2,25.3,17.5,0.4,6.9,,,
Respons Analyse,10–13 Jan 2016,"1,000",81.0,2.0,4.5,4.2,30.8,5.7,4.7,5.1,23.4,17.8,1.8,7.4,,,
Norstat,5–11 Jan 2016,955,75.5,1.7,4.3,4.3,29.7,6.5,5.0,5.6,25.0,16.3,1.6,4.7,,,
TNS Gallup,4–8 Jan 2016,977,81.1,2.2,3.9,3.5,33.5,5.3,5.2,5.4,24.2,15.7,1.0,9.3,,,
