Polling firm,"Last date of polling",Source,CPC,LPC,NDP,BQ,GPC,Other,Type,ME
Leger Marketing,"April 17, 2011",,38,26,22,8,5,,Online,±1.7
Angus Reid Public Opinion,"April 16, 2011",,36,25,25,9,5,,Online,±2.2
Nanos Research,"April 16, 2011",,39.0,28.3,18.4,9.6,3.6,,Phone,±3.1
Abacus Data,"April 15, 2011",,37,29,20,8,5,,Online,±3.2
Nanos Research,"April 15, 2011",,38.8,28.8,19.2,8.5,3.4,,Phone,±3.1
Forum Research,"April 14, 2011",,36,25,22,7,8,,Phone,±2.2
EKOS Research Associates,"April 14, 2011",,35.3,27.8,18.0,7.1,9.6,2.1,Phone (IVR),±2.8
Nanos Research,"April 14, 2011",,38.7,28.8,18.6,9.0,3.7,,Phone,±3.1
Nanos Research,"April 13, 2011",,38.9,31.1,18.3,7.5,3.1,,Phone,±3.1
EKOS Research Associates,"April 12, 2011",,33.8,28.8,19.1,7.8,9.0,1.5,Phone (IVR),±2.9
Nanos Research,"April 12, 2011",,39.9,30.4,16.3,9.1,3.8,,Phone,±3.1
COMPAS,"April 11, 2011",,45,24,16,8,7,,Phone,±2.1
Innovative Research Group,"April 11, 2011",,39,28,17,9,7,,Online,±2.16
Nanos Research,"April 11, 2011",,39.7,31.2,16.8,7.8,4.0,,Phone,±3.1
Harris-Decima,"April 10, 2011",,40,28,15,8,8,,Phone,±3.1
Nanos Research,"April 10, 2011",,41.2,30.4,15.2,7.8,4.6,,Phone,±3.1
Nanos Research,"April 9, 2011",,39.5,31.6,14.7,8.1,4.8,,Phone,±3.1
TNS Canada,"April 8, 2011",,36,25,18,9,9,,Phone,±3.1
Nanos Research,"April 8, 2011",,40.5,31.7,13.2,9.2,4.0,,Phone,±3.1
Ipsos Reid,"April 7, 2011",,41,26,19,9,4,,Phone,±3.1
EKOS Research Associates,"April 7, 2011",,36.2,27.7,16.6,8.3,8.5,2.8,Phone (IVR),±2.1
Nanos Research,"April 7, 2011",,40.6,31.1,14.7,8.7,3.4,,Phone,±3.1
Forum Research,"April 6, 2011",,38,26,20,8,9,,Phone,±2.2
Nanos Research,"April 6, 2011",,39.6,30.4,17.2,8.3,3.2,,Phone,±3.1
Environics,"April 5, 2011",,38,25,20,8,8,,Phone,±3.1
Angus Reid Public Opinion,"April 5, 2011",,38,27,21,8,6,,Online,±2.2
EKOS Research Associates,"April 5, 2011",,37.0,27.8,16.1,6.9,9.3,2.9,Phone (IVR),±3.0
Nanos Research,"April 5, 2011",,39.7,29.9,17.4,8.3,3.8,,Phone,±3.1
Nanos Research,"April 4, 2011",,39.8,30.2,16.5,8.3,4.0,,Phone,±3.1
Harris-Decima,"April 3, 2011",,35,28,17,10,8,,Phone,±3.1
Nanos Research,"April 3, 2011",,42.3,28.4,16.4,8.0,3.8,,Phone,±3.1
Leger Marketing,"April 2, 2011",,37,26,18,10,8,,Online,±1.7
Nanos Research,"April 2, 2011",,40.7,29.4,16.9,8.0,4.0,,Phone,±3.1
Nanos Research,"April 1, 2011",,41.3,30.3,16.0,8.5,3.7,,Phone,±3.1
EKOS Research Associates,"March 31, 2011",,36.9,26.2,17.2,8.5,8.7,2.5,Phone (IVR),±1.9
Nanos Research,"March 31, 2011",,39.4,31.7,16.1,8.5,4.4,,Phone,±3.2
Nanos Research,"March 30, 2011",,39.1,32.7,15.9,8.7,3.7,,Phone,±3.2
Nanos Research,"March 29, 2011",,38.4,28.7,19.6,9.1,4.1,,Phone,±3.2
Abacus Data,"March 28, 2011",,36,27,20,9,8,,Online,±3.2
Harris-Decima,"March 27, 2011",,38,24,19,10,7,,Phone,±3.1
Forum Research,"March 27, 2011",,41,24,19,10,6,,Phone,±2.2
