Polling firm,"Date",Source,PC,NDP,Liberal,Green,New Blue,Ontario,Other,Margin of error,Sample size,Polling type,Lead
EKOS,"May 25, 2022",,33.7,23.8,26.9,8,4.7,—,3,+3.1%,"1,017",IVR,6.8
Mainstreet Research,"May 25, 2022",,36,23.5,26.1,8.5,—,—,5.9,+2.4%,"1,622 (1/3)",IVR (rolling),9.9
Mainstreet Research,"May 24, 2022",,35.3,23.1,27.2,8,—,—,6.4,+2.4%,"1,724 (1/3)",IVR (rolling),8.1
Leger,"May 23, 2022",,38,24,26,6,3,2,1,N/A,"1,324",Online,12
Innovative Research Group,"May 23, 2022",,35,23,30,9,—,—,4,N/A,439,Online,5
Mainstreet Research,"May 23, 2022",,35.4,24.2,25.2,7.8,—,—,7.4,+2.4%,"1,696 (1/3)",IVR (rolling),10.2
Nanos Research,"May 22, 2022",,37.3,23.2,28,6.3,3,1.7,0.3,±4.5%,479,Telephone/Online,9.3
Earnscliffe/Leger,"May 22, 2022",,36,24,28,6,—,—,6,N/A,"1,000",Online,8
EKOS,"May 22, 2022",,34.5,24.1,26.7,6.6,5.3,—,2.7,+3.2%,948,IVR,7.8
Mainstreet Research,"May 22, 2022",,35,23.8,25.1,8.2,—,—,7.9,+2.4%,"1,709 (1/3)",IVR (rolling),9.9
Abacus Data,"May 21, 2022",,36,24,28,5,—,—,8,N/A,"1,228",Online,8
Mainstreet Research,"May 21, 2022",,34.4,25.1,26.7,7.2,—,—,6.5,+2.4%,"1,679 (1/3)",IVR (rolling),7.7
Mainstreet Research,"May 20, 2022",,35.5,26.1,25.7,6.5,—,—,6.3,+2.4%,"1,734 (1/3)",IVR (rolling),9.4
Pollara,"May 19, 2022",,40,21,27,8,—,—,4,+2.5%,"1,514",Telephone,13
Ipsos,"May 19, 2022",,38,23,28,6,—,—,5,+2.9%,"1,501",Telephone/Online,10
Innovative Research Group,"May 19, 2022",,36,26,28,8,—,—,2,N/A,606,Online,8
Mainstreet Research,"May 19, 2022",,36.9,24.7,26.2,5.1,—,—,7.2,+2.4%,"1,686 (1/3)",IVR (rolling),10.7
Counsel,"May 18, 2022",,36.9,24.3,27.5,6.1,—,—,5.3,+2.1%,"2,206",Online,9.4
Mainstreet Research,"May 18, 2022",,37.2,23.4,24.8,6.7,—,—,7.8,+2.4%,"1,720 (1/3)",IVR (rolling),12.8
Nanos Research,"May 17, 2022",,36.1,19.8,29.3,7.3,4.7,1.7,1.1,±4.5%,484,Telephone/Online,6.8
Research Co.,"May 17, 2022",,34,23,29,7,3,1,2,+4%,602,Online,5
EKOS,"May 17, 2022",,40.7,23.9,24.3,5.1,—,—,6.1,+4%,593,IVR,16.4
Mainstreet Research,"May 17, 2022",,36.8,23.1,27.2,5.6,—,—,7.3,+2.4%,"1,675 (1/3)",IVR (rolling),9.6
Innovative Research Group,"May 16, 2022",,36,23,31,7,—,—,4,N/A,603,Online,5
Mainstreet Research,"May 16, 2022",,37.9,22.8,27.7,4.9,—,—,6.8,+2.4%,"1,675 (1/3)",IVR (rolling),10.2
Earnscliffe/Leger,"May 15, 2022",,37,23,28,7,—,—,5,N/A,"1,000",Online,9
Leger,"May 15, 2022",,37,23,28,5,3,3,1,N/A,830,Online,9
Abacus Data,"May 15, 2022",,35,24,28,5,—,—,7,N/A,798,Online,7
Mainstreet Research,"May 15, 2022",,35.5,24.8,26.8,4.4,—,—,8.5,+2.3%,"1,792 (1/3)",IVR (rolling),8.7
Mainstreet Research,"May 14, 2022",,36,25.4,27.6,4.1,—,—,7,+2.3%,"1,764 (1/3)",IVR (rolling),8.4
Mainstreet Research,"May 13, 2022",,36,24.4,26.8,5.2,—,—,7.5,+2.3%,"1,773 (1/3)",IVR (rolling),9.2
Mainstreet Research,"May 12, 2022",,36.6,22.6,28.6,5.2,—,—,7,+2.4%,"1,639 (1/3)",IVR (rolling),8
Mainstreet Research,"May 11, 2022",,38.8,21.1,28.1,5.4,—,—,6.6,+2.4%,"1,673 (1/3)",IVR (rolling),10.7
Mainstreet Research,"May 10, 2022",,39.0,22.3,27.1,4.6,—,—,7,+2.4%,"1,639 (1/3)",IVR (rolling),11.9
Mainstreet Research,"May 9, 2022",,36.5,23.5,29,4.9,—,—,6.1,+2.5%,"1,639 (1/3)",IVR (rolling),7.5
Abacus Data,"May 9, 2022",,38,22,29,5,—,—,7,N/A,"1,208",Online,9
Innovative Research Group,"May 9, 2022",,40,24,28,6,—,—,3,N/A,600,Online,12
EKOS,"May 9, 2022",,33.9,25.4,29.3,5.1,—,—,6.3,+3.1%,"1,000",IVR,4.6
Nanos Research,"May 8, 2022",,35.4,23.7,30.4,4.2,3.6,1.4,1.2,±4.4%,500,Telephone/Online,5.0
Earnscliffe/Leger,"May 8, 2022",,39,24,27,6,—,—,3,N/A,"1,000",Online,12
Leger,"May 8, 2022",,39,25,26,4,3,1,2,N/A,819,Online,13
Mainstreet Research,"May 8, 2022",,37,23,30,5,—,—,5,+2.5%,"1,515 (1/3)",IVR (rolling),7
Mainstreet Research,"May 7, 2022",,36.3,24.2,30.2,4.6,—,—,4.6,+2.5%,"1,496 (1/3)",IVR (rolling),6.1
Mainstreet Research,"May 6, 2022",,38.3,24.5,29.1,4,—,—,4,+2.5%,"1,532 (1/3)",IVR (rolling),9.2
Mainstreet Research,"May 5, 2022",,37.4,25.7,28.1,4.6,—,—,4.2,±2.7%,"1,335 (1/3)",IVR (rolling),9.3
Forum Research,"May 4, 2022",,37,26,29,4,—,—,4,±3%,"1,541",IVR,8
Mainstreet Research,"May 4, 2022",,36.7,25.1,27.1,5.7,—,—,5.3,±2.7%,"1,335 (1/3)",IVR (rolling),9.6
