Polling firm,"Last date of polling",Link,LPC,CPC,NDP,BQ,GPC,PPC,"Margin of error","Sample size",Polling method,Lead
Innovative Research,"October 10, 2019",,35,31,15,6,10,3,N/A,"2,394",online,4
Angus Reid,"October 10, 2019",,29,34,17,7,9,3,±1.8 pp,"3,031",online,5
EKOS,"October 10, 2019",,30.5,31.7,13.1,5.4,12.8,4.7,±2.2 pp,"1,947",telephone/IVR,1.2
DART/Maru,"October 9, 2019",,28,33,20,9,7,2,±3.1 pp,"1,510",online,5
Mainstreet Research,"October 9, 2019",,30.2,32.2,15.1,7.2,9.8,4.0,±2.04 pp,"2,309 (1/3)",IVR (rolling),2.0
Nanos Research,"October 9, 2019",,36.9,33.2,14.1,5.1,8.2,1.6,±2.8 pp,"1,200 (1/3)",telephone (rolling),3.7
Leger,"October 8, 2019",,31,31,18,7,11,3,±2.11 pp,"2,150",online,0
Forum Research,"October 8, 2019",,28,35,13,7,12,3,±3 pp,"1,013",IVR,7
Mainstreet Research,"October 8, 2019",,31.7,32.0,14.3,6.1,10.3,4.2,±2 pp,"2,445 (1/3)",IVR (rolling),0.3
Nanos Research,"October 8, 2019",,35.6,34.8,13.4,5.2,9.1,1.2,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.8
Mainstreet Research,"October 7, 2019",,32.6,33.1,13.2,6.5,10.1,3.4,±2.11 pp,"2,108 (1/3)",IVR (rolling),0.5
Nanos Research,"October 7, 2019",,34.6,34.8,13.5,5.1,9.8,1.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.2
Ipsos,"October 7, 2019",,35,34,15,7,7,2,±2.9 pp,"1,502",online,1
Innovative Research,"October 7, 2019",,35,33,13,5,10,4,N/A,"2,835",online,2
Mainstreet Research,"October 6, 2019",,33.1,33.3,13.3,6.3,9.7,2.9,±2.13 pp,"2,108",IVR (rolling),0.2
Nanos Research,"October 6, 2019",,34.3,33.4,15.0,5.1,9.6,1.5,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.9
Abacus Data,"October 5, 2019",,35,33,16,5,8,1,±2 pp,"1,556",online,2
Nanos Research,"October 5, 2019",,36.7,32.7,15.0,4.9,8.0,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),4.0
Nanos Research,"October 4, 2019",,36.2,32.6,15.6,5.8,7.4,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),3.6
Mainstreet Research,"October 3, 2019",,34.3,34.8,11.4,5.8,9.1,3.2,±2.07 pp,"2,207 (1/3)",IVR (rolling),0.5
Nanos Research,"October 3, 2019",,36.3,34.3,13.8,5.9,8.2,1.2,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.0
Campaign Research,"October 2, 2019",,32,34,14,5,11,3,±1.4 pp,"4,755",online,2
Mainstreet Research,"October 2, 2019",,33.4,36.4,11.9,5.7,9.0,2.5,±2.07 pp,"2,234 (1/3)",IVR (rolling),3.0
Nanos Research,"October 2, 2019",,32.9,35.2,14.9,5.5,9.9,1.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.3
Forum Research,"October 1, 2019",,34,31,12,6,12,4,±3 pp,"1,853",IVR,3
Mainstreet Research,"October 1, 2019",,33.5,36.0,11.6,5.3,10.0,2.8,±2.06 pp,"2,259 (1/3)",IVR (rolling),2.5
Nanos Research,"October 1, 2019",,34.2,33.9,15.2,4.5,10.2,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.3
Mainstreet Research,"September 30, 2019",,33.3,36.1,11.6,5.3,10.0,2.9,±2.1 pp,"2,183 (1/3)",IVR (rolling),2.8
Nanos Research,"September 30, 2019",,32.2,34.5,14.3,4.4,11.1,3.0,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.3
Leger,"September 30, 2019",,34,34,14,5,11,2,±2.48 pp,"1,558",online,0
Angus Reid,"September 30, 2019",,30,37,14,7,8,3,±3 pp,"1,522",online,7
Ipsos,"September 30, 2019",,34,37,15,5,7,2,±2.9 pp,"1,489",online,3
Mainstreet Research,"September 29, 2019",,34.4,34.1,10.9,5.6,10.5,3.4,±2.12 pp,"2,140 (1/3)",IVR (rolling),0.3
Nanos Research,"September 29, 2019",,32.7,34.0,13.2,4.1,12.6,2.5,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.3
EKOS,"September 29, 2019",,33.4,31.1,11.4,3.0,13.4,5.1,±2.5 pp,"1,492",telephone/IVR,2.3
Mainstreet Research,"September 28, 2019",,34.0,33.7,11.7,5.8,10.1,3.7,±2.06 pp,"2,270 (2/3)",IVR (rolling),0.3
Nanos Research,"September 28, 2019",,32.5,34.2,13.0,4.6,12.6,2.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.7
Nanos Research,"September 27, 2019",,32.6,34.1,14.4,3.8,13.2,1.3,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.5
Research Co.,"September 26, 2019",,36,33,15,5,9,2,±3.1 pp,"1,000",online,3
Mainstreet Research,"September 26, 2019",,33.4,35.6,10.7,5.6,9.7,3.7,±1.98 pp,"2,436 (1/3)",IVR (rolling),2.2
Nanos Research,"September 26, 2019",,34.4,33.7,15.0,4.4,10.5,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.7
Abacus Data,"September 26, 2019",,35,33,15,5,10,2,±2.3 pp,"1,975",online,2
Mainstreet Research,"September 25, 2019",,34.4,35.8,10.7,5.5,9.2,3.4,±2.1 pp,"2,425 (1/3)",IVR (rolling),1.4
Nanos Research,"September 25, 2019",,35.5,33.6,14.5,4.7,9.5,2.0,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.9
Innovative Research,"September 25, 2019",,35,31,14,5,10,5,N/A,"2,302",online,4
Mainstreet Research,"September 24, 2019",,35.2,35.5,10.8,5.2,9.3,2.9,±2.1 pp,"2,389 (1/3)",IVR (rolling),0.3
Nanos Research,"September 24, 2019",,35.3,35.4,12.7,5.5,8.8,2.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.1
Leger,"September 24, 2019",,34,33,13,5,11,4,±2.11 pp,"2,153",online,1
Innovative Research,"September 24, 2019",,35,34,12,5,10,4,N/A,"2,496",online,1
Mainstreet Research,"September 23, 2019",,34.4,35.9,11.2,4.8,9.6,,±2.03 pp,"2,333 (1/3)",IVR (rolling),1.5
Nanos Research,"September 23, 2019",,35.1,33.5,12.9,5.7,10.1,2.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.6
Angus Reid,"September 23, 2019",,30,35,15,6,11,3,±2.5 pp,"1,523",online,5
Ipsos,"September 23, 2019",,32,36,15,4,11,2,±2.9 pp,"1,500",online,4
Mainstreet Research,"September 22, 2019",,33.7,35.8,,,,,±2.1 pp,"2,168 (1/3)",IVR (rolling),2.1
Nanos Research,"September 22, 2019",,33.1,34.3,12.8,5.8,10.6,2.9,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.2
EKOS,"September 22, 2019",,32.0,35.3,10.9,4.9,10.3,4.1,±2.8 pp,"1,272",IVR,3.3
Abacus Data,"September 22, 2019",,32,34,15,4,10,3,±2.3 pp,"1,929",online,2
Mainstreet Research,"September 21, 2019",,33.9,34.8,11.4,4.9,10.7,3.6,±2.13 pp,"2,124 (1/3)",IVR (rolling),0.9
Forum Research,"September 21, 2019",,33,33,11,6,11,5,±3 pp,"2,449",IVR,0
Nanos Research,"September 21, 2019",,32.9,35.5,14.0,5.3,9.5,2.2,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.6
DART/Maru,"September 20, 2019",,30,37,15,6,8,3,±2.9 pp,"1,520",online,7
Mainstreet Research,"September 20, 2019",,35.9,34.2,10.9,4.8,10.4,3.1,±2.14 pp,"2,087 (1/3)",IVR (rolling),1.7
Nanos Research,"September 20, 2019",,32.0,36.8,13.7,5.4,9.0,2.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),4.8
Mainstreet Research,"September 19, 2019",,36.8,34.2,10.1,4.7,9.8,3.7,±2.14 pp,"2,087 (1/3)",IVR (rolling),2.6
Nanos Research,"September 19, 2019",,34.2,37.4,12.8,3.5,9.3,2.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),3.2
Mainstreet Research,"September 18, 2019",,37.2,34.4,9.8,4.4,10.1,3.3,±2.21 pp,"1,935 (2/3)",IVR (rolling),2.8
Nanos Research,"September 18, 2019",,35.0,37.8,11.8,4.0,7.7,2.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.8
Nanos Research,"September 17, 2019",,35.5,37.2,13.6,4.0,7.0,1.7,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.7
Leger,"September 17, 2019",,34,33,12,5,11,4,±2.45 pp,"1,598",online,1
Mainstreet Research,"September 16, 2019",,36.8,34.8,9.7,4.5,9.4,3.8,±2.23 pp,"1,935 (1/3)",IVR (rolling),2.0
Nanos Research,"September 16, 2019",,34.9,35.9,15.4,4.7,6.5,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.0
Angus Reid,"September 16, 2019",,33,36,13,5,9,4,±2.0 pp,"2,154",online,3
Mainstreet Research,"September 15, 2019",,36.5,35.0,9.6,4.3,9.9,3.5,±2.23 pp,"1,935",IVR (rolling),1.5
Nanos Research,"September 15, 2019",,34.0,34.4,16.4,4.4,7.8,2.3,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.4
Innovative Research,"September 15, 2019",,35,32,14,4,11,4,N/A,"1,622",online,3
Nanos Research,"September 14, 2019",,35.2,32.3,16.6,3.8,9.6,2.0,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.9
Ipsos,"September 13, 2019",,35,35,14,4,9,2,±2.2 pp,"2,562",online/telephone,0
Nanos Research,"September 13, 2019",,35.4,32.8,15.7,3.6,9.5,2.4,±2.8 pp,"1,200",telephone (rolling),2.6
DART/Maru,"September 11, 2019",,32,35,15,6,8,2,±2.9 pp,"1,517",online,3
Forum Research,"September 11, 2019",,32.4,36.3,8.6,4.1,11.6,4.9,±3 pp,"1,001",IVR,3.9
