Polling firm,"Last date of polling",Link,LPC,CPC,NDP,BQ,GPC,"Margin of error","Sample size",Polling method,Lead
Strategic Counsel,12 January,PDF,28,38,16,11,6,,,,10
Ipsos-Reid,12 January,HTML,29,37,18,10,5,,,,
Nanos Research,12 January,PDF,31,40,14,10,6,± 3.1,"1,200 (1/3)",Telephone (rolling),9
EKOS,12 January,PDF,28.3,37.6,18.1,11.6,3.7,± 2.0,"2,045",,
EKOS,12 January,PDF,27.4,38.1,18.1,11.5,4.5,,,,
Strategic Counsel,11 January,PDF,27,39,16,12,6,,,,
Nanos Research,11 January,PDF,29,38,16,12,5,± 3.1,"1,200 (1/3)",Telephone (rolling),9
EKOS,11 January,PDF,28.8,36.3,17.9,13.3,2.8,,,,
Strategic Counsel,10 January,PDF,28,39,16,12,,"1,500",,,
Nanos Research,10 January,PDF,30,39,16,12,4,± 3.1,"1,200 (1/3)",Telephone (rolling),9
EKOS,10 January,PDF,29.9,37.1,17.6,11.6,3.2,,,,
Strategic Counsel,9 January,PDF,28,38,16,12,6,,,,
Nanos Research,9 January,PDF,31,35,17,13,5,± 3.1,"1,200 (1/3)",Telephone (rolling),4
EKOS,9 January,PDF,26.8,39.1,16.2,12.6,5.4,,,,
Ipsos-Reid,8 January,PDF,26,37,18,13,5,,,,
Decima Research,8 January,PDF,27,36,20,11,5,,,,
Nanos Research,8 January,PDF,31,34,17,11,6,± 3.1,"1,200 (1/3)",Telephone (rolling),3
Strategic Counsel,8 January,PDF,29,37,15,13,6,± 2.5,"1,500",,8
Nanos Research,7 January,PDF,32,34,17,11,6,± 3.1,"1,200 (1/3)",Telephone (rolling),2
Nanos Research,6 January,PDF,32,35,17,10,6,± 3.1,"1,200 (1/3)",Telephone (rolling),3
Ipsos-Reid,5 January,PDF,31,35,18,10,5,± 2.2,"2,004",,4
EKOS,5 January,PDF,30.8,36.0,17.5,10.6,4.7,± 2.2,"1,968",,
Strategic Counsel,5 January,PDF,31,33,17,13,6,,,,
Nanos Research,5 January,PDF,33,34,17,11,5,± 3.2,"1,200 (1/3)",Telephone (rolling),1
Leger Marketing,4 January,PDF,32,34,16,11,5,,,,
Strategic Counsel,4 January,PDF,32,32,17,13,6,,,,
Nanos Research,4 January,PDF,33,35,15,12,5,± 3.2,"1,200 (1/3)",Telephone (rolling),2
EKOS,4 January,PDF,30.4,36.2,17.9,10.4,4.7,± 2.7,"1,386",,
Strategic Counsel,3 January,HTML,32,32,17,13,6,± 2.5,"1,500",,0
Nanos Research,3 January,PDF,33,36,15,13,4,± 3.1,"1,200 (1/3)",Telephone (rolling),3
Strategic Counsel,31 December 2005,PDF,33,31,17,14,6,,,,2
Nanos Research,30 December,PDF,35,35,14,13,4,± 3.1,"1,200 (1/3)",Telephone (rolling),0
Ipsos-Reid,30 December,PDF,32,33,18,12,5,± 3.1,"1,000",Telephone,1
Decima Research,30 December,PDF,32,30,18,14,,,,,
Nanos Research,29 December,PDF,35,34,14,13,5,± 3.1,"1,200 (1/3)",Telephone (rolling),1
Nanos Research,28 December,PDF,38,32,14,13,4,± 3.1,"1,200 (1/3)",Telephone (rolling),6
Nanos Research,23 December,PDF,38,31,15,12,5,± 3.1,"1,200 (1/3)",Telephone (rolling),7
Ipsos-Reid,22 December,PDF,33,32,16,13,5,± 3.1,"1,000",Telephone,1
Strategic Counsel,22 December,PDF,36,29,17,13,5,,,,
Nanos Research,22 December,PDF,39,29,15,12,5,,,,
Environics,21 December,HTML,35,30,17,12,5,± 3.1,"1,010",,5
Strategic Counsel,21 December,PDF,33,30,18,14,5,,,,
Leger Marketing,21 December,PDF,36,28,17,12,5,,,,
Nanos Research,21 December,PDF,37,29,15,12,6,,,,
Strategic Counsel,20 December,PDF,34,30,16,15,5,,,,
Nanos Research,20 December,PDF,37,31,14,13,6,,,,
Strategic Counsel,19 December,PDF,33,29,17,15,6,,,,
Nanos Research,19 December,PDF,37,29,16,13,5,,,,
Strategic Counsel,18 December,PDF,34,29,19,13,5,,,,
Pollara,19 December,HTML,37,34,17,10,,,,,
Nanos Research,18 December,PDF,38,29,16,12,4,,,,
Nanos Research,17 December,PDF,38,30,15,13,4,,,,
Nanos Research,16 December,PDF,39,31,14,12,5,,,,
Strategic Counsel,15 December,PDF,34,30,18,13,5,,,,
Nanos Research,15 December,PDF,39,33,12,12,5,,,,
Strategic Counsel,14 December,PDF,34,30,17,14,5,,,,
Nanos Research,14 December,PDF,39,32,12,12,5,,,,
Leger Marketing,13 December,PDF,35,29,17,12,6,,,,
Strategic Counsel,13 December,PDF,34,29,17,14,6,,,,
Nanos Research,13 December,PDF,38,31,14,12,5,,,,
Strategic Counsel,12 December,PDF,33,31,17,13,6,,,,2
Nanos Research,12 December,PDF,38,30,13,14,5,,,,
Ipsos-Reid,11 December,PDF,36,27,17,14,5,,,,
Pollara,11 December,HTML,38,30,15,12,,,,,
Strategic Counsel,11 December,PDF,34,30,16,14,6,,,,
Nanos Research,11 December,PDF,39,31,14,13,4,,,,
Strategic Counsel,10 December,PDF,35,30,15,14,6,,,,
Nanos Research,10 December,PDF,39,32,14,13,4,,,,
Decima Research,9 December,PDF,36,27,20,13,4,,,,
Nanos Research,9 December,PDF,39,30,15,11,4,,,,
Strategic Counsel,8 December,PDF,36,28,16,14,6,,,,
Nanos Research,8 December,PDF,41,26,18,11,4,,,,
Ipsos-Reid,8 December,PDF,34,30,15,14,5,,,,
Leger Marketing,7 December,PDF,39,27,16,12,5,,,,
Strategic Counsel,7 December,PDF,36,30,15,14,5,,,,
Nanos Research,7 December,PDF,40,26,18,11,4,,,,
Strategic Counsel,6 December,PDF,35,29,16,13,6,,,,
Nanos Research,6 December,PDF,40,28,17,11,4,,,,
Decima Research,5 December,,34,26,20,14,—,,,,
Strategic Counsel,5 December,PDF,35,29,16,14,6,,,,
Nanos Research,5 December,PDF,38,30,16,12,5,,,,
Strategic Counsel,4 December,PDF,35,29,16,14,6,,,,
Nanos Research,4 December,PDF,37,30,16,13,5,,,,
Strategic Counsel,3 December,HTML,34,30,16,14,6,,,,
Nanos Research,3 December,PDF,38,29,15,14,5,,,,
Nanos Research,2 December,PDF,36,31,14,14,5,,,,
Ipsos-Reid,1 December,PDF,33,31,17,14,5,,,,
Strategic Counsel,1 December,HTML,35,30,16,14,6,,,,
Nanos Research,1 December,PDF,37,29,15,14,5,,,,
EKOS,1 December,PDF,34.1,27.4,18.4,14.0,6.0,,,,
Strategic Counsel,30 November,PDF,35,30,17,14,5,,,,
Ipsos-Reid,28 November,HTML,31,31,18,15,5,,,,
Decima Research,28 November,,36,28,19,12,—,,,,
Strategic Counsel,27 November,PDF,35,29,17,14,5,,,,
Pollara,27 November,HTML,36,31,16,14,—,,,,
Environics,25 November,,35,30,20,14,1,,,,
EKOS,24 November,PDF,38.7,29.4,16.9,10.6,3.0,,,,
Ipsos-Reid,24 November,HTML,34,30,16,15,5,,,,
Ipsos-Reid,15 November,,36,27,16,13,6,,,,
Decima Research,14 November,PDF,33,26,22,13,—,,,,
Pollara,13 November,,36,28,20,—,,,,,
Nanos Research,13 November,PDF,34,28,20,14,4,,,,
Ipsos-Reid,10 November,PDF,34,28,19,14,4,,,,
EKOS,9 November,PDF,33.0,27.9,20.9,13.1,4.9,,,,
Leger Marketing,8 November,PDF,34,26,18,11,7,,,,
Decima Research,7 November,PDF,33,30,20,14,—,,,,
Strategic Counsel,6 November,,35,28,16,13,8,,,,
Strategic Counsel,3 November,,28,31,20,13,7,,,,
Ipsos-Reid,2 November,,31,30,19,13,,,,,
Nanos Research,27 October,PDF,40,28,15,12,4,,,,
Ipsos-Reid,27 October,,38,26,18,11,5,,,,
Pollara,17 October,,38,30,17,—,—,,,,
Decima Research,17 October,PDF,35,29,17,13,—,,,,
Environics,16 October,,38,27,20,10,—,,,,
Strategic Counsel,13 October,PDF,38,25,15,14,—,,,,
Pollara,2 October,,36,30,19,11,—,,,,
Ipsos-Reid,29 September,PDF,37,27,17,14,4,,,,
Decima Research,26 September,PDF,36,29,17,13,—,,,,
Praxicus,23 September,,33,29,20,—,—,,,,
Strategic Counsel,13 September,,35,28,17,13,7,,,,
Leger Marketing,11 September,PDF,40,24,15,13,5,,,,
Ipsos-Reid,22 August,,36,28,17,11,6,,,,
Strategic Counsel,15 August,,36,28,17,—,—,,,,
Nanos Research,8 August,PDF,39,25,19,13,—,,,,
Environics,28 July,HTML,34,31,20,11,—,,,,
Decima Research,25 July,PDF,39,24,19,14,—,,,,
Pollara,18 July,,38,27,15,13,—,,,,
Strategic Counsel,16 July,,35,26,19,13,7,,,,
Pollara,28 June,,36,29,18,11,—,,,,
Ipsos-Reid,28 June,,35,27,18,13,6,,,,
Decima Research,20 June,PDF,37,25,20,13,—,,,,
Ipsos-Reid,20 June,,34,29,16,12,6,,,,
Strategic Counsel,11 June,,34,26,19,13,9,,,,
Pollara,6 June,,38,27,19,13,—,,,,
Decima Research,5 June,PDF,37,23,21,13,—,,,,
Decima Research,22 May,PDF,36,27,21,13,—,,,,
Leger Marketing,22 May 2005,PDF,38,27,17,12,4,± 2.6%,"1,509",,11
Ipsos-Reid,20 May 2005,,34,28,17,—,6,,,,6
Strategic Counsel,18 May 2005,,33,30,19,12,6,,,,3
COMPAS,17 May 2005,PDF,29,38,17,13,—,,,,9
EKOS,17 May 2005,PDF,34.7,28.3,18.4,12.6,5.6,,,,6.4
Environics,17 May 2005,,33,31,22,10,—,,,,2
Decima Research,15 May 2005,PDF,32,31,19,14,—,,,,1
Ipsos-Reid,14 May 2005,,27,31,19,13,6,,,,4
Strategic Counsel,10 May 2005,,27,31,20,14,7,,,,4
Decima Research,8 May 2005,PDF,37,28,18,12,—,,,,9
Ipsos-Reid,7 May 2005,,32,31,16,12,5,,,,1
Nanos Research,5 May 2005,,36.1,29.5,17.9,12.2,4.3,,,,6.6
Pollara,4 May 2005,,31,36,17,15,—,,,,5
Decima Research,2 May 2005,PDF,32,29,20,15,—,,,,3
Ipsos-Reid,28 April 2005,PDF,30,33,17,12,5,±3.1%,1000,Telephone,3
EKOS,28 April 2005,PDF,32.5,30.5,19.0,12.0,5.5,,,,2
GPC P.A.,28 April 2005,,33,30,13,13,10,,,,3
Strategic Counsel,28 April 2005,,30,28,18,16,10,,,,2
Ipsos-Reid,24 April 2005,PDF,31,34,18,11,5,±3.1%,1000,Telephone,3
Decima Research,24 April 2005,PDF,27,32,21,15,—,,,,5
Ipsos-Reid,21 April 2005,PDF,30,35,18,12,5,±3.1%,1000,Telephone,5
Pollara,21 April 2005,,31,35,18,12,—,,,,4
Nanos Research,18 April 2005,,31.6,37.9,14.9,11.9,3.8,,,,6.3
Decima Research,17 April 2005,PDF,28,35,18,14,—,,,,7
Ipsos-Reid,14 April 2005,PDF,27,36,15,10,7,±3.1%,1000,Telephone,9
COMPAS,14 April 2005,,30,34,18,15,1,,,,4
Environics,14 April 2005,,27,33,24,11,2,,,,6
Environics,12 April 2005,,36,30,19,11,4,,,,6
Leger Marketing,11 April 2005,PDF,31,34,18,13,—,± 2.5%,"1,504",Telephone,3
Ipsos-Reid,10 April 2005,PDF,27,30,19,12,7,±3.1%,1000,Telephone,3
Decima Research,10 April 2005,PDF,31,32,19,14,—,,,,1
EKOS,9 April 2005,PDF,25.0,36.2,20.5,12.6,5.0,,,,11.2
Ipsos-Reid,7 April 2005,PDF,34,30,15,10,7,±3.1%,1000,Telephone,
