Polling firm,Date,T-Days,CPC,LPC,NDP,BQ,GPC,PPC,Sample size
YouGov,2021-09-13,-7,32.0,29.0,19.0,6.0,5.0,5.0,925
Earnscliffe/Leger,2021-09-12,-8,32.0,32.0,20.0,7.0,4.0,5.0,1549
Innovative Research,2021-09-12,-8,28.0,33.0,22.0,7.0,4.0,4.0,3203
EKOS,2021-09-12,-8,31.9,30.3,20.3,6.0,3.7,7.0,1115
Nanos Research,2021-09-12,-8,30.2,33.2,18.6,6.8,3.8,6.6,1268
Mainstreet Research,2021-09-12,-8,28.6,33.5,17.1,7.9,3.7,8.4,1711
Abacus Data,2021-09-12,-8,32.0,32.0,21.0,6.0,3.0,4.0,2000
Angus Reid,2021-09-12,-8,32.0,30.0,21.0,7.0,2.0,6.0,1840
Counsel,2021-09-11,-9,30.2,29.7,21.9,6.5,4.4,5.6,3320
EKOS,2021-09-11,-9,32.8,31.1,19.0,4.7,3.9,7.8,1162
Nanos Research,2021-09-11,-9,30.7,34.0,18.6,6.6,4.1,5.1,1252
Mainstreet Research,2021-09-11,-9,29.4,33.4,17.6,7.4,3.1,8.1,1706
Forum Research,2021-09-10,-10,31.0,28.0,18.0,8.0,4.0,9.0,1579
EKOS,2021-09-10,-10,30.9,30.4,19.9,4.6,4.3,9.1,1238
Nanos Research,2021-09-10,-10,30.1,34.4,19.0,6.4,4.6,5.0,1249
Mainstreet Research,2021-09-10,-10,30.2,33.9,17.9,6.4,2.6,7.9,1751
EKOS,2021-09-09,-11,33.2,29.7,16.7,4.3,3.8,11.7,1303
Nanos Research,2021-09-09,-11,33.3,31.3,19.2,6.6,3.8,5.0,1269
Mainstreet Research,2021-09-09,-11,32.0,32.9,18.5,5.3,2.2,8.4,1776
EKOS,2021-09-08,-12,33.6,30.7,15.7,4.1,4.1,11.2,1365
Nanos Research,2021-09-08,-12,32.6,30.6,20.3,5.5,4.2,5.3,1266
Mainstreet Research,2021-09-08,-12,32.9,32.3,19.0,5.5,1.9,7.9,1768
EKOS,2021-09-07,-13,34.3,31.8,16.4,4.0,3.2,9.5,1202
Mainstreet Research,2021-09-07,-13,33.5,30.0,20.7,5.5,2.2,7.6,1755
Nanos Research,2021-09-07,-13,32.6,31.6,21.1,5.0,4.4,4.3,1288
EKOS,2021-09-06,-14,33.7,30.8,19.2,3.8,3.8,7.9,1062
Mainstreet Research,2021-09-06,-14,33.5,31.1,19.6,6.4,2.4,6.4,1794
Leger,2021-09-06,-14,33.0,33.0,21.0,6.0,3.0,3.0,3002
Ipsos,2021-09-06,-14,35.0,32.0,21.0,7.0,2.0,2.0,1500
Angus Reid,2021-09-06,-14,35.0,32.0,20.0,6.0,2.0,5.0,1709
Abacus Data,2021-09-06,-14,32.0,32.0,21.0,7.0,3.0,3.0,2875
Earnscliffe/Leger,2021-09-05,-15,33.0,33.0,21.0,6.0,3.0,4.0,1521
EKOS,2021-09-05,-15,34.1,27.9,20.3,5.6,3.6,7.9,1053
Nanos Research,2021-09-05,-15,32.0,34.1,20.9,4.0,4.5,3.8,1269
Mainstreet Research,2021-09-05,-15,34.0,31.1,18.4,6.2,2.6,6.7,1857
EKOS,2021-09-04,-16,34.5,28.1,20.5,4.8,4.4,6.9,1158
Nanos Research,2021-09-04,-16,34.9,33.4,18.9,4.8,4.2,3.5,1248
Mainstreet Research,2021-09-04,-16,34.6,31.8,17.5,6.3,2.3,6.3,1842
Abacus Data,2021-09-04,-16,33.0,32.0,21.0,7.0,3.0,3.0,2692
EKOS,2021-09-03,-17,35.0,28.8,19.6,4.9,4.6,6.3,1274
Nanos Research,2021-09-03,-17,35.5,33.0,18.7,4.1,4.4,3.9,1214
Mainstreet Research,2021-09-03,-17,34.3,32.1,18.2,5.6,2.2,6.5,1820
EKOS,2021-09-02,-18,35.8,29.5,19.4,3.9,4.5,5.8,1161
Nanos Research,2021-09-02,-18,35.7,30.7,18.3,5.5,4.5,4.8,1233
Mainstreet Research,2021-09-02,-18,35.9,30.7,18.8,5.1,2.4,5.9,1792
EKOS,2021-09-01,-19,35.5,30.7,18.8,4.7,3.7,5.8,1152
Nanos Research,2021-09-01,-19,34.2,30.5,20.1,6.0,4.0,4.8,1270
Mainstreet Research,2021-09-01,-19,36.0,30.9,18.7,4.8,2.6,5.8,1757
Campaign Research,2021-09-01,-19,33.0,30.0,22.0,6.0,4.0,4.0,3011
EKOS,2021-08-31,-20,36.0,30.7,18.9,5.3,3.2,5.2,1122
Nanos Research,2021-08-31,-20,33.7,31.0,20.3,6.8,3.5,4.1,1275
Mainstreet Research,2021-08-31,-20,37.1,29.2,19.1,4.7,2.8,5.7,1703
EKOS,2021-08-30,-21,35.9,31.3,18.0,5.8,3.2,5.0,942
Research Co.,2021-08-30,-21,32.0,33.0,22.0,6.0,4.0,3.0,1000
Nanos Research,2021-08-30,-21,32.5,33.2,19.2,6.4,4.6,3.3,1308
Mainstreet Research,2021-08-30,-21,36.9,29.2,18.8,5.7,2.7,5.7,1763
Ipsos,2021-08-30,-21,32.0,31.0,23.0,7.0,4.0,1.0,1501
Leger,2021-08-30,-21,34.0,30.0,24.0,7.0,2.0,3.0,2005
Innovative Research,2021-08-30,-21,29.0,32.0,23.0,8.0,4.0,4.0,2806
Earnscliffe/Leger,2021-08-29,-22,34.0,30.0,24.0,7.0,3.0,2.0,1544
Angus Reid,2021-08-29,-22,33.0,30.0,21.0,7.0,3.0,4.0,1639
Nanos Research,2021-08-29,-22,32.7,31.3,20.0,5.8,5.9,3.6,1267
Mainstreet Research,2021-08-29,-22,37.6,28.5,19.3,6.3,2.5,5.1,1767
EKOS,2021-08-29,-22,36.8,29.4,19.3,5.6,3.2,5.0,1232
Abacus Data,2021-08-29,-22,32.0,33.0,22.0,8.0,2.0,3.0,2000
Nanos Research,2021-08-28,-23,33.2,31.1,19.9,5.5,5.7,4.2,1248
Mainstreet Research,2021-08-28,-23,37.8,28.3,19.4,6.9,2.2,4.9,1759
EKOS,2021-08-28,-23,36.7,29.1,17.7,5.5,3.7,6.5,1166
Nanos Research,2021-08-27,-24,33.3,30.8,21.7,5.3,4.9,3.8,1243
Mainstreet Research,2021-08-27,-24,37.4,29.3,19.6,6.2,2.4,4.5,1684
EKOS,2021-08-27,-24,34.8,28.5,19.8,5.5,3.8,6.8,1426
Nanos Research,2021-08-26,-25,33.6,33.4,19.9,5.3,4.6,3.1,1200
Mainstreet Research,2021-08-26,-25,36.8,31.4,18.5,5.4,2.6,4.3,1619
EKOS,2021-08-26,-25,34.5,29.0,20.3,5.1,4.2,6.3,1424
Nanos Research,2021-08-25,-26,34.4,33.6,18.9,5.3,4.3,3.1,1288
Mainstreet Research,2021-08-25,-26,34.7,31.8,19.1,5.4,3.1,4.6,1549
EKOS,2021-08-25,-26,32.8,29.4,20.7,6.0,3.8,6.7,1352
Nanos Research,2021-08-24,-27,32.7,35.9,16.8,5.6,4.8,3.7,1261
Mainstreet Research,2021-08-24,-27,33.7,31.2,19.0,6.0,3.1,5.8,1417
EKOS,2021-08-24,-27,32.2,31.4,20.5,5.7,3.5,5.7,1233
Nanos Research,2021-08-23,-28,33.2,33.5,18.9,5.4,4.7,3.6,1205
Mainstreet Research,2021-08-23,-28,32.3,30.0,19.0,7.0,3.3,7.4,1369
EKOS,2021-08-23,-28,32.8,32.0,19.6,6.2,3.5,5.0,1192
Ipsos,2021-08-23,-28,32.0,33.0,21.0,6.0,5.0,2.0,1500
Angus Reid,2021-08-23,-28,31.0,33.0,22.0,7.0,3.0,3.0,1692
Earnscliffe/Leger,2021-08-22,-29,30.0,33.0,21.0,7.0,4.0,3.0,1527
Leger,2021-08-22,-29,31.0,33.0,21.0,7.0,4.0,3.0,2002
Nanos Research,2021-08-22,-29,31.4,32.5,20.8,6.1,5.1,3.3,1200
Mainstreet Research,2021-08-22,-29,31.7,32.4,18.2,5.9,3.3,6.6,1467
EKOS,2021-08-22,-29,31.7,32.9,17.0,6.9,4.3,6.3,1207
Abacus Data,2021-08-22,-29,29.0,33.0,23.0,6.0,3.0,4.0,2000
Nanos Research,2021-08-21,-30,32.4,34.3,19.3,6.3,4.5,2.4,1209
Mainstreet Research,2021-08-21,-30,30.9,34.0,19.7,5.9,3.4,5.1,1425
EKOS,2021-08-21,-30,32.8,32.4,16.6,6.1,5.2,6.1,1293
Nanos Research,2021-08-20,-31,32.3,34.2,20.2,6.1,4.3,2.1,1200
EKOS,2021-08-20,-31,32.9,31.4,18.3,6.2,4.9,5.7,1444
Mainstreet Research,2021-08-20,-31,32.6,33.9,19.3,4.9,3.7,4.4,1449
EKOS,2021-08-19,-32,31.9,32.5,19.2,5.7,4.9,5.2,1426
Mainstreet Research,2021-08-19,-32,33.1,33.4,19.8,5.0,3.6,4.0,1433
Counsel,2021-08-18,-33,28.5,30.3,21.7,7.8,4.8,4.3,3499
EKOS,2021-08-18,-33,32.0,33.3,20.1,5.5,4.5,3.9,1281
Mainstreet Research,2021-08-18,-33,33.0,33.6,18.4,5.5,4.0,4.5,1571
EKOS,2021-08-17,-34,30.6,34.3,21.0,5.4,4.2,3.7,913
Mainstreet Research,2021-08-17,-34,31.7,33.8,18.9,6.1,3.9,4.5,1385
Angus Reid,2021-08-17,-34,30.0,36.0,20.0,6.0,4.0,4.0,1614
EKOS,2021-08-16,-35,29.4,33.7,20.5,5.4,5.7,4.2,840
Mainstreet Research,2021-08-16,-35,30.0,33.0,20.0,6.0,4.0,5.0,1372
Ipsos,2021-08-16,-35,31.0,36.0,20.0,6.0,5.0,1.0,2001
Innovative Research,2021-08-16,-35,26.0,38.0,21.0,6.0,4.0,3.0,1412
Abacus Data,2021-08-16,-35,28.0,33.0,22.0,7.0,5.0,3.0,1500
Forum Research,2021-08-15,-36,31.0,28.0,19.0,7.0,8.0,5.0,1203
Earnscliffe/Leger,2021-08-15,-36,29.0,35.0,20.0,7.0,6.0,2.0,1515
EKOS,2021-08-15,-36,30.3,34.8,17.4,4.2,6.9,5.1,856
Leger,2021-08-15,-36,30.0,35.0,20.0,7.0,5.0,2.0,2007
Mainstreet Research,2021-08-15,-36,30.1,33.1,19.1,5.9,3.9,5.6,1331
