"Date",Polling firm,Sample size,Con,Lab,Lib Dem,UKIP,Green,Others,Lead
21 Apr,YouGov/The Sun,"1,799",35%,34%,7%,13%,5%,6%,1%
20 Apr,YouGov/The Sun,"2,078",34%,35%,7%,13%,5%,6%,1%
20 Apr,TNS,"1,199",32%,34%,8%,15%,5%,6%,2%
19 Apr,YouGov/The Sun,"1,675",34%,35%,8%,13%,5%,6%,1%
19 Apr,Lord Ashcroft,"1,002",34%,30%,10%,13%,4%,9%,4%
19 Apr,Populus[permanent dead link],"2,048",32%,34%,9%,15%,4%,6%,2%
19 Apr,ICM/The Guardian,"1,003",34%,32%,10%,11%,5%,8%,2%
18 Apr,YouGov/Sunday Times,"1,780",33%,36%,8%,13%,5%,5%,3%
17 Apr,Opinium/The Observer,"1,955",36%,32%,8%,13%,5%,6%,4%
17 Apr,YouGov/The Sun,"1,713",34%,34%,9%,14%,5%,5%,Tie
17 Apr,Survation/Daily Mirror,"1,314",34%,33%,7%,17%,3%,6%,1%
16 Apr,Populus Archived 17 April 2015 at the Wayback Machine,"2,048",33%,34%,9%,14%,4%,5%,1%
16 Apr,YouGov/The Sun,"1,939",34%,34%,7%,14%,5%,6%,Tie
16 Apr,Panelbase,"1,025",33%,34%,8%,16%,4%,5%,1%
15 Apr,YouGov/The Sun,"1,894",34%,35%,8%,13%,5%,6%,1%
15 Apr,Ipsos MORI/Evening Standard,"1,000",33%,35%,7%,10%,8%,7%,2%
14 Apr,YouGov/The Sun,"1,842",33%,35%,8%,13%,5%,6%,2%
13 Apr,YouGov/The Sun,"2,444",33%,34%,8%,13%,6%,5%,1%
13 Apr,TNS,"1,192",34%,32%,9%,14%,5%,6%,2%
12 Apr,YouGov/The Sun,"1,717",33%,36%,7%,13%,5%,6%,3%
12 Apr,Lord Ashcroft,"1,003",33%,33%,9%,13%,6%,8%,Tie
12 Apr,ICM/The Guardian,"1,042",39%,33%,8%,7%,7%,5%,6%
12 Apr,Populus[permanent dead link],"2,036",33%,33%,8%,15%,5%,6%,Tie
11 Apr,YouGov/Sunday Times,"1,887",34%,34%,7%,13%,6%,6%,Tie
10 Apr,YouGov/The Sun,"1,782",33%,35%,8%,13%,5%,5%,2%
9 Apr,Opinium/The Observer,"1,916",36%,34%,7%,11%,6%,6%,2%
9 Apr,Populus,"2,020",31%,33%,8%,16%,6%,7%,2%
9 Apr,YouGov/The Sun,"1,938",35%,34%,8%,12%,4%,6%,1%
9 Apr,Survation/Daily Mirror,"1,111",31%,35%,9%,15%,4%,6%,4%
9 Apr,Panelbase,"1,013",31%,37%,8%,16%,4%,4%,6%
8 Apr,"ComRes/ITV News, Daily Mail Archived 16 April 2015 at the Wayback Machine","1,013",34%,33%,12%,12%,4%,6%,1%
8 Apr,YouGov/The Sun,"1,871",34%,35%,8%,13%,5%,5%,1%
7 Apr,YouGov/The Sun,"1,672",33%,35%,8%,14%,5%,5%,2%
7 Apr,TNS,"1,207",30%,33%,8%,19%,4%,7%,3%
6 Apr,Populus,"2,008",31%,33%,10%,15%,4%,7%,2%
4 Apr,YouGov/Sunday Times,"1,906",34%,33%,10%,13%,4%,6%,1%
3 Apr,Opinium/The Observer,"1,974",33%,33%,7%,14%,7%,5%,Tie
3 Apr,Survation/Daily Mirror,"1,207",31%,33%,9%,18%,3%,6%,2%
2 Apr,YouGov/The Sun,"1,583",37%,35%,7%,12%,5%,4%,2%
2 Apr,Panelbase,"1,006",33%,33%,7%,17%,5%,5%,Tie
1 Apr,Populus,"2,057",32%,34%,9%,15%,5%,5%,2%
1 Apr,YouGov/The Sun,"1,678",36%,34%,8%,13%,4%,5%,2%
31 Mar,YouGov/The Sun,"1,566",35%,36%,7%,12%,5%,5%,1%
30 Mar,YouGov/The Sun,"2,001",35%,35%,8%,12%,5%,5%,Tie
30 Mar,TNS,"1,197",33%,32%,8%,16%,5%,7%,1%
29 Mar,"ComRes/ITV News, Daily Mail Archived 19 September 2015 at the Wayback Machine","1,005",36%,32%,9%,12%,5%,7%,4%
29 Mar,Lord Ashcroft,"1,004",36%,34%,6%,10%,7%,6%,2%
29 Mar,Populus,"2,004",34%,34%,8%,15%,4%,5%,Tie
28 Mar,YouGov/Sunday Times,"1,799",32%,36%,8%,13%,6%,5%,4%
26 Mar,Populus,"2,049",31%,33%,9%,16%,5%,6%,2%
26 Mar,YouGov/The Sun,"1,698",36%,34%,7%,13%,5%,5%,2%
26 Mar,Panelbase,"1,007",34%,34%,5%,15%,6%,6%,Tie
25 Mar,Opinium/The Observer,"1,959",34%,33%,8%,13%,7%,3%,1%
25 Mar,YouGov/The Sun,"1,610",34%,35%,8%,12%,6%,5%,1%
25 Mar,Survation/Daily Mirror,"1,007",32%,33%,8%,18%,4%,5%,1%
24 Mar,YouGov/The Sun,"2,006",35%,35%,8%,12%,6%,4%,Tie
23 Mar,YouGov/The Sun,"1,641",34%,34%,8%,12%,6%,5%,Tie
23 Mar,YouGov/The Times,"8,271",34%,33%,8%,14%,5%,6%,1%
22 Mar,"ComRes/ITV News, Daily Mail Archived 2 April 2015 at the Wayback Machine","1,001",35%,35%,8%,10%,7%,6%,Tie
22 Mar,Lord Ashcroft,"1,003",33%,33%,8%,12%,5%,9%,Tie
22 Mar,Populus,"2,035",31%,33%,9%,16%,5%,5%,2%
21 Mar,Survation/Mail on Sunday,"1,008",30%,34%,10%,17%,3%,6%,4%
20 Mar,YouGov/Sunday Times,"1,532",33%,35%,8%,14%,5%,5%,2%
19 Mar,Opinium/The Observer,"1,979",36%,33%,7%,14%,6%,4%,3%
19 Mar,Populus Archived 2 April 2015 at the Wayback Machine,"2,020",31%,34%,9%,17%,5%,4%,3%
19 Mar,YouGov/The Sun,"2,293",35%,33%,8%,13%,6%,5%,2%
18 Mar,YouGov/The Sun,"1,752",33%,34%,8%,14%,6%,5%,1%
17 Mar,YouGov/The Sun,"1,830",34%,36%,7%,12%,6%,5%,2%
16 Mar,YouGov/The Sun,"1,683",33%,35%,7%,13%,7%,5%,2%
16 Mar,TNS,"1,188",33%,32%,7%,17%,4%,7%,1%
15 Mar,Lord Ashcroft,"1,002",31%,29%,8%,15%,8%,9%,2%
15 Mar,ICM/The Guardian,"1,001",36%,35%,8%,9%,4%,8%,1%
15 Mar,Populus,"2,041",34%,34%,8%,15%,5%,5%,Tie
13 Mar,YouGov/Sunday Times,"1,669",34%,34%,7%,14%,5%,6%,Tie
13 Mar,"ComRes/Sunday Mirror, Independent on Sunday Archived 22 March 2015 at the Wayback Machine","2,002",33%,35%,7%,16%,4%,5%,2%
12 Mar,Populus,"2,041",29%,32%,8%,18%,6%,7%,3%
12 Mar,YouGov/The Sun,"1,619",33%,32%,7%,16%,6%,6%,1%
12 Mar,Opinium/The Observer,"1,947",33%,35%,7%,14%,7%,5%,2%
11 Mar,YouGov/The Sun,"1,728",34%,35%,7%,14%,5%,5%,1%
11 Mar,Ipsos MORI/Evening Standard,"1,025",33%,34%,8%,13%,6%,6%,1%
10 Mar,YouGov/The Sun,"1,598",33%,31%,8%,15%,6%,6%,2%
9 Mar,YouGov/The Sun,"1,745",35%,31%,8%,14%,6%,6%,4%
8 Mar,Lord Ashcroft,"1,003",34%,30%,5%,15%,8%,7%,4%
8 Mar,Populus,"2,026",32%,33%,9%,15%,6%,6%,1%
6 Mar,YouGov/Sunday Times,"1,754",34%,33%,8%,15%,5%,5%,1%
6 Mar,Opinium/The Observer,"1,961",34%,34%,8%,14%,7%,5%,Tie
5 Mar,Populus Archived 2 April 2015 at the Wayback Machine,"2,063",31%,33%,8%,16%,5%,5%,2%
5 Mar,YouGov/The Sun,"1,748",31%,35%,6%,15%,8%,4%,4%
4 Mar,YouGov/The Sun,"1,544",34%,34%,8%,14%,6%,4%,Tie
3 Mar,YouGov/The Sun,"1,701",36%,34%,5%,14%,6%,5%,2%
2 Mar,YouGov/The Sun,"1,866",35%,32%,7%,15%,6%,5%,3%
1 Mar,Lord Ashcroft,"1,003",34%,31%,7%,14%,7%,8%,3%
1 Mar,Populus,"2,056",32%,34%,8%,14%,5%,7%,2%
27 Feb,YouGov/Sunday Times,"1,959",34%,34%,8%,14%,5%,5%,Tie
27 Feb,Populus Archived 27 February 2015 at the Wayback Machine,"2,005",31%,33%,9%,16%,6%,5%,2%
26 Feb,YouGov/The Sun,"1,638",33%,34%,8%,13%,6%,6%,1%
26 Feb,Opinium/The Observer,"1,948",34%,35%,6%,14%,6%,6%,1%
25 Feb,YouGov/The Sun,"1,581",33%,33%,8%,15%,6%,5%,Tie
24 Feb,YouGov/The Sun,"1,520",35%,33%,6%,14%,7%,5%,2%
23 Feb,Survation/Daily Mirror,"1,046",28%,34%,10%,19%,4%,5%,6%
23 Feb,YouGov/The Sun,"1,772",33%,33%,8%,13%,7%,5%,Tie
23 Feb,ComRes/Daily Mail Archived 24 February 2015 at the Wayback Machine,"1,004",34%,32%,8%,13%,8%,6%,2%
22 Feb,Lord Ashcroft,"1,004",32%,36%,7%,11%,8%,6%,4%
22 Feb,Populus,"2,059",32%,32%,9%,15%,6%,6%,Tie
20 Feb,YouGov/Sunday Times,"1,568",33%,34%,8%,13%,6%,6%,1%
20 Feb,Opinium/The Observer,"1,975",35%,33%,6%,15%,7%,5%,2%
19 Feb,Populus,"2,011",31%,32%,9%,17%,6%,5%,1%
19 Feb,YouGov/The Sun,"1,564",32%,33%,9%,15%,6%,5%,1%
18 Feb,YouGov/The Sun,"1,743",32%,34%,8%,14%,6%,5%,2%
17 Feb,YouGov/The Sun,"1,548",33%,34%,6%,15%,7%,5%,1%
16 Feb,YouGov/The Sun,"1,580",32%,32%,6%,16%,8%,5%,Tie
16 Feb,TNS,"1,193",28%,35%,6%,18%,7%,6%,7%
15 Feb,Lord Ashcroft,"1,004",30%,31%,9%,16%,8%,6%,1%
15 Feb,Populus,"2,012",31%,33%,10%,15%,5%,5%,2%
15 Feb,ICM/The Guardian,"1,000",36%,32%,10%,9%,7%,7%,4%
13 Feb,YouGov/Sunday Times,"1,620",32%,35%,7%,15%,7%,5%,3%
12 Feb,"ComRes/Sunday Mirror, Independent on Sunday Archived 14 February 2015 at the Wayback Machine","2,017",32%,34%,7%,16%,4%,7%,2%
12 Feb,Populus,"2,055",31%,34%,9%,14%,6%,6%,3%
12 Feb,YouGov/The Sun,"1,592",31%,34%,7%,15%,7%,6%,3%
12 Feb,Opinium/The Observer,"1,969",33%,35%,8%,14%,6%,6%,2%
11 Feb,YouGov/The Sun,"1,764",32%,33%,7%,15%,7%,6%,1%
10 Feb,YouGov/The Sun,"1,677",33%,35%,6%,13%,8%,5%,2%
10 Feb,Ipsos MORI/Evening Standard,"1,010",34%,36%,6%,9%,7%,8%,2%
9 Feb,YouGov/The Sun,"1,552",34%,33%,7%,14%,7%,6%,1%
8 Feb,Lord Ashcroft,"1,003",34%,31%,9%,14%,6%,6%,3%
8 Feb,Populus,"2,003",33%,34%,8%,15%,4%,4%,1%
6 Feb,YouGov/Sunday Times,"1,668",32%,33%,7%,15%,8%,5%,1%
6 Feb,Opinium/The Observer,"1,947",32%,34%,7%,15%,8%,4%,2%
5 Feb,Populus,"2,056",31%,34%,8%,16%,5%,6%,3%
5 Feb,YouGov/The Sun,"1,719",32%,33%,9%,15%,5%,5%,1%
4 Feb,YouGov/The Sun,"1,749",34%,33%,6%,13%,7%,7%,1%
3 Feb,YouGov/The Sun,"1,705",33%,33%,7%,14%,7%,5%,Tie
2 Feb,YouGov/The Sun,"1,630",33%,35%,7%,14%,6%,5%,2%
2 Feb,Populus,"2,040",31%,34%,8%,14%,5%,6%,3%
2 Feb,TNS,"1,182",27%,33%,6%,18%,8%,8%,6%
1 Feb,Lord Ashcroft,"1,002",31%,31%,8%,15%,9%,6%,Tie
30 Jan,YouGov/Sunday Times,"1,550",32%,35%,7%,15%,6%,5%,3%
30 Jan,Opinium/The Observer,"1,975",32%,33%,5%,18%,6%,6%,1%
29 Jan,Populus,"2,020",34%,35%,10%,14%,4%,3%,1%
29 Jan,YouGov/The Sun,"1,593",34%,34%,6%,14%,7%,5%,Tie
28 Jan,YouGov/The Sun,"1,548",33%,33%,6%,16%,7%,5%,Tie
27 Jan,YouGov/The Sun,"1,655",34%,33%,7%,14%,7%,5%,1%
26 Jan,YouGov/The Sun,"1,656",34%,33%,6%,15%,7%,5%,1%
26 Jan,TNS-BMRB/BBC Radio 4 Woman's Hour Archived 3 February 2015 at the Wayback Machine,975,28%,39%,4%,14%,8%,7%,11%
25 Jan,Survation/Daily Mirror,"1,014",31%,30%,7%,23%,3%,6%,1%
25 Jan,ComRes/The Independent[permanent dead link],"1,001",31%,30%,8%,17%,7%,7%,1%
25 Jan,Populus,"2,039",34%,35%,9%,13%,6%,3%,1%
25 Jan,Lord Ashcroft,"1,001",32%,32%,6%,15%,9%,6%,Tie
23 Jan,YouGov/Sunday Times,"1,578",32%,32%,7%,15%,7%,6%,Tie
22 Jan,Populus,"2,049",32%,36%,9%,13%,6%,4%,4%
22 Jan,YouGov/The Sun,"1,640",31%,33%,7%,17%,8%,4%,2%
21 Jan,YouGov/The Sun,"1,645",33%,34%,6%,14%,8%,5%,1%
20 Jan,YouGov/The Sun,"1,570",32%,30%,8%,15%,10%,5%,2%
19 Jan,YouGov/The Sun,"1,747",32%,32%,8%,15%,7%,6%,Tie
19 Jan,ICM/The Guardian,"1,002",30%,33%,11%,11%,9%,7%,3%
19 Jan,TNS,"1,188",31%,31%,8%,16%,7%,7%,Tie
18 Jan,Lord Ashcroft,"1,004",29%,28%,9%,15%,11%,8%,1%
18 Jan,Populus,"2,036",35%,36%,8%,13%,4%,4%,1%
16 Jan,YouGov/Sunday Times,"1,647",31%,32%,7%,18%,7%,4%,1%
15 Jan,YouGov/Sun on Sunday,"1,763",31%,33%,7%,16%,7%,6%,2%
15 Jan,"ComRes/Sunday Mirror, Independent on Sunday[permanent dead link]","2,023",33%,34%,7%,18%,3%,5%,1%
15 Jan,Populus,"2,070",32%,35%,9%,14%,6%,4%,3%
15 Jan,YouGov/The Sun,"1,660",32%,32%,6%,16%,8%,6%,Tie
15 Jan,Opinium/The Observer,"1,966",28%,33%,7%,20%,6%,6%,5%
14 Jan,YouGov/The Sun,"1,834",32%,34%,6%,15%,7%,6%,2%
13 Jan,YouGov/The Sun,"1,782",32%,33%,7%,14%,7%,6%,1%
13 Jan,Ipsos MORI/Evening Standard,"1,010",33%,34%,8%,11%,8%,6%,1%
12 Jan,YouGov/The Sun,"1,649",32%,33%,6%,17%,6%,6%,1%
11 Jan,Lord Ashcroft,"1,002",34%,28%,8%,16%,8%,6%,6%
11 Jan,Populus,"2,056",32%,37%,10%,13%,4%,4%,5%
9 Jan,YouGov/Sunday Times,"1,684",32%,32%,7%,18%,6%,5%,Tie
8 Jan,Populus,"2,046",33%,34%,8%,14%,6%,5%,1%
8 Jan,YouGov/The Sun,"1,753",33%,33%,8%,13%,7%,6%,Tie
8 Jan,TNS,"1,201",28%,35%,6%,18%,5%,8%,7%
7 Jan,YouGov/The Sun,"1,707",32%,33%,7%,15%,7%,6%,1%
6 Jan,YouGov/The Sun,"1,769",33%,33%,7%,13%,8%,5%,Tie
5 Jan,YouGov/The Sun,"1,728",31%,34%,7%,14%,8%,6%,3%
4 Jan,Populus,"2,046",34%,36%,9%,12%,5%,5%,2%
2 Jan,Opinium/The Observer,1970,32%,33%,8%,17%,4%,7%,1%
