Polling firm,Date,T-Days,A,V,O,B,F,Ø,C,Å,D,I,K,M,Q,Æ,Red,Blue,Sample size
Voxmeter,2 Oct 2022,-30,25.3,15.5,3.3,6.0,8.8,8.0,11.0,1.5,4.7,4.2,0.7,2.2,0.4,8.4,50.0,47.8,1001
Voxmeter,25 Sep 2022,-37,25.1,14.1,2.5,6.5,8.3,7.3,11.6,1.1,5.1,4.6,1.2,2.4,0.6,9.1,49.2,48.2,1004
Epinion,20 Sep 2022,-42,25.4,11.9,1.9,4.6,7.6,8.1,13.4,0.9,4.6,5.3,0.3,3.3,1.0,10.8,47.9,48.2,2270
Voxmeter,18 Sep 2022,-44,24.2,13.9,2.1,6.3,8.4,8.3,13.6,0.8,4.8,4.3,1.3,1.8,0.4,9.3,48.7,49.3,1001
Voxmeter,11 Sep 2022,-51,23.3,13.8,2.9,6.0,9.1,7.7,15.1,1.4,4.9,3.6,0.5,2.1,0.5,9.0,48.1,49.8,1003
Voxmeter,4 Sep 2022,-58,24.7,12.5,3.3,6.4,8.0,7.2,16.2,1.6,4.3,3.4,1.0,1.7,0.3,9.3,48.3,50.0,1002
Gallup,2 Sep 2022,-60,23.1,12.2,2.4,6.4,8.8,8.3,14.1,0.5,4.2,3.5,1.4,3.3,0.7,10.2,48.2,48.0,1000
Voxmeter,28 Aug 2022,-65,25.2,11.8,3.4,5.7,7.8,8.1,16.4,1.4,3.7,4.0,0.4,2.3,0.4,8.9,48.8,48.6,1001
Epinion,24 Aug 2022,-69,23.3,11.3,2.2,5.5,8.7,7.3,16.7,1.1,4.1,3.1,0.7,2.8,0.5,11.8,46.7,49.9,1068
Voxmeter,21 Aug 2022,-72,25.1,11.0,3.2,5.6,7.6,7.5,16.5,1.2,4.3,4.9,0.6,1.9,0.5,9.3,47.8,49.8,1068
Voxmeter,14 Aug 2022,-79,23.9,13.4,2.5,6.3,8.5,8.1,13.3,0.5,5.8,4.3,1.0,2.2,0.2,9.7,47.6,50.0,1051
Yougov,7 Aug 2022,-86,26.1,10.0,3.1,5.2,7.2,6.9,13.9,1.0,5.2,3.2,0.3,4.6,0.6,11.9,47.8,47.6,1242
Voxmeter,6 Aug 2022,-87,22.9,15.2,2.8,7.2,8.3,7.4,12.5,1.2,4.7,3.2,0.4,1.9,0.3,11.2,47.5,50.0,1001
Gallup,5 Aug 2022,-88,23.5,13.2,1.8,6.9,9.3,6.1,11.8,0.3,6.0,4.1,1.7,4.1,0.3,10.2,46.6,48.8,1577
Epinion,28 Jul 2022,-96,24.2,14.2,2.1,5.8,8.1,7.3,11.5,1.3,4.4,3.8,1.0,3.1,0.8,10.8,47.9,47.8,1833
