Polling firm,Date,T-Days,Union,SPD,AfD,FDP,Linke,Grune,Others,Sample size
Forsa,6 Sep 2021,-20,19.0,25.0,11.0,13.0,6.0,17.0,9.0,2505
INSA,3 Sep 2021,-23,20.0,25.0,12.0,13.0,7.0,16.0,7.0,1427
Forschungsgruppe Wahlen,2 Sep 2021,-24,22.0,25.0,11.0,11.0,7.0,17.0,7.0,1301
Trend Research,2 Sep 2021,-24,20.0,26.0,12.0,13.0,7.0,15.0,7.0,1065
Infratest dimap,1 Sep 2021,-25,20.0,25.0,12.0,13.0,6.0,16.0,8.0,1337
Civey,1 Sep 2021,-25,23.0,25.0,10.0,11.0,6.0,18.0,7.0,10032
Wahlkreisprognose,31 Aug 2021,-26,19.5,27.0,10.5,13.0,6.5,15.5,8.0,2340
YouGov,31 Aug 2021,-26,20.0,25.0,12.0,13.0,8.0,15.0,8.0,1729
Kantar,31 Aug 2021,-26,21.0,25.0,11.0,11.0,7.0,19.0,6.0,1439
INSA,30 Aug 2021,-27,20.0,25.0,11.0,13.5,7.0,16.5,7.0,2015
Forsa,30 Aug 2021,-27,21.0,23.0,11.0,12.0,6.0,18.0,9.0,2508
Ipsos,29 Aug 2021,-28,21.0,25.0,11.0,11.0,7.0,19.0,6.0,2001
INSA,27 Aug 2021,-30,21.0,24.0,11.0,13.0,6.0,17.0,8.0,1247
Forschungsgruppe Wahlen,26 Aug 2021,-31,22.0,22.0,11.0,10.0,6.0,20.0,6.0,1300
Allensbach,26 Aug 2021,-31,26.0,24.0,10.5,10.5,6.0,17.0,6.0,1038
Civey,25 Aug 2021,-32,22.0,22.0,12.0,12.0,7.0,18.0,7.0,10054
YouGov,24 Aug 2021,-33,22.0,24.0,11.0,13.0,8.0,16.0,7.0,1689
Kantar,24 Aug 2021,-33,23.0,23.0,11.0,12.0,7.0,18.0,6.0,1919
INSA,23 Aug 2021,-34,23.0,23.0,11.0,13.0,7.0,17.0,6.0,2119
Forsa,23 Aug 2021,-34,22.0,23.0,10.0,12.0,6.0,18.0,9.0,2504
INSA,20 Aug 2021,-37,22.0,22.0,12.0,13.0,7.0,17.0,7.0,1352
Infratest dimap,18 Aug 2021,-39,23.0,21.0,11.0,13.0,7.0,17.0,8.0,1219
Trend Research,18 Aug 2021,-39,23.0,21.0,12.0,13.0,7.0,17.0,8.0,1798
Civey,18 Aug 2021,-39,24.0,19.0,11.0,12.0,7.0,20.0,7.0,10117
Wahlkreisprognose,17 Aug 2021,-40,22.0,22.0,11.0,11.0,7.0,17.5,9.5,2005
Kantar,17 Aug 2021,-40,22.0,21.0,11.0,12.0,7.0,19.0,8.0,1920
Allensbach,17 Aug 2021,-40,27.5,19.5,11.0,11.0,7.5,17.5,6.0,1018
INSA,16 Aug 2021,-41,25.0,20.0,11.0,12.5,6.5,17.5,7.5,2080
Forsa,16 Aug 2021,-41,23.0,21.0,10.0,12.0,6.0,19.0,9.0,2501
INSA,13 Aug 2021,-44,25.0,20.0,11.0,12.0,7.0,18.0,4.0,1450
Forschungsgruppe Wahlen,12 Aug 2021,-45,26.0,19.0,11.0,11.0,7.0,19.0,7.0,1252
Civey,11 Aug 2021,-46,24.0,18.0,11.0,12.0,7.0,20.0,8.0,10116
Kantar,10 Aug 2021,-47,22.0,19.0,11.0,12.0,7.0,21.0,8.0,1446
INSA,9 Aug 2021,-48,25.5,17.5,11.5,12.5,6.5,17.5,5.5,2118
Forsa,9 Aug 2021,-48,23.0,19.0,10.0,12.0,7.0,20.0,9.0,2509
INSA,6 Aug 2021,-51,26.0,18.0,11.0,12.0,7.0,18.0,8.0,2002
Infratest dimap,4 Aug 2021,-53,27.0,18.0,10.0,12.0,6.0,19.0,8.0,1312
Civey, 4 Aug 2021,-53,25.0,17.0,11.0,12.0,6.0,21.0,8.0,10217
Kantar, 3 Aug 2021,-54,24.0,18.0,11.0,13.0,6.0,22.0,6.0,1413
INSA, 2 Aug 2021,-55,27.5,18.0,11.0,13.0,7.0,18.0,5.5,2080
Forsa, 2 Aug 2021,-55,26.0,16.0,10.0,13.0,6.0,20.0,9.0,2502
Ipsos,31 Jul 2021,-57,27.0,18.0,11.0,10.0,7.0,20.0,7.0,2002
INSA,30 Jul 2021,-58,27.0,17.0,11.0,13.0,6.0,18.0,8.0,1196
Forschungsgruppe Wahlen,29 Jul 2021,-59,28.0,16.0,11.0,10.0,7.0,21.0,4.0,1268
Civey,28 Jul 2021,-60,26.0,17.0,11.0,12.0,7.0,21.0,6.0,10111
GMS,27 Jul 2021,-61,30.0,15.0,10.0,12.0,7.0,18.0,8.0,1003
Kantar,27 Jul 2021,-61,27.0,17.0,11.0,13.0,6.0,19.0,7.0,1441
YouGov,26 Jul 2021,-62,28.0,16.0,12.0,12.0,8.0,16.0,8.0,1748
INSA,26 Jul 2021,-62,27.0,17.5,12.0,13.0,6.0,17.5,7.0,2007
Forsa,26 Jul 2021,-62,26.0,15.0,10.0,13.0,7.0,21.0,8.0,2501
INSA,23 Jul 2021,-65,27.0,17.0,11.0,13.0,7.0,18.0,7.0,1316
Allensbach,22 Jul 2021,-66,30.0,16.0,9.5,12.0,7.0,19.5,6.0,1243
Infratest dimap,21 Jul 2021,-67,29.0,16.0,10.0,12.0,6.0,19.0,5.0,1188
Civey,21 Jul 2021,-67,26.0,17.0,11.0,11.0,6.0,21.0,8.0,9999
Kantar,20 Jul 2021,-68,28.0,16.0,11.0,12.0,7.0,19.0,7.0,1421
INSA,19 Jul 2021,-69,29.0,16.5,11.5,12.0,6.0,18.0,7.0,2064
Forsa,19 Jul 2021,-69,28.0,16.0,10.0,12.0,7.0,19.0,8.0,2503
INSA,16 Jul 2021,-72,28.0,17.0,11.0,12.0,7.0,18.0,7.0,1354
Forschungsgruppe Wahlen,15 Jul 2021,-73,30.0,15.0,10.0,10.0,7.0,20.0,8.0,1224
Civey,14 Jul 2021,-74,28.0,19.0,10.0,11.0,6.0,20.0,6.0,10110
Allensbach (intermediate result),14 Jul 2021,-74,31.5,16.5,9.5,12.0,6.5,18.0,6.0,1028
Kantar,13 Jul 2021,-75,28.0,15.0,11.0,11.0,8.0,20.0,7.0,1495
INSA,12 Jul 2021,-76,28.0,17.0,11.0,12.5,7.0,17.0,7.5,2087
Forsa,12 Jul 2021,-76,30.0,15.0,9.0,12.0,7.0,19.0,8.0,2502
INSA,9 Jul 2021,-79,28.0,17.0,11.0,12.0,8.0,17.0,7.0,1352
Civey, 7 Jul 2021,-81,30.0,18.0,9.0,11.0,6.0,21.0,5.0,10069
Kantar, 6 Jul 2021,-82,29.0,15.0,11.0,11.0,8.0,19.0,7.0,1405
INSA,5 Jul 2021,-83,29.0,16.5,10.0,12.5,7.0,18.0,7.0,2056
Forsa, 5 Jul 2021,-83,30.0,15.0,10.0,11.0,7.0,19.0,8.0,2505
INSA, 2 Jul 2021,-86,28.0,17.0,10.0,12.0,7.0,18.0,8.0,1352
Infratest dimap,30 Jun 2021,-88,28.0,15.0,11.0,11.0,7.0,20.0,8.0,1317
Civey,30 Jun 2021,-88,29.0,17.0,9.0,12.0,6.0,22.0,5.0,10068
Kantar,29 Jun 2021,-89,28.0,16.0,11.0,10.0,7.0,20.0,8.0,1418
YouGov,28 Jun 2021,-90,30.0,15.0,11.0,11.0,7.0,19.0,7.0,1648
INSA,28 Jun 2021,-90,29.5,16.0,11.0,13.0,7.5,18.0,5.0,2060
Forsa,28 Jun 2021,-90,30.0,14.0,9.0,12.0,7.0,20.0,8.0,2501
Ipsos,27 Jun 2021,-91,28.0,15.0,10.0,11.0,8.0,21.0,7.0,2002
INSA,25 Jun 2021,-93,28.0,17.0,11.0,12.0,7.0,19.0,6.0,1203
Forschungsgruppe Wahlen,24 Jun 2021,-94,29.0,14.0,10.0,10.0,7.0,22.0,8.0,1271
Infratest dimap,23 Jun 2021,-95,28.0,15.0,12.0,11.0,6.0,21.0,7.0,1217
Civey,23 Jun 2021,-95,30.0,16.0,9.0,12.0,6.0,22.0,5.0,10087
Kantar,22 Jun 2021,-96,28.0,17.0,10.0,11.0,7.0,19.0,8.0,1430
Forsa,21 Jun 2021,-97,29.0,15.0,9.0,13.0,6.0,21.0,7.0,2502
INSA,21 Jun 2021,-97,28.5,15.5,10.5,14.0,7.0,19.0,5.5,2082
GMS,21 Jun 2021,-97,28.0,16.0,10.0,12.0,8.0,20.0,6.0,1002
Forsa,21 Jun 2021,-97,29.0,15.0,9.0,13.0,6.0,21.0,7.0,2502
INSA,18 Jun 2021,-100,28.0,16.0,11.0,13.0,6.0,20.0,6.0,1502
Civey Archived 2021-08-30 at the Wayback Machine,16 Jun 2021,-102,30.0,16.0,9.0,13.0,6.0,21.0,5.0,10094
Kantar,15 Jun 2021,-103,27.0,17.0,10.0,12.0,7.0,20.0,7.0,1413
INSA,14 Jun 2021,-104,27.5,16.5,11.0,13.5,6.0,19.5,6.0,2038
Forsa,14 Jun 2021,-104,28.0,14.0,9.0,14.0,7.0,21.0,7.0,2501
INSA,11 Jun 2021,-107,27.0,16.0,11.0,13.0,7.0,20.0,6.0,1401
Redfield & Wilton Strategies,9 Jun 2021,-109,23.0,18.0,13.0,14.0,12.0,15.0,6.0,1500
Infratest dimap,9 Jun 2021,-109,28.0,14.0,12.0,12.0,7.0,20.0,7.0,1316
Forschungsgruppe Wahlen,9 Jun 2021,-109,28.0,15.0,11.0,10.0,7.0,22.0,4.0,1232
Civey,9 Jun 2021,-109,29.0,16.0,10.0,12.0,6.0,21.0,6.0,10096
Allensbach, 9 Jun 2021,-109,29.5,17.0,9.0,11.0,7.0,21.5,5.0,1070
Kantar,8 Jun 2021,-110,26.0,16.0,11.0,13.0,7.0,21.0,6.0,1421
INSA,7 Jun 2021,-111,26.5,15.5,11.0,13.5,7.0,20.5,6.0,2015
Forsa,7 Jun 2021,-111,27.0,14.0,9.0,14.0,6.0,22.0,8.0,2501
INSA, 4 Jun 2021,-114,26.0,17.0,12.0,12.0,6.0,21.0,6.0,1380
Civey, 2 Jun 2021,-116,29.0,16.0,10.0,12.0,6.0,22.0,5.0,10015
Kantar, 1 Jun 2021,-117,24.0,16.0,11.0,13.0,7.0,22.0,7.0,1419
INSA,31 May 2021,-118,25.5,15.5,11.0,13.5,6.5,21.5,6.5,2040
Forsa,31 May 2021,-118,25.0,14.0,9.0,14.0,6.0,24.0,8.0,2500
INSA,28 May 2021,-121,25.0,16.0,12.0,13.0,7.0,22.0,5.0,1301
INSA,25 May 2021,-124,26.0,16.0,11.5,12.5,6.5,22.0,5.5,2128
Kantar,25 May 2021,-124,25.0,15.0,12.0,12.0,7.0,23.0,6.0,1422
Civey,25 May 2021,-124,27.0,16.0,10.0,13.0,6.0,23.0,5.0,10016
Ipsos,25 May 2021,-124,25.0,13.0,13.0,11.0,9.0,23.0,6.0,2014
YouGov,24 May 2021,-125,26.0,15.0,11.0,12.0,7.0,22.0,7.0,1706
Forsa,21 May 2021,-128,24.0,14.0,10.0,13.0,6.0,25.0,8.0,2004
INSA,21 May 2021,-128,24.0,17.0,12.0,13.0,6.0,23.0,5.0,1405
Forschungsgruppe Wahlen,20 May 2021,-129,24.0,14.0,11.0,11.0,7.0,25.0,5.0,1229
Civey,19 May 2021,-130,26.0,16.0,10.0,12.0,6.0,23.0,7.0,10050
Kantar,18 May 2021,-131,26.0,14.0,11.0,11.0,8.0,24.0,6.0,1445
INSA,17 May 2021,-132,25.5,16.0,11.0,12.5,6.5,23.0,5.5,2023
Forsa,17 May 2021,-132,24.0,15.0,10.0,11.0,6.0,26.0,8.0,2001
GMS,17 May 2021,-132,26.0,15.0,11.0,11.0,7.0,24.0,6.0,1005
INSA,14 May 2021,-135,25.0,16.0,12.0,11.0,7.0,24.0,5.0,1350
Allensbach,13 May 2021,-136,27.5,16.0,10.0,10.0,6.5,24.0,6.0,1027
Infratest dimap,11 May 2021,-138,24.0,15.0,11.0,12.0,7.0,25.0,6.0,1198
Kantar,11 May 2021,-138,24.0,15.0,11.0,11.0,8.0,25.0,6.0,1428
INSA,10 May 2021,-139,25.5,15.0,11.0,12.0,7.5,23.5,5.5,2055
Forsa,10 May 2021,-139,24.0,15.0,10.0,11.0,6.0,27.0,7.0,2501
Redfield & Wilton Strategies,6 May 2021,-143,22.0,16.0,11.0,12.0,11.0,21.0,7.0,1950
Forschungsgruppe Wahlen,6 May 2021,-143,25.0,14.0,11.0,10.0,7.0,26.0,7.0,1271
Infratest dimap,5 May 2021,-144,23.0,14.0,12.0,11.0,6.0,26.0,8.0,1351
Kantar, 5 May 2021,-144,23.0,16.0,10.0,12.0,7.0,26.0,6.0,1910
Civey, 5 May 2021,-144,27.0,15.0,9.0,11.0,6.0,25.0,7.0,10028
INSA, 3 May 2021,-146,24.0,15.0,12.0,12.0,7.0,24.0,6.0,2075
Forsa, 3 May 2021,-146,23.0,14.0,10.0,12.0,6.0,28.0,7.0,2508
Kantar,28 Apr 2021,-151,24.0,15.0,10.0,11.0,7.0,27.0,6.0,1442
INSA,26 Apr 2021,-153,23.0,16.0,12.0,12.0,8.0,23.0,6.0,2082
YouGov,26 Apr 2021,-153,24.0,14.0,11.0,11.0,8.0,25.0,7.0,1643
Forsa,26 Apr 2021,-153,22.0,13.0,11.0,12.0,7.0,28.0,7.0,2507
Civey,26 Apr 2021,-153,24.0,15.0,9.0,11.0,6.0,29.0,6.0,10039
INSA (intermediate result),23 Apr 2021,-156,24.0,17.0,11.0,12.0,8.0,23.0,5.0,1000
Kantar,21 Apr 2021,-158,27.0,13.0,10.0,9.0,7.0,28.0,6.0,1225
Civey,21 Apr 2021,-158,29.0,15.0,10.0,9.0,7.0,25.0,6.0,10064
Forsa (intermediate result),20 Apr 2021,-159,21.0,13.0,11.0,12.0,7.0,28.0,8.0,1502
INSA,20 Apr 2021,-159,27.0,16.0,12.0,11.0,7.0,22.0,5.0,1000
INSA,19 Apr 2021,-160,28.0,16.0,12.0,11.0,7.0,21.0,5.0,3057
Forsa,16 Apr 2021,-163,28.0,15.0,11.0,10.0,6.0,23.0,7.0,2003
INSA,15 Apr 2021,-164,28.0,18.0,12.0,10.0,8.0,20.0,4.0,1007
Forschungsgruppe Wahlen,15 Apr 2021,-164,31.0,14.0,11.0,9.0,7.0,21.0,7.0,1292
Allensbach,15 Apr 2021,-164,28.0,16.5,9.5,10.0,7.5,23.0,5.5,1051
Infratest dimap,14 Apr 2021,-165,28.0,15.0,11.0,11.0,7.0,21.0,7.0,1174
Kantar,14 Apr 2021,-165,29.0,15.0,11.0,9.0,8.0,22.0,6.0,1437
INSA,12 Apr 2021,-167,27.5,17.0,12.0,10.0,7.0,20.5,6.0,3174
Forsa,12 Apr 2021,-167,27.0,15.0,11.0,9.0,8.0,23.0,7.0,2500
Kantar, 7 Apr 2021,-172,27.0,15.0,11.0,9.0,9.0,22.0,7.0,1448
INSA, 1 Apr 2021,-178,27.0,17.0,12.0,10.0,7.0,21.0,6.0,3020
Forsa, 1 Apr 2021,-178,27.0,15.0,10.0,10.0,7.0,23.0,8.0,1501
Kantar,31 Mar 2021,-179,26.0,16.0,10.0,9.0,9.0,23.0,7.0,1429
Infratest dimap,30 Mar 2021,-180,27.0,16.0,11.0,9.0,7.0,22.0,8.0,1348
INSA,29 Mar 2021,-181,26.0,18.0,11.0,10.5,7.0,21.0,6.5,3049
YouGov,29 Mar 2021,-181,27.0,17.0,11.0,10.0,8.0,21.0,6.0,1637
GMS,29 Mar 2021,-181,26.0,16.0,11.0,11.0,8.0,21.0,7.0,1003
Forsa,29 Mar 2021,-181,27.0,15.0,11.0,10.0,7.0,23.0,7.0,2503
Forschungsgruppe Wahlen,25 Mar 2021,-185,28.0,15.0,12.0,9.0,7.0,23.0,6.0,1030
Kantar,24 Mar 2021,-186,25.0,17.0,10.0,10.0,9.0,23.0,6.0,1447
Civey,24 Mar 2021,-186,28.0,16.0,10.0,9.0,7.0,23.0,7.0,10066
INSA,22 Mar 2021,-188,28.0,18.0,11.0,10.5,7.0,20.0,5.5,3104
Forsa,22 Mar 2021,-188,26.0,16.0,10.0,10.0,8.0,22.0,8.0,2511
Allensbach,21 Mar 2021,-189,28.5,18.0,10.0,8.5,8.5,21.5,5.0,1006
INSA (intermediate result),19 Mar 2021,-191,28.0,18.0,11.0,10.0,8.0,20.0,5.0,1042
Infratest dimap,17 Mar 2021,-193,29.0,17.0,11.0,9.0,7.0,20.0,7.0,1207
Kantar,17 Mar 2021,-193,27.0,17.0,10.0,10.0,8.0,22.0,6.0,1942
Civey,17 Mar 2021,-193,29.0,17.0,11.0,9.0,8.0,21.0,7.0,10045
INSA,15 Mar 2021,-195,29.5,17.0,11.5,10.5,8.0,17.0,6.5,2068
Forsa,15 Mar 2021,-195,29.0,16.0,10.0,8.0,8.0,21.0,8.0,2501
Kantar,10 Mar 2021,-200,31.0,16.0,11.0,8.0,8.0,19.0,7.0,2378
INSA,8 Mar 2021,-202,30.0,17.0,11.5,10.5,9.0,17.0,5.0,2049
Forsa,8 Mar 2021,-202,33.0,16.0,10.0,8.0,8.0,18.0,7.0,2510
Kantar, 3 Mar 2021,-207,32.0,16.0,10.0,9.0,9.0,19.0,5.0,2410
Infratest dimap,2 Mar 2021,-208,33.0,16.0,11.0,7.0,7.0,20.0,6.0,1296
INSA, 1 Mar 2021,-209,32.5,17.0,11.0,10.0,8.0,17.0,4.5,2032
Forsa, 1 Mar 2021,-209,34.0,16.0,9.0,7.0,8.0,19.0,7.0,2501
Forschungsgruppe Wahlen,25 Feb 2021,-213,35.0,16.0,10.0,7.0,7.0,19.0,6.0,1202
Kantar,24 Feb 2021,-214,34.0,16.0,9.0,8.0,9.0,18.0,6.0,1869
INSA,22 Feb 2021,-216,33.5,16.0,11.0,9.0,8.0,17.0,5.5,2075
YouGov,22 Feb 2021,-216,33.0,16.0,11.0,8.0,8.0,18.0,6.0,1619
Forsa,22 Feb 2021,-216,35.0,16.0,8.0,8.0,7.0,19.0,7.0,2505
Infratest dimap,17 Feb 2021,-221,33.0,16.0,11.0,8.0,6.0,20.0,6.0,1025
Kantar,17 Feb 2021,-221,34.0,16.0,9.0,8.0,8.0,19.0,6.0,1905
Allensbach,17 Feb 2021,-221,37.0,15.0,9.5,7.0,7.0,20.0,4.5,1082
INSA,15 Feb 2021,-223,33.5,17.0,10.5,9.0,9.0,17.0,4.0,2051
GMS,15 Feb 2021,-223,37.0,17.0,9.0,7.0,7.0,18.0,5.0,1005
Forsa,15 Feb 2021,-223,35.0,16.0,8.0,7.0,8.0,19.0,7.0,2502
Kantar,10 Feb 2021,-228,35.0,17.0,10.0,8.0,7.0,18.0,5.0,1569
INSA,8 Feb 2021,-230,34.5,16.0,10.5,9.0,8.5,17.5,4.0,2107
Forsa,8 Feb 2021,-230,37.0,15.0,8.0,7.0,7.0,19.0,7.0,2501
Infratest dimap,3 Feb 2021,-235,34.0,15.0,10.0,8.0,6.0,21.0,6.0,1503
Kantar, 3 Feb 2021,-235,36.0,16.0,9.0,7.0,7.0,19.0,6.0,1412
YouGov, 1 Feb 2021,-237,36.0,15.0,10.0,7.0,9.0,18.0,5.0,1606
INSA, 1 Feb 2021,-237,36.5,15.0,11.0,8.0,7.5,17.0,5.0,2044
Forsa, 1 Feb 2021,-237,37.0,15.0,8.0,6.0,8.0,19.0,7.0,2503
Forschungsgruppe Wahlen,27 Jan 2021,-242,37.0,15.0,9.0,6.0,7.0,20.0,6.0,1371
Kantar,27 Jan 2021,-242,36.0,15.0,9.0,7.0,8.0,19.0,6.0,1427
INSA,25 Jan 2021,-244,35.0,16.0,10.0,8.0,8.0,17.0,6.0,2038
Forsa,25 Jan 2021,-244,37.0,15.0,9.0,7.0,7.0,18.0,7.0,3005
Infratest dimap,20 Jan 2021,-249,34.0,15.0,10.0,7.0,6.0,21.0,7.0,1027
Kantar,20 Jan 2021,-249,35.0,15.0,9.0,7.0,8.0,20.0,6.0,1922
Allensbach,20 Jan 2021,-249,37.0,16.0,9.0,6.5,7.5,20.0,4.0,1080
INSA (intermediate result),18 Jan 2021,-251,35.0,15.0,11.0,9.0,8.0,17.0,5.0,1835
Forsa,17 Jan 2021,-252,35.0,15.0,9.0,7.0,8.0,19.0,7.0,2014
Forsa Archived 2021-01-18 at the Wayback Machine,15 Jan 2021,-254,35.0,15.0,9.0,6.0,8.0,20.0,7.0,2504
Forschungsgruppe Wahlen,14 Jan 2021,-255,37.0,15.0,10.0,5.0,8.0,20.0,5.0,1262
Kantar,13 Jan 2021,-256,36.0,15.0,10.0,7.0,8.0,18.0,6.0,2398
INSA,11 Jan 2021,-258,36.0,15.0,10.0,7.5,8.0,18.0,5.5,2042
Forsa,8 Jan 2021,-261,36.0,14.0,8.0,7.0,8.0,20.0,7.0,2503
Infratest dimap,6 Jan 2021,-263,35.0,14.0,10.0,7.0,7.0,21.0,6.0,1520
YouGov, 5 Jan 2021,-264,36.0,15.0,10.0,6.0,9.0,18.0,6.0,1588
INSA,4 Jan 2021,-265,36.0,15.0,11.0,7.5,7.5,18.0,5.0,2072
GMS, 4 Jan 2021,-265,37.0,16.0,9.0,6.0,8.0,18.0,6.0,1004
