Polling firm,"Last date of polling",Link,LPC,CPC,NDP,BQ,GPC,PPC,"Margin of error","Sample size",Polling method,Lead Polling firm,"Last date of polling",Link,,,,,,,"Margin of error","Sample size",Polling method,Lead
Ipsos,"June 7, 2019",,31,37,18,5,6,,±3.5 pp,"1,003",online,6
Nanos Research,"June 7, 2019",,30.9,34.2,16.9,4.0,11.3,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.3
Campaign Research,"June 6, 2019",,32,35,14,4,12,2,±1.9 pp,"2,735",online,3
Angus Reid,"June 4, 2019",,26,37,15,5,12,4,±2 pp,"4,698",online,11
Forum Research,"June 2, 2019",,30,34,13,6,13,4,±3 pp,"1,633",IVR,4
Nanos Research,"May 31, 2019",,29.5,34.3,16.4,4.4,11.5,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.8
Innovative Research,"May 30, 2019",,33,33,12,5,13,,N/A,"1,691",online,0
Abacus Data,"May 30, 2019",,33,32,16,3,12,3,±2.6 pp,"1,500",online,1
Nanos Research,"May 24, 2019",,29.2,34.8,15.6,4.7,11.5,1.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.6
Nanos Research,"May 17, 2019",,30.6,35.9,14.2,4.0,11.1,1.1,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.3
Nanos Research,"May 10, 2019",,29.7,35.4,15.0,4.4,11.3,0.9,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.7
Nanos Research,"May 3, 2019",,31.8,34.5,15.9,4.6,9.7,0.9,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.7
Campaign Research,"May 1, 2019",,31,35,17,3,10,2,±2.6 pp,"1,471",online,4
Angus Reid,"April 30, 2019",,25,38,18,5,11,3,±2.5 pp,"1,525",online,13
Abacus Data,"April 30, 2019",,31,34,17,4,9,3,±1.5 pp,"4,015",online,3
Nanos Research,"April 26, 2019",,32.0,34.9,16.5,4.1,9.0,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.9
Ipsos,"April 25, 2019",,32,36,19,5,,,±3.5 pp,"1,000",online,4
Forum Research,"April 24, 2019",,30,37,14,6,9,2,±3 pp,"1,595",IVR,7
Leger,"April 22, 2019",,27,40,12,5,11,3,±2.5 pp,"1,522",online,13
Nanos Research,"April 18, 2019",,33.0,35.5,15.2,4.7,8.4,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.5
Nanos Research,"April 12, 2019",,34.1,35.0,14.9,4.5,8.8,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.9
Innovative Research,"April 10, 2019",,36,32,13,4,10,,N/A,"2,527",online,4
Forum Research,"April 6, 2019",,29,42,12,6,9,2,±3 pp,"1,634",IVR,13
Campaign Research,"April 6, 2019",,32,34,15,5,10,3,±2.2 pp,"2,035",online,2
Nanos Research,"April 5, 2019",,32.8,34.9,16.6,4.0,9.5,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Nanos Research,"March 29, 2019",,34.6,35.1,16.6,4.4,8.1,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.5
Ipsos,"March 27, 2019",,30,40,21,5,,,±3.5 pp,"1,002",online,10
Mainstreet Research,"March 25, 2019",,35.0,37.4,11.6,3.1,7.9,3.8,±1.06 pp,"8,501",IVR,2.4
Angus Reid,"March 25, 2019",,28,37,17,5,8,4,±2 pp,"5,807",online,9
Nanos Research,"March 22, 2019",,32.5,34.6,19.4,3.9,8.3,0.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Forum Research,"March 20, 2019",,35,41,14,1,6,2,±3 pp,"1,490",IVR,6
Leger,"March 20, 2019",,31,37,14,4,10,3,±2.51 pp,"1,513",online,6
Nanos Research,"March 15, 2019",,32.6,35.5,19.9,3.2,7.7,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.9
Abacus Data,"March 10, 2019",,32,34,16,4,11,,±3.3 pp,900 (1/3),online (rolling),2
Campaign Research,"March 10, 2019",,30,36,16,4,10,2,±2.5 pp,"1,893",online,6
Abacus Data,"March 9, 2019",,31,35,16,4,11,,±3.3 pp,900 (1/3),online (rolling),4
Abacus Data,"March 8, 2019",,31,36,15,5,10,,±3.3 pp,900 (1/3),online (rolling),5
Nanos Research,"March 8, 2019",,32.9,36.1,17.9,3.6,8.3,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.2
Abacus Data,"March 7, 2019",,33,34,16,4,10,,±3.3 pp,900 (1/3),online (rolling),1
Abacus Data,"March 6, 2019",,32,34,18,4,9,,±3.3 pp,900 (1/3),online (rolling),2
Abacus Data,"March 5, 2019",,31,35,17,4,9,,±3.3 pp,900 (1/3),online (rolling),4
Innovative Research,"March 4, 2019",,36,32,13,5,9,5,N/A,"2,122",online,4
Ipsos,"March 4, 2019",,31,40,20,4,4,0,±3.5 pp,"1,000",online,9
Abacus Data,"March 4, 2019",,30,36,17,5,9,,±2.6 pp,"1,500",online,6
Nanos Research,"March 1, 2019",,34.2,34.7,15.5,3.6,9.1,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.5
Forum Research,"February 28, 2019",,33,42,12,3,5,4,±3 pp,"1,301",IVR,9
Abacus Data,"February 26, 2019",,32,33,17,4,9,,±2.1 pp,"2,374",online,1
Angus Reid,"February 24, 2019",,31,38,14,5,8,,±3.1 pp,"1,009",online,7
Nanos Research,"February 22, 2019",,35.7,33.6,15.0,3.7,8.4,1.2,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Leger,"February 19, 2019",,34,36,12,5,8,4,±2.51 pp,"1,529",online,2
Ipsos,"February 18, 2019",,34,36,17,6,,,±3.5 pp,"1,002",online,2
Nanos Research,"February 15, 2019",,37.9,31.8,13.7,4.1,7.8,1.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.1
Abacus Data,"February 11, 2019",,33,35,15,4,9,,±2.0 pp,"2,500",online,2
Campaign Research,"February 11, 2019",,32,37,14,5,7,3,±2.5 pp,"1,590",online,5
Nanos Research,"February 8, 2019",,37.5,34.4,13.0,3.8,7.4,1.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.1
Abacus Data,"February 5, 2019",,34,34,17,4,8,,±2.0 pp,"2,500",online,0
Nanos Research,"February 1, 2019",,37.6,35.9,13.2,3.1,7.9,1.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.7
Nanos Research,"January 25, 2019",,37.6,36.6,12.8,3.0,8.1,1.2,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.0
Innovative Research,"January 24, 2019",,38,32,12,5,8,4,N/A,"2,451",online,6
Mainstreet Research,"January 18, 2019",,37.2,35.1,11.5,3.2,7.2,4.2,±1.1 pp,"7,941",IVR,2.1
Nanos Research,"January 18, 2019",,37.2,36.1,14.2,3.2,7.4,1.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.1
"Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)"
Nanos Research,"January 11, 2019",,38.1,33.9,15.4,3.3,6.9,1.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.2
Innovative Research,"January 7, 2019",,36,33,15,5,8,4,N/A,"2,700",online,3
Nanos Research,"January 4, 2019",,38.7,33.3,16.7,3.0,6.0,1.4,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.4
Nanos Research,"December 28, 2018",,36.8,34.4,16.1,3.4,6.4,1.2,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.4
Nanos Research,"December 21, 2018",,35.2,34.1,16.0,3.8,7.0,1.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.1
Abacus Data,"December 18, 2018",,35,34,17,4,7,,±2.5 pp,"2,000",online,1
Nanos Research,"December 14, 2018",,36.0,33.9,16.6,3.4,6.6,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Campaign Research,"December 13, 2018",,33,35,16,4,8,2,±2.5 pp,"1,494",online,2
Ipsos,"December 12, 2018",,38,33,18,4,,,±2.5 pp,"2,001",online,5
Nanos Research,"December 7, 2018",,34.1,34.8,15.8,3.1,8.2,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.7
Nanos Research,"November 30, 2018",,37.9,32.2,14.3,3.0,7.6,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.7
Forum Research,"November 29, 2018",,34,43,11,4,6,,±3 pp,"1,541",IVR,9
Nanos Research,"November 23, 2018",,39.6,31.5,14.5,2.4,6.9,1.1,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.1
Leger,"November 20, 2018",,39,33,14,4,5,4,±2.51 pp,"1,521",online,6
Nanos Research,"November 16, 2018",,39.4,28.7,17.2,2.5,7.3,1.1,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.7
Innovative Research,"November 15, 2018",,38,32,14,4,8,3,N/A,"2,490",online,6
Abacus Data,"November 13, 2018",,38,31,16,4,9,,±2.6 pp,"1,500",online,7
Campaign Research,"November 9, 2018",,35,35,17,4,7,,±2.5 pp,"2,512",online,0
Nanos Research,"November 9, 2018",,39.4,27.5,19.8,2.0,6.1,1.4,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.9
Mainstreet Research,"November 7, 2018",,39.3,34.6,10.8,3.4,6.8,3.8,±1.09 pp,"7,961",IVR,4.7
Nanos Research,"November 2, 2018",,39.6,28.1,19.3,1.9,6.9,1.2,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.5
Nanos Research,"October 26, 2018",,39.4,28.2,19.3,2.8,6.5,1.0,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.2
Nanos Research,"October 19, 2018",,39.5,29.4,16.9,3.6,7.0,1.4,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.1
Nanos Research,"October 12, 2018",,37.1,31.4,16.1,3.7,7.2,1.3,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.7
Forum Research,"October 10, 2018",,32,41,15,4,7,,±3 pp,"1,226",IVR,9
Ipsos,"October 9, 2018",,36,35,20,4,,,±2.5 pp,"2,001",online,1
Nanos Research,"October 5, 2018",,37.3,31.1,16.2,3.8,6.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.2
Innovative Research,"October 1, 2018",,38,31,15,5,7,3,N/A,"2,410",online,7
Nanos Research,"September 28, 2018",,38.0,31.7,16.7,2.6,6.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.3
Nanos Research,"September 21, 2018",,39.0,31.2,17.0,2.4,5.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.8
Pollara,"September 20, 2018",,40,34,12,3,7,2,±3.1 pp,"1,002",online,6
Abacus Data,"September 19, 2018",,38,34,17,3,7,,±2.2 pp,"2,000",online,4
DART/Maru,"September 19, 2018",,30,38,17,5,8,,±2.1 pp,"5,769",online,8
"Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)"
Campaign Research,"September 14, 2018",,36,38,15,5,7,0,±2.5 pp,"1,486",online,2
Nanos Research,"September 14, 2018",,41.1,31.4,14.9,2.0,5.8,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.7
Nanos Research,"September 7, 2018",,39.9,32.8,14.9,2.5,6.5,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.1
Nanos Research,"August 31, 2018",,39.9,32.4,15.8,3.4,6.7,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.5
Abacus Data,"August 25, 2018",,37,34,18,3,6,0,±3.1 pp,"1,000",online,3
Nanos Research,"August 24, 2018",,38.8,34.4,16.5,2.9,6.3,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.4
Abacus Data,"August 20, 2018",,37,33,18,3,8,0,±2.5 pp,"1,500",online,4
Nanos Research,"August 17, 2018",,37.5,33.9,19.0,3.2,5.7,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.6
Forum Research,"August 12, 2018",,36,42,15,2,4,0,±3 pp,"1,777",IVR,6
Nanos Research,"August 10, 2018",,35.8,35.1,20.1,3.2,4.8,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.7
Nanos Research,"August 3, 2018",,36.9,36.6,17.8,2.3,5.2,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.3
Nanos Research,"July 27, 2018",,35.8,35.2,19.1,2.2,6.6,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.6
EKOS,"July 26, 2018",,34.9,32.1,17.3,4.0,9.3,0,±2.7 pp,"1,302",IVR,2.8
Abacus Data,"July 22, 2018",,36,34,19,3,7,0,±2.2 pp,"2,000",online,2
Nanos Research,"July 20, 2018",,35.8,35.9,19.0,2.0,6.1,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.1
Mainstreet Research,"July 17, 2018",,39.4,36.9,11.8,2.4,7.0,0,±1.01 pp,"9,384",IVR,2.5
Ipsos,"July 16, 2018",,39,32,21,2,,0,±3.5 pp,"1,000",online,7
Nanos Research,"July 13, 2018",,37.3,34.5,18.4,1.8,7.1,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.8
Nanos Research,"July 6, 2018",,35.7,33.4,20.3,2.4,6.8,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.3
Ipsos,"June 29, 2018",,33,37,21,3,,0,±3.5 pp,"1,002",online,4
Nanos Research,"June 29, 2018",,36.5,33.1,20.8,2.7,5.4,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.4
Nanos Research,"June 22, 2018",,36.7,32.0,20.6,3.6,5.7,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.7
Campaign Research,"June 18, 2018",,34,36,18,3,8,0,±2.5 pp,"1,579",online,2
Ipsos,"June 15, 2018",,32,36,20,5,,0,±3.5 pp,"1,001",online,4
Nanos Research,"June 15, 2018",,36.9,32.5,19.9,4.1,5.1,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.4
Angus Reid,"June 14, 2018",,36,32,16,4,9,0,±3.1 pp,"1,023",online,4
"Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)"
Nanos Research,"June 8, 2018",,35.3,33.0,22.0,4.1,4.8,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.3
Nanos Research,"June 1, 2018",,34.1,34.0,21.2,4.4,5.4,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.1
Forum Research,"May 31, 2018",,31,44,17,2,5,0,±3 pp,969,IVR,13
Nanos Research,"May 25, 2018",,33.0,36.0,19.8,4.0,6.4,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.0
Nanos Research,"May 18, 2018",,35.1,34.0,20.1,3.6,5.9,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.1
Forum Research,"May 16, 2018",,30,46,18,2,4,0,±3 pp,"1,484",IVR,16
Innovative Research,"May 14, 2018",,35,38,15,4,7,0,N/A,"2,327",online,3
Nanos Research,"May 11, 2018",,36.1,34.4,18.5,3.7,6.0,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.7
Leger,"May 10, 2018",,39,36,15,2,,0,±2.1 pp,"2,103",online,3
Nanos Research,"May 4, 2018",,38.0,33.2,17.6,4.2,5.4,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.8
Innovative Research,"May 2, 2018",,35,38,16,4,6,0,±3.1 pp,"1,000",telephone,3
Ipsos,"April 30, 2018",,36,35,20,3,,0,±2.6 pp,"1,907",online,1
Nanos Research,"April 27, 2018",,39.2,30.6,18.2,4.4,5.9,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.6
Forum Research,"April 20, 2018",,30,43,14,4,8,0,±2 pp,"1,585",IVR,13
Nanos Research,"April 20, 2018",,38.2,31.6,17.9,3.7,7.0,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.6
Mainstreet Research,"April 18, 2018",,40.4,37.1,11.9,2.6,5.9,0,±1.01 pp,"9,401",IVR,3.3
Nanos Research,"April 13, 2018",,41.1,29.2,15.8,3.8,8.2,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.9
Nanos Research,"April 6, 2018",,38.2,32.9,17.2,3.0,7.0,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.3
Nanos Research,"March 29, 2018",,39.1,33.7,16.4,2.4,6.5,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.4
Ipsos,"March 23, 2018",,31,38,23,3,,0,±3.5 pp,"1,003",online,7
Nanos Research,"March 23, 2018",,38.1,34.7,16.8,3.1,5.5,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.4
Nanos Research,"March 16, 2018",,35.9,34.8,18.5,3.5,6.2,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.1
Angus Reid,"March 15, 2018",,30,40,19,4,6,0,±2 pp,"5,423",online,10
Nanos Research,"March 9, 2018",,35.8,33.1,19.3,4.5,6.7,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.7
Leger,"March 8, 2018",,38,38,14,3,5,0,±2.5 pp,"1,536",online,0
Abacus Data,"March 4, 2018",,36,33,18,3,8,0,±2.2 pp,"4,023",online,3
Nanos Research,"March 2, 2018",,36.5,32.7,19.0,4.0,7.1,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.8
Ipsos,"March 1, 2018",,33,38,21,3,,0,±3.5 pp,"1,001",online,5
Forum Research,"March 1, 2018",,34,46,14,2,3,0,±3 pp,941,IVR,12
Nanos Research,"February 23, 2018",,37.7,31.5,19.2,3.8,6.9,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.2
Nanos Research,"February 16, 2018",,36.6,30.8,20.3,3.3,8.0,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.8
Campaign Research,"February 10, 2018",,39,32,16,4,7,0,±2.1 pp,"2,227",online,7
Nanos Research,"February 9, 2018",,38.1,30.4,18.5,3.1,8.8,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.7
Nanos Research,"February 2, 2018",,38.1,30.3,19.7,3.0,7.6,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.8
Abacus Data,"January 28, 2018",,39,32,18,4,6,0,±2.7 pp,"1,411",online,7
Nanos Research,"January 26, 2018",,37.8,30.6,19.9,3.5,7.5,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.2
Forum Research,"January 24, 2018",,38,43,12,3,3,0,±3 pp,"1,408",IVR,5
Nanos Research,"January 19, 2018",,37.9,34.4,17.3,3.7,6.0,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.5
Nanos Research,"January 12, 2018",,37.0,33.8,20.0,3.8,4.5,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.2
Campaign Research,"January 11, 2018",,42,29,16,4,7,0,±2.3 pp,"1,887",online,13
Mainstreet Research,"January 6, 2018",,40.3,34.5,13.1,4.4,7.7,0,±0.99 pp,"9,830",IVR,5.8
Nanos Research,"January 5, 2018",,40.9,30.7,19.5,3.7,4.8,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.2
Nanos Research,"December 29, 2017",,41.6,30.1,20.1,3.5,4.2,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.5
Nanos Research,"December 22, 2017",,42.8,29.1,20.0,3.3,4.2,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.7
Nanos Research,"December 15, 2017",,41.9,29.3,19.1,3.4,5.7,0,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.6
Forum Research,"December 14, 2017",,38,39,12,5,5,0,±3 pp,"1,284",IVR,1
