Polling firm,"Last date of polling",Link,CPC,LPC,NDP,BQ,GPC,PPC,Others,"Margin of error","Sample size",Polling method,Lead
Earnscliffe/Leger,"September 5, 2021",,33,33,21,6,3,4,1,—,"1,521",online,0
EKOS,"September 5, 2021",,34.1,27.9,20.3,5.6,3.6,7.9,0.7,±3.0 pp,"1,053 (1/3)",IVR (rolling),6.2
Nanos Research,"September 5, 2021",,32.0,34.1,20.9,4.0,4.5,3.8,0.6,±2.8 pp,"1,269 (1/3)",telephone (rolling),2.1
Mainstreet Research,"September 5, 2021",,34.0,31.1,18.4,6.2,2.6,6.7,0.9,±2.3 pp,"1,857 (1/3)",IVR (rolling),2.9
EKOS,"September 4, 2021",,34.5,28.1,20.5,4.8,4.4,6.9,0.8,±2.9 pp,"1,158 (1/3)",IVR (rolling),6.4
Nanos Research,"September 4, 2021",,34.9,33.4,18.9,4.8,4.2,3.5,0.4,±2.8 pp,"1,248 (1/3)",telephone (rolling),1.5
Mainstreet Research,"September 4, 2021",,34.6,31.8,17.5,6.3,2.3,6.3,1.3,±2.3 pp,"1,842 (1/3)",IVR (rolling),2.8
Abacus Data,"September 4, 2021",,33,32,21,7,3,3,1,±1.9 pp,"2,692",online,1
EKOS,"September 3, 2021",,35.0,28.8,19.6,4.9,4.6,6.3,0.8,±2.8 pp,"1,274 (1/3)",IVR (rolling),6.2
Nanos Research,"September 3, 2021",,35.5,33.0,18.7,4.1,4.4,3.9,0.4,±2.8 pp,"1,214 (1/3)",telephone (rolling),2.5
Mainstreet Research,"September 3, 2021",,34.3,32.1,18.2,5.6,2.2,6.5,1.2,±2.3 pp,"1,820 (1/3)",IVR (rolling),2.2
,"September 2, 2021",TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate
EKOS,"September 2, 2021",,35.8,29.5,19.4,3.9,4.5,5.8,0.9,±2.9 pp,"1,161 (1/3)",IVR (rolling),6.3
Nanos Research,"September 2, 2021",,35.7,30.7,18.3,5.5,4.5,4.8,0.5,±2.8 pp,"1,233 (1/3)",telephone (rolling),5.0
Mainstreet Research,"September 2, 2021",,35.9,30.7,18.8,5.1,2.4,5.9,1.3,±2.3 pp,"1,792 (1/3)",IVR (rolling),5.2
EKOS,"September 1, 2021",,35.5,30.7,18.8,4.7,3.7,5.8,0.8,±2.9 pp,"1,152 (1/3)",IVR (rolling),4.8
Nanos Research,"September 1, 2021",,34.2,30.5,20.1,6.0,4.0,4.8,0.3,±2.8 pp,"1,270 (1/3)",telephone (rolling),3.7
Mainstreet Research,"September 1, 2021",,36.0,30.9,18.7,4.8,2.6,5.8,1.3,±2.3 pp,"1,757 (1/3)",IVR (rolling),5.1
Campaign Research,"September 1, 2021",,33,30,22,6,4,4,1,±2 pp,"3,011",online,3
EKOS,"August 31, 2021",,36.0,30.7,18.9,5.3,3.2,5.2,0.7,±2.9 pp,"1,122 (1/3)",IVR (rolling),5.3
Nanos Research,"August 31, 2021",,33.7,31.0,20.3,6.8,3.5,4.1,0.6,±2.8 pp,"1,275 (1/3)",telephone (rolling),2.7
Mainstreet Research,"August 31, 2021",,37.1,29.2,19.1,4.7,2.8,5.7,1.3,±2.3 pp,"1,703 (1/3)",IVR (rolling),7.9
EKOS,"August 30, 2021",,35.9,31.3,18.0,5.8,3.2,5.0,0.7,±3.2 pp,942 (1/3),IVR (rolling),4.6
Research Co.,"August 30, 2021",,32,33,22,6,4,3,<1,±3.1 pp,"1,000",online,1
Nanos Research,"August 30, 2021",,32.5,33.2,19.2,6.4,4.6,3.3,0.7,±2.8 pp,"1,308 (1/3)",telephone (rolling),0.7
Mainstreet Research,"August 30, 2021",,36.9,29.2,18.8,5.7,2.7,5.7,1.0,±2.3 pp,"1,763 (1/3)",IVR (rolling),7.7
Ipsos,"August 30, 2021",,32,31,23,7,4,1,2,±2.9 pp,"1,501",online,1
Leger,"August 30, 2021",,34,30,24,7,2,3,1,±2.18 pp,"2,005",online,4
Innovative Research,"August 30, 2021",,29,32,23,8,4,4,1,—,"2,806",online,3
Earnscliffe/Leger,"August 29, 2021",,34,30,24,7,3,2,1,—,"1,544",online,4
Angus Reid,"August 29, 2021",,33,30,21,7,3,4,2,±2.5 pp,"1,639",online,3
Nanos Research,"August 29, 2021",,32.7,31.3,20.0,5.8,5.9,3.6,0.6,±2.8 pp,"1,267 (1/3)",telephone (rolling),1.4
Mainstreet Research,"August 29, 2021",,37.6,28.5,19.3,6.3,2.5,5.1,0.6,±2.3 pp,"1,767 (1/3)",IVR (rolling),9.1
EKOS,"August 29, 2021",,36.8,29.4,19.3,5.6,3.2,5.0,0.7,±2.8 pp,"1,232 (1/4)",IVR (rolling),7.4
Abacus Data,"August 29, 2021",,32,33,22,8,2,3,1,±2.2 pp,"2,000",online,1
Nanos Research,"August 28, 2021",,33.2,31.1,19.9,5.5,5.7,4.2,0.4,±2.8 pp,"1,248 (1/3)",telephone (rolling),2.1
Mainstreet Research,"August 28, 2021",,37.8,28.3,19.4,6.9,2.2,4.9,0.5,±2.3 pp,"1,759 (1/3)",IVR (rolling),9.5
EKOS,"August 28, 2021",,36.7,29.1,17.7,5.5,3.7,6.5,0.7,±2.9 pp,"1,166 (1/4)",IVR (rolling),7.6
Nanos Research,"August 27, 2021",,33.3,30.8,21.7,5.3,4.9,3.8,0.3,±2.8 pp,"1,243 (1/3)",telephone (rolling),2.5
Mainstreet Research,"August 27, 2021",,37.4,29.3,19.6,6.2,2.4,4.5,0.6,±2.38 pp,"1,684 (1/3)",IVR (rolling),8.1
EKOS,"August 27, 2021",,34.8,28.5,19.8,5.5,3.8,6.8,0.8,±2.6 pp,"1,426 (1/4)",IVR (rolling),6.3
Nanos Research,"August 26, 2021",,33.6,33.4,19.9,5.3,4.6,3.1,0.2,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.2
Mainstreet Research,"August 26, 2021",,36.8,31.4,18.5,5.4,2.6,4.3,1.0,±2.43 pp,"1,619 (1/3)",IVR (rolling),5.4
EKOS,"August 26, 2021",,34.5,29.0,20.3,5.1,4.2,6.3,0.6,±2.6 pp,"1,424 (1/4)",IVR (rolling),5.5
Nanos Research,"August 25, 2021",,34.4,33.6,18.9,5.3,4.3,3.1,0.3,±2.8 pp,"1,288 (1/3)",telephone (rolling),0.8
Mainstreet Research,"August 25, 2021",,34.7,31.8,19.1,5.4,3.1,4.6,1.3,±2.6 pp,"1,549 (1/3)",IVR (rolling),2.9
EKOS,"August 25, 2021",,32.8,29.4,20.7,6.0,3.8,6.7,0.7,±2.7 pp,"1,352 (1/4)",IVR (rolling),3.4
Nanos Research,"August 24, 2021",,32.7,35.9,16.8,5.6,4.8,3.7,0.5,±2.8 pp,"1,261 (1/3)",telephone (rolling),3.2
Mainstreet Research,"August 24, 2021",,33.7,31.2,19.0,6.0,3.1,5.8,1.2,±2.6 pp,"1,417 (1/3)",IVR (rolling),2.5
EKOS,"August 24, 2021",,32.2,31.4,20.5,5.7,3.5,5.7,0.9,±2.8 pp,"1,233 (1/4)",IVR (rolling),0.8
Nanos Research,"August 23, 2021",,33.2,33.5,18.9,5.4,4.7,3.6,0.7,±2.8 pp,"1,205 (1/3)",telephone (rolling),0.3
Mainstreet Research,"August 23, 2021",,32.3,30.0,19.0,7.0,3.3,7.4,0.9,±2.6 pp,"1,369 (1/3)",IVR (rolling),2.3
EKOS,"August 23, 2021",,32.8,32.0,19.6,6.2,3.5,5.0,0.8,±2.8 pp,"1,192 (1/4)",IVR (rolling),0.8
Ipsos,"August 23, 2021",,32,33,21,6,5,2,1,±3.5 pp,"1,500",online,1
Angus Reid,"August 23, 2021",,31,33,22,7,3,3,1,±2.5 pp,"1,692",online,2
Earnscliffe/Leger,"August 22, 2021",,30,33,21,7,4,3,1,—,"1,527",online,3
Leger,"August 22, 2021",,31,33,21,7,4,3,1,±2.2 pp,"2,002",online,2
Nanos Research,"August 22, 2021",,31.4,32.5,20.8,6.1,5.1,3.3,0.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.1
Mainstreet Research,"August 22, 2021",,31.7,32.4,18.2,5.9,3.3,6.6,1.0,±2.6 pp,"1,467 (1/3)",IVR (rolling),0.7
EKOS,"August 22, 2021",,31.7,32.9,17.0,6.9,4.3,6.3,0.9,±2.8 pp,"1,207 (1/4)",IVR (rolling),1.2
Abacus Data,"August 22, 2021",,29,33,23,6,3,4,2,±2.2 pp,"2,000",online,4
Nanos Research,"August 21, 2021",,32.4,34.3,19.3,6.3,4.5,2.4,0.8,±2.8 pp,"1,209 (1/3)",telephone (rolling),1.9
Mainstreet Research,"August 21, 2021",,30.9,34.0,19.7,5.9,3.4,5.1,1.0,±2.6 pp,"1,425 (1/3)",IVR (rolling),3.1
EKOS,"August 21, 2021",,32.8,32.4,16.6,6.1,5.2,6.1,0.8,±2.7 pp,"1,293 (1/4)",IVR (rolling),0.4
Nanos Research,"August 20, 2021",,32.3,34.2,20.2,6.1,4.3,2.1,0.9,±2.8 pp,"1,200",telephone (rolling),1.9
EKOS,"August 20, 2021",,32.9,31.4,18.3,6.2,4.9,5.7,0.6,±2.6 pp,"1,444 (1/4)",IVR (rolling),1.5
Mainstreet Research,"August 20, 2021",,32.6,33.9,19.3,4.9,3.7,4.4,1.3,±2.6 pp,"1,449 (1/4)",IVR (rolling),1.3
EKOS,"August 19, 2021",,31.9,32.5,19.2,5.7,4.9,5.2,0.7,±2.6 pp,"1,426 (1/4)",IVR (rolling),0.6
Mainstreet Research,"August 19, 2021",,33.1,33.4,19.8,5.0,3.6,4.0,1.1,±2.6 pp,"1,433 (1/4)",IVR (rolling),0.3
Counsel,"August 18, 2021",,28.5,30.3,21.7,7.8,4.8,4.3,2.6,±1.7 pp,"3,499",online,1.8
EKOS,"August 18, 2021",,32.0,33.3,20.1,5.5,4.5,3.9,0.7,±2.7 pp,"1,281 (1/4)",IVR (rolling),1.3
Mainstreet Research,"August 18, 2021",Twitter,33.0,33.6,18.4,5.5,4.0,4.5,1.1,±2.59 pp,"1,571 (1/4)",IVR (rolling),0.6
EKOS,"August 17, 2021",,30.6,34.3,21.0,5.4,4.2,3.7,0.8,±3.2 pp,913 (1/3),IVR (rolling),3.7
Mainstreet Research,"August 17, 2021",Twitter,31.7,33.8,18.9,6.1,3.9,4.5,1.1,±2.7 pp,"1,385 (1/3)",IVR (rolling),2.1
Angus Reid,"August 17, 2021",,30,36,20,6,4,4,1,±2.5 pp,"1,614",online,6
EKOS,"August 16, 2021",,29.4,33.7,20.5,5.4,5.7,4.2,1.1,±3.4 pp,840 (1/3),IVR (rolling),4.3
Mainstreet Research,"August 16, 2021",Twitter,30,33,20,6,4,5,—,±2.7 pp,"1,372 (1/3)",IVR (rolling),3
Ipsos,"August 16, 2021",,31,36,20,6,5,1,1,±2.5 pp,"2,001",online/telephone,5
Innovative Research,"August 16, 2021",,26,38,21,6,4,3,1,—,"1,412",online,12
Abacus Data,"August 16, 2021",,28,33,22,7,5,3,1,±2.6 pp,"1,500",online,5
Forum Research,"August 15, 2021",,31,28,19,7,8,5,3,±3 pp,"1,203",IVR,3
Earnscliffe/Leger,"August 15, 2021",,29,35,20,7,6,2,2,—,"1,515",online,6
EKOS,"August 15, 2021",,30.3,34.8,17.4,4.2,6.9,5.1,1.2,±3.4 pp,856,IVR (rolling),4.5
Leger,"August 15, 2021",,30,35,20,7,5,2,1,±2.18 pp,"2,007",online,5
Mainstreet Research,"August 15, 2021",,30.1,33.1,19.1,5.9,3.9,5.6,2.2,±2.7 pp,"1,331",IVR (rolling),3.0
