Polling firm,Date,T-Days,Con,Lab,Lib Dem,UKIP,Green,Sample size
Populus,23 Apr 2015,-14,32.0,35.0,8.0,14.0,5.0,2051
YouGov/The Sun,23 Apr 2015,-14,33.0,35.0,8.0,13.0,6.0,1834
Survation/Daily Mirror,23 Apr 2015,-14,33.0,29.0,10.0,18.0,4.0,1205
Panelbase,23 Apr 2015,-14,31.0,34.0,7.0,17.0,4.0,1012
"ComRes/ITV News, Daily Mail Archived 30 April 2015 at the Wayback Machine",22 Apr 2015,-15,36.0,32.0,8.0,10.0,5.0,1003
YouGov/The Sun,22 Apr 2015,-15,33.0,34.0,7.0,14.0,5.0,2060
YouGov/The Sun,21 Apr 2015,-16,35.0,34.0,7.0,13.0,5.0,1799
YouGov/The Sun,20 Apr 2015,-17,34.0,35.0,7.0,13.0,5.0,2078
TNS,20 Apr 2015,-17,32.0,34.0,8.0,15.0,5.0,1199
YouGov/The Sun,19 Apr 2015,-18,34.0,35.0,8.0,13.0,5.0,1675
Lord Ashcroft,19 Apr 2015,-18,34.0,30.0,10.0,13.0,4.0,1002
Populus[permanent dead link],19 Apr 2015,-18,32.0,34.0,9.0,15.0,4.0,2048
ICM/The Guardian,19 Apr 2015,-18,34.0,32.0,10.0,11.0,5.0,1003
YouGov/Sunday Times,18 Apr 2015,-19,33.0,36.0,8.0,13.0,5.0,1780
Opinium/The Observer,17 Apr 2015,-20,36.0,32.0,8.0,13.0,5.0,1955
YouGov/The Sun,17 Apr 2015,-20,34.0,34.0,9.0,14.0,5.0,1713
Survation/Daily Mirror,17 Apr 2015,-20,34.0,33.0,7.0,17.0,3.0,1314
Populus Archived 17 April 2015 at the Wayback Machine,16 Apr 2015,-21,33.0,34.0,9.0,14.0,4.0,2048
YouGov/The Sun,16 Apr 2015,-21,34.0,34.0,7.0,14.0,5.0,1939
Panelbase,16 Apr 2015,-21,33.0,34.0,8.0,16.0,4.0,1025
YouGov/The Sun,15 Apr 2015,-22,34.0,35.0,8.0,13.0,5.0,1894
Ipsos MORI/Evening Standard,15 Apr 2015,-22,33.0,35.0,7.0,10.0,8.0,1000
YouGov/The Sun,14 Apr 2015,-23,33.0,35.0,8.0,13.0,5.0,1842
YouGov/The Sun,13 Apr 2015,-24,33.0,34.0,8.0,13.0,6.0,2444
TNS,13 Apr 2015,-24,34.0,32.0,9.0,14.0,5.0,1192
YouGov/The Sun,12 Apr 2015,-25,33.0,36.0,7.0,13.0,5.0,1717
Lord Ashcroft,12 Apr 2015,-25,33.0,33.0,9.0,13.0,6.0,1003
ICM/The Guardian,12 Apr 2015,-25,39.0,33.0,8.0,7.0,7.0,1042
Populus[permanent dead link],12 Apr 2015,-25,33.0,33.0,8.0,15.0,5.0,2036
YouGov/Sunday Times,11 Apr 2015,-26,34.0,34.0,7.0,13.0,6.0,1887
YouGov/The Sun,10 Apr 2015,-27,33.0,35.0,8.0,13.0,5.0,1782
Opinium/The Observer,9 Apr 2015,-28,36.0,34.0,7.0,11.0,6.0,1916
Populus,9 Apr 2015,-28,31.0,33.0,8.0,16.0,6.0,2020
YouGov/The Sun,9 Apr 2015,-28,35.0,34.0,8.0,12.0,4.0,1938
Survation/Daily Mirror,9 Apr 2015,-28,31.0,35.0,9.0,15.0,4.0,1111
Panelbase,9 Apr 2015,-28,31.0,37.0,8.0,16.0,4.0,1013
"ComRes/ITV News, Daily Mail Archived 16 April 2015 at the Wayback Machine",8 Apr 2015,-29,34.0,33.0,12.0,12.0,4.0,1013
YouGov/The Sun,8 Apr 2015,-29,34.0,35.0,8.0,13.0,5.0,1871
YouGov/The Sun,7 Apr 2015,-30,33.0,35.0,8.0,14.0,5.0,1672
TNS,7 Apr 2015,-30,30.0,33.0,8.0,19.0,4.0,1207
Populus,6 Apr 2015,-31,31.0,33.0,10.0,15.0,4.0,2008
YouGov/Sunday Times,4 Apr 2015,-33,34.0,33.0,10.0,13.0,4.0,1906
Opinium/The Observer,3 Apr 2015,-34,33.0,33.0,7.0,14.0,7.0,1974
Survation/Daily Mirror,3 Apr 2015,-34,31.0,33.0,9.0,18.0,3.0,1207
YouGov/The Sun,2 Apr 2015,-35,37.0,35.0,7.0,12.0,5.0,1583
Panelbase,2 Apr 2015,-35,33.0,33.0,7.0,17.0,5.0,1006
Populus,1 Apr 2015,-36,32.0,34.0,9.0,15.0,5.0,2057
YouGov/The Sun,1 Apr 2015,-36,36.0,34.0,8.0,13.0,4.0,1678
YouGov/The Sun,31 Mar 2015,-37,35.0,36.0,7.0,12.0,5.0,1566
YouGov/The Sun,30 Mar 2015,-38,35.0,35.0,8.0,12.0,5.0,2001
TNS,30 Mar 2015,-38,33.0,32.0,8.0,16.0,5.0,1197
"ComRes/ITV News, Daily Mail Archived 19 September 2015 at the Wayback Machine",29 Mar 2015,-39,36.0,32.0,9.0,12.0,5.0,1005
Lord Ashcroft,29 Mar 2015,-39,36.0,34.0,6.0,10.0,7.0,1004
Populus,29 Mar 2015,-39,34.0,34.0,8.0,15.0,4.0,2004
YouGov/Sunday Times,28 Mar 2015,-40,32.0,36.0,8.0,13.0,6.0,1799
Populus,26 Mar 2015,-42,31.0,33.0,9.0,16.0,5.0,2049
YouGov/The Sun,26 Mar 2015,-42,36.0,34.0,7.0,13.0,5.0,1698
Panelbase,26 Mar 2015,-42,34.0,34.0,5.0,15.0,6.0,1007
Opinium/The Observer,25 Mar 2015,-43,34.0,33.0,8.0,13.0,7.0,1959
YouGov/The Sun,25 Mar 2015,-43,34.0,35.0,8.0,12.0,6.0,1610
Survation/Daily Mirror,25 Mar 2015,-43,32.0,33.0,8.0,18.0,4.0,1007
YouGov/The Sun,24 Mar 2015,-44,35.0,35.0,8.0,12.0,6.0,2006
YouGov/The Sun,23 Mar 2015,-45,34.0,34.0,8.0,12.0,6.0,1641
YouGov/The Times,23 Mar 2015,-45,34.0,33.0,8.0,14.0,5.0,8271
"ComRes/ITV News, Daily Mail Archived 2 April 2015 at the Wayback Machine",22 Mar 2015,-46,35.0,35.0,8.0,10.0,7.0,1001
Lord Ashcroft,22 Mar 2015,-46,33.0,33.0,8.0,12.0,5.0,1003
Populus,22 Mar 2015,-46,31.0,33.0,9.0,16.0,5.0,2035
Survation/Mail on Sunday,21 Mar 2015,-47,30.0,34.0,10.0,17.0,3.0,1008
YouGov/Sunday Times,20 Mar 2015,-48,33.0,35.0,8.0,14.0,5.0,1532
Opinium/The Observer,19 Mar 2015,-49,36.0,33.0,7.0,14.0,6.0,1979
Populus Archived 2 April 2015 at the Wayback Machine,19 Mar 2015,-49,31.0,34.0,9.0,17.0,5.0,2020
YouGov/The Sun,19 Mar 2015,-49,35.0,33.0,8.0,13.0,6.0,2293
YouGov/The Sun,18 Mar 2015,-50,33.0,34.0,8.0,14.0,6.0,1752
YouGov/The Sun,17 Mar 2015,-51,34.0,36.0,7.0,12.0,6.0,1830
YouGov/The Sun,16 Mar 2015,-52,33.0,35.0,7.0,13.0,7.0,1683
TNS,16 Mar 2015,-52,33.0,32.0,7.0,17.0,4.0,1188
Lord Ashcroft,15 Mar 2015,-53,31.0,29.0,8.0,15.0,8.0,1002
ICM/The Guardian,15 Mar 2015,-53,36.0,35.0,8.0,9.0,4.0,1001
Populus,15 Mar 2015,-53,34.0,34.0,8.0,15.0,5.0,2041
YouGov/Sunday Times,13 Mar 2015,-55,34.0,34.0,7.0,14.0,5.0,1669
"ComRes/Sunday Mirror, Independent on Sunday Archived 22 March 2015 at the Wayback Machine",13 Mar 2015,-55,33.0,35.0,7.0,16.0,4.0,2002
Populus,12 Mar 2015,-56,29.0,32.0,8.0,18.0,6.0,2041
YouGov/The Sun,12 Mar 2015,-56,33.0,32.0,7.0,16.0,6.0,1619
Opinium/The Observer,12 Mar 2015,-56,33.0,35.0,7.0,14.0,7.0,1947
YouGov/The Sun,11 Mar 2015,-57,34.0,35.0,7.0,14.0,5.0,1728
Ipsos MORI/Evening Standard,11 Mar 2015,-57,33.0,34.0,8.0,13.0,6.0,1025
YouGov/The Sun,10 Mar 2015,-58,33.0,31.0,8.0,15.0,6.0,1598
YouGov/The Sun,9 Mar 2015,-59,35.0,31.0,8.0,14.0,6.0,1745
Lord Ashcroft,8 Mar 2015,-60,34.0,30.0,5.0,15.0,8.0,1003
Populus,8 Mar 2015,-60,32.0,33.0,9.0,15.0,6.0,2026
YouGov/Sunday Times,6 Mar 2015,-62,34.0,33.0,8.0,15.0,5.0,1754
Opinium/The Observer,6 Mar 2015,-62,34.0,34.0,8.0,14.0,7.0,1961
Populus Archived 2 April 2015 at the Wayback Machine,5 Mar 2015,-63,31.0,33.0,8.0,16.0,5.0,2063
YouGov/The Sun,5 Mar 2015,-63,31.0,35.0,6.0,15.0,8.0,1748
YouGov/The Sun,4 Mar 2015,-64,34.0,34.0,8.0,14.0,6.0,1544
YouGov/The Sun,3 Mar 2015,-65,36.0,34.0,5.0,14.0,6.0,1701
YouGov/The Sun,2 Mar 2015,-66,35.0,32.0,7.0,15.0,6.0,1866
Lord Ashcroft,1 Mar 2015,-67,34.0,31.0,7.0,14.0,7.0,1003
Populus,1 Mar 2015,-67,32.0,34.0,8.0,14.0,5.0,2056
YouGov/Sunday Times,27 Feb 2015,-69,34.0,34.0,8.0,14.0,5.0,1959
Populus Archived 27 February 2015 at the Wayback Machine,27 Feb 2015,-69,31.0,33.0,9.0,16.0,6.0,2005
YouGov/The Sun,26 Feb 2015,-70,33.0,34.0,8.0,13.0,6.0,1638
Opinium/The Observer,26 Feb 2015,-70,34.0,35.0,6.0,14.0,6.0,1948
YouGov/The Sun,25 Feb 2015,-71,33.0,33.0,8.0,15.0,6.0,1581
YouGov/The Sun,24 Feb 2015,-72,35.0,33.0,6.0,14.0,7.0,1520
Survation/Daily Mirror,23 Feb 2015,-73,28.0,34.0,10.0,19.0,4.0,1046
YouGov/The Sun,23 Feb 2015,-73,33.0,33.0,8.0,13.0,7.0,1772
ComRes/Daily Mail Archived 24 February 2015 at the Wayback Machine,23 Feb 2015,-73,34.0,32.0,8.0,13.0,8.0,1004
Lord Ashcroft,22 Feb 2015,-74,32.0,36.0,7.0,11.0,8.0,1004
Populus,22 Feb 2015,-74,32.0,32.0,9.0,15.0,6.0,2059
YouGov/Sunday Times,20 Feb 2015,-76,33.0,34.0,8.0,13.0,6.0,1568
Opinium/The Observer,20 Feb 2015,-76,35.0,33.0,6.0,15.0,7.0,1975
Populus,19 Feb 2015,-77,31.0,32.0,9.0,17.0,6.0,2011
YouGov/The Sun,19 Feb 2015,-77,32.0,33.0,9.0,15.0,6.0,1564
YouGov/The Sun,18 Feb 2015,-78,32.0,34.0,8.0,14.0,6.0,1743
YouGov/The Sun,17 Feb 2015,-79,33.0,34.0,6.0,15.0,7.0,1548
YouGov/The Sun,16 Feb 2015,-80,32.0,32.0,6.0,16.0,8.0,1580
TNS,16 Feb 2015,-80,28.0,35.0,6.0,18.0,7.0,1193
Lord Ashcroft,15 Feb 2015,-81,30.0,31.0,9.0,16.0,8.0,1004
Populus,15 Feb 2015,-81,31.0,33.0,10.0,15.0,5.0,2012
ICM/The Guardian,15 Feb 2015,-81,36.0,32.0,10.0,9.0,7.0,1000
YouGov/Sunday Times,13 Feb 2015,-83,32.0,35.0,7.0,15.0,7.0,1620
"ComRes/Sunday Mirror, Independent on Sunday Archived 14 February 2015 at the Wayback Machine",12 Feb 2015,-84,32.0,34.0,7.0,16.0,4.0,2017
Populus,12 Feb 2015,-84,31.0,34.0,9.0,14.0,6.0,2055
YouGov/The Sun,12 Feb 2015,-84,31.0,34.0,7.0,15.0,7.0,1592
Opinium/The Observer,12 Feb 2015,-84,33.0,35.0,8.0,14.0,6.0,1969
YouGov/The Sun,11 Feb 2015,-85,32.0,33.0,7.0,15.0,7.0,1764
YouGov/The Sun,10 Feb 2015,-86,33.0,35.0,6.0,13.0,8.0,1677
Ipsos MORI/Evening Standard,10 Feb 2015,-86,34.0,36.0,6.0,9.0,7.0,1010
YouGov/The Sun,9 Feb 2015,-87,34.0,33.0,7.0,14.0,7.0,1552
Lord Ashcroft,8 Feb 2015,-88,34.0,31.0,9.0,14.0,6.0,1003
Populus,8 Feb 2015,-88,33.0,34.0,8.0,15.0,4.0,2003
YouGov/Sunday Times,6 Feb 2015,-90,32.0,33.0,7.0,15.0,8.0,1668
Opinium/The Observer,6 Feb 2015,-90,32.0,34.0,7.0,15.0,8.0,1947
Populus,5 Feb 2015,-91,31.0,34.0,8.0,16.0,5.0,2056
YouGov/The Sun,5 Feb 2015,-91,32.0,33.0,9.0,15.0,5.0,1719
YouGov/The Sun,4 Feb 2015,-92,34.0,33.0,6.0,13.0,7.0,1749
YouGov/The Sun,3 Feb 2015,-93,33.0,33.0,7.0,14.0,7.0,1705
YouGov/The Sun,2 Feb 2015,-94,33.0,35.0,7.0,14.0,6.0,1630
Populus,2 Feb 2015,-94,31.0,34.0,8.0,14.0,5.0,2040
TNS,2 Feb 2015,-94,27.0,33.0,6.0,18.0,8.0,1182
Lord Ashcroft,1 Feb 2015,-95,31.0,31.0,8.0,15.0,9.0,1002
YouGov/Sunday Times,30 Jan 2015,-97,32.0,35.0,7.0,15.0,6.0,1550
Opinium/The Observer,30 Jan 2015,-97,32.0,33.0,5.0,18.0,6.0,1975
Populus,29 Jan 2015,-98,34.0,35.0,10.0,14.0,4.0,2020
YouGov/The Sun,29 Jan 2015,-98,34.0,34.0,6.0,14.0,7.0,1593
YouGov/The Sun,28 Jan 2015,-99,33.0,33.0,6.0,16.0,7.0,1548
YouGov/The Sun,27 Jan 2015,-100,34.0,33.0,7.0,14.0,7.0,1655
YouGov/The Sun,26 Jan 2015,-101,34.0,33.0,6.0,15.0,7.0,1656
TNS-BMRB/BBC Radio 4 Woman's Hour Archived 3 February 2015 at the Wayback Machine,26 Jan 2015,-101,28.0,39.0,4.0,14.0,8.0,975
Survation/Daily Mirror,25 Jan 2015,-102,31.0,30.0,7.0,23.0,3.0,1014
ComRes/The Independent[permanent dead link],25 Jan 2015,-102,31.0,30.0,8.0,17.0,7.0,1001
Populus,25 Jan 2015,-102,34.0,35.0,9.0,13.0,6.0,2039
Lord Ashcroft,25 Jan 2015,-102,32.0,32.0,6.0,15.0,9.0,1001
YouGov/Sunday Times,23 Jan 2015,-104,32.0,32.0,7.0,15.0,7.0,1578
Populus,22 Jan 2015,-105,32.0,36.0,9.0,13.0,6.0,2049
YouGov/The Sun,22 Jan 2015,-105,31.0,33.0,7.0,17.0,8.0,1640
YouGov/The Sun,21 Jan 2015,-106,33.0,34.0,6.0,14.0,8.0,1645
YouGov/The Sun,20 Jan 2015,-107,32.0,30.0,8.0,15.0,10.0,1570
YouGov/The Sun,19 Jan 2015,-108,32.0,32.0,8.0,15.0,7.0,1747
ICM/The Guardian,19 Jan 2015,-108,30.0,33.0,11.0,11.0,9.0,1002
TNS,19 Jan 2015,-108,31.0,31.0,8.0,16.0,7.0,1188
Lord Ashcroft,18 Jan 2015,-109,29.0,28.0,9.0,15.0,11.0,1004
Populus,18 Jan 2015,-109,35.0,36.0,8.0,13.0,4.0,2036
YouGov/Sunday Times,16 Jan 2015,-111,31.0,32.0,7.0,18.0,7.0,1647
YouGov/Sun on Sunday,15 Jan 2015,-112,31.0,33.0,7.0,16.0,7.0,1763
"ComRes/Sunday Mirror, Independent on Sunday[permanent dead link]",15 Jan 2015,-112,33.0,34.0,7.0,18.0,3.0,2023
Populus,15 Jan 2015,-112,32.0,35.0,9.0,14.0,6.0,2070
YouGov/The Sun,15 Jan 2015,-112,32.0,32.0,6.0,16.0,8.0,1660
Opinium/The Observer,15 Jan 2015,-112,28.0,33.0,7.0,20.0,6.0,1966
YouGov/The Sun,14 Jan 2015,-113,32.0,34.0,6.0,15.0,7.0,1834
YouGov/The Sun,13 Jan 2015,-114,32.0,33.0,7.0,14.0,7.0,1782
Ipsos MORI/Evening Standard,13 Jan 2015,-114,33.0,34.0,8.0,11.0,8.0,1010
YouGov/The Sun,12 Jan 2015,-115,32.0,33.0,6.0,17.0,6.0,1649
Lord Ashcroft,11 Jan 2015,-116,34.0,28.0,8.0,16.0,8.0,1002
Populus,11 Jan 2015,-116,32.0,37.0,10.0,13.0,4.0,2056
YouGov/Sunday Times,9 Jan 2015,-118,32.0,32.0,7.0,18.0,6.0,1684
Populus,8 Jan 2015,-119,33.0,34.0,8.0,14.0,6.0,2046
YouGov/The Sun,8 Jan 2015,-119,33.0,33.0,8.0,13.0,7.0,1753
TNS,8 Jan 2015,-119,28.0,35.0,6.0,18.0,5.0,1201
YouGov/The Sun,7 Jan 2015,-120,32.0,33.0,7.0,15.0,7.0,1707
YouGov/The Sun,6 Jan 2015,-121,33.0,33.0,7.0,13.0,8.0,1769
YouGov/The Sun,5 Jan 2015,-122,31.0,34.0,7.0,14.0,8.0,1728
Populus,4 Jan 2015,-123,34.0,36.0,9.0,12.0,5.0,2046
Opinium/The Observer,2 Jan 2015,-125,32.0,33.0,8.0,17.0,4.0,1970
