Polling firm,"Last date of polling",Link,CPC,LPC,NDP,BQ,GPC,PPC,Others,"Margin of error","Sample size",Polling method,Lead Polling firm,"Last date of polling",Link,,,,,,,Others,"Margin of error","Sample size",Polling method,Lead
Abacus Data,"August 7, 2023",,37,28,19,8,3,4,1,±2.0 pp,"1,650",online,9
Nanos Research,"August 4, 2023",,37,27,20,7,3,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),10
Nanos Research,"July 28, 2023",,36,29,17,7,3,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7
Abacus Data,"July 25, 2023",,38,28,18,7,4,5,1,±2.0 pp,"2,486",online,10
,"July 24, 2023","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party.","A federal by-election was held in Calgary Heritage, with Shuvaloy Majumdar holding the seat for the Conservative Party."
Nanos Research,"July 21, 2023",,35.4,28.6,19.6,7.1,2.3,5.9,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.8
Nanos Research,"July 14, 2023",,35,29,19,7,2,7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6
Leger,"July 10, 2023",,37,28,17,7,3,5,2,±2.5 pp,"1,512",online,9
Mainstreet Research,"July 8, 2023",,37,30,17,6,3,5,2,±2.8 pp,"1,200",IVR,7
Nanos Research,"July 7, 2023",,37,30,19,7,2,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7
Nanos Research,"June 30, 2023",,35.8,29.6,18.9,6.4,2.4,6.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.2
Abacus Data,"June 27, 2023",,34,29,20,7,5,5,1,±2.0 pp,"1,500",online,5
Pollara,"June 23, 2023",,32,30,21,8,3,5,1,±1.2 pp,"7,001",online,2
Nanos Research,"June 23, 2023",,35,29,20,7,3,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6
Ipsos,"June 20, 2023",,37,32,16,8,2,3,1,±3.5 pp,"1,000",online,5
,"June 19, 2023","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party.","A federal by-election was held in Notre-Dame-de-Grâce—Westmount, with Anna Gainey holding the seat for the Liberal Party."
,"June 19, 2023","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party.","A federal by-election was held in Oxford, with Arpan Khanna holding the seat for the Conservative Party."
,"June 19, 2023","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party.","A federal by-election was held in Portage—Lisgar, with Branden Leslie holding the seat for the Conservative Party."
,"June 19, 2023","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party.","A federal by-election was held in Winnipeg South Centre, with Ben Carr holding the seat for the Liberal Party."
Nanos Research,"June 16, 2023",,35,30,21,7,3,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5
Abacus Data,"June 11, 2023",,35,28,21,7,4,4,1,±2.0 pp,"2,000",online,7
Nanos Research,"June 9, 2023",,32,30,23,6,3,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),2
Mainstreet Research,"June 8, 2023",,35,29,21,5,2,5,3,±3 pp,"1,045",IVR,6
Angus Reid,"June 3, 2023",,37,29,20,8,2,4,0,±1 pp,"3,885",online,8
Nanos Research,"June 2, 2023",,32.4,29.3,23.8,6.8,2.7,3.8,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.1
Leger,"May 29, 2023",,31,33,19,8,2,6,1,±2.51 pp,"1,531",online,2
Nanos Research,"May 26, 2023",,33,28,24,7,3,4,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5
Nanos Research,"May 19, 2023",,34,27,24,7,3,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7
Abacus Data,"May 12, 2023",,33,30,18,7,5,5,1,±2.0 pp,"2,500",online,3
Nanos Research,"May 12, 2023",,36,27,22,7,4,4,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),9
Leger,"May 8, 2023",,33,32,20,7,2,5,2,±2.51 pp,"1,523",online,1
Mainstreet Research,"May 6, 2023",,36,30,17,6,3,4,2,±2.7 pp,"1,272",IVR,6
Nanos Research,"May 5, 2023",,35.2,27.7,21.7,7.1,3.4,4.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.5
Abacus Data,"May 3, 2023",,33,31,19,7,5,4,1,±2.4 pp,"1,750",online,2
Nanos Research,"April 28, 2023",,35,30,20,6,3,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5
Leger,"April 23, 2023",,36,30,19,7,2,4,1,—,"1,515",online,6
Nanos Research,"April 21, 2023",,34,31,21,6,3,4,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),3
Nanos Research,"April 14, 2023",,34,31,21,6,3,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),3
Leger,"April 10, 2023",,34,30,21,8,3,3,1,±2.52 pp,"1,517",online,4
Nanos Research,"April 7, 2023",,35.8,30.6,18.1,5.5,3.4,5.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.2
Nanos Research,"March 31, 2023",,36,28,20,6,4,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),8
Mainstreet Research,"March 30, 2023",,35.9,28.9,18.1,6.5,1.8,6.8,2.1,±2.8 pp,"1,267",IVR,7.0
Nanos Research,"March 24, 2023",,34.8,28.9,19.0,6.3,4.4,5.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.9
Abacus Data,"March 21, 2023",,33,31,18,8,5,4,1,±2.3 pp,"1,963",online,2
Nanos Research,"March 17, 2023",,34,27,20,9,5,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7
Angus Reid,"March 13, 2023",,35,29,20,8,2,4,1,±1 pp,"4,899",online,6
EKOS,"March 13, 2023",,31.4,28.2,25.0,6.0,3.6,4.8,1.1,±1.6 pp,"3,115",telephone/online,3.2
Leger,"March 12, 2023",,32,33,19,9,2,4,1,±2.49 pp,"1,544",online,1
Mainstreet Research,"March 10, 2023",,36.9,30.8,15.2,6.2,3.3,4.8,2.7,±2.8 pp,"1,255",IVR,6.1
Abacus Data,"March 10, 2023",,34,29,19,7,6,3,1,±2.6 pp,"1,500",online,5
Nanos Research,"March 10, 2023",,32.8,28.4,20.6,8.9,3.5,5.0,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.4
Abacus Data,"March 4, 2023",,36,29,18,8,4,3,2,±2.0 pp,"2,600",online,7
Nanos Research,"March 3, 2023",,34,30,20,9,3,5,—,±3.1 pp,"1,000 (3/4)",telephone (rolling),4
Research Co.,"February 27, 2023",,33,34,18,8,1,3,1,±3.1 pp,"1,000",online,1
Abacus Data,"February 18, 2023",,37,29,18,7,4,4,1,±1.6 pp,"4,000",online,8
Ipsos,"February 17, 2023",,33,33,18,7,3,4,1,±3.1 pp,"1,350",online,0
Leger,"February 12, 2023",,35,32,18,7,2,4,1,±2.50 pp,"1,539",online,3
Nanos Research,"February 10, 2023",,32.9,33.1,20.5,6.4,2.8,4.1,—,±3.1 pp,"1,000 (1/2)",telephone (rolling),0.2
Pollara,"February 6, 2023",,32,32,20,8,3,4,1,±1.8 pp,"3,850",online,0
Abacus Data,"January 30, 2023",,37,29,18,7,4,4,1,±2.6 pp,"1,500",online,8
Mainstreet Research,"January 27, 2023",,36.9,33.1,13.6,6.4,2.4,4.8,2.8,±2.8 pp,"1,261",IVR,3.8
Nanos Research,"January 27, 2023",,34,31,19,8,2,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),3
Leger,"January 22, 2023",,34,34,19,7,1,3,1,±2.49 pp,"1,554",online,0
Nanos Research,"January 20, 2023",,35,30,18,9,2,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5
Abacus Data,"January 16, 2023",,35,31,18,7,5,4,1,±2.2 pp,"2,099",online,4
Nanos Research,"January 13, 2023",,35.6,28.3,20.7,7.4,2.1,5.8,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.3
Pollara,"January 12, 2023",,32,33,21,8,2,4,—,—,"3,020",online,1
Nanos Research,"January 6, 2023",,34,29,22,6,3,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5
Nanos Research,"December 30, 2022",,34,29,22,6,3,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5
Nanos Research,"December 23, 2022",,35,29,23,6,2,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6
Pollara,"December 20, 2022",,33,30,21,8,3,5,—,—,"4,020",online,3
Nanos Research,"December 16, 2022",,35,29,21,6,3,5,—,±3.0 pp,"1,000 (1/4)",telephone (rolling),6
Mainstreet Research,"December 15, 2022",,36.0,31.3,18.6,5.8,2.9,3.9,1.5,±2.6 pp,"1,416",IVR,4.7
,"December 12, 2022","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party.","A federal by-election was held in Mississauga—Lakeshore, with Charles Sousa holding the seat for the Liberal Party."
Leger,"December 11, 2022",,33,30,21,7,4,4,2,±2.50 pp,"1,526",online,3
Abacus Data,"December 10, 2022",,36,30,19,6,4,4,1,—,"2,500",online,6
Nanos Research,"December 9, 2022",,33.6,30.3,20.9,5.5,2.6,5.0,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.3
Mainstreet Research,"December 8, 2022",,37.9,33.6,16.4,5.1,2.4,3.6,1.0,±2.8 pp,"1,267",IVR,4.3
Nanos Research,"December 2, 2022",,33,31,22,6,3,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),2
Nanos Research,"November 25, 2022",,30.3,31.0,22.5,7.1,3.4,4.8,—,±3.1 pp,"1,000 (1/2)",telephone (rolling),0.7
EKOS,"November 23, 2022",,33.6,31.3,18.1,5.1,3.4,6.6,1.9,±3.1 pp,"1,034",IVR,2.3
,"November 19, 2022",Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party,Elizabeth May returns as leader of the Green Party
Innovative Research,"November 14, 2022",,33,32,18,7,2,6,1,—,"2,236",online,1
Leger,"November 13, 2022",,34,32,19,7,2,4,2,±2.50 pp,"1,537",online,2
Nanos Research,"November 11, 2022",,31.3,32.9,20.0,8.1,1.7,5.1,—,±3.1 pp,"1,000 (1/2)",telephone (rolling),1.6
Mainstreet Research,"November 7, 2022",,37.6,30.3,19.3,3.8,4.1,3.5,1.4,±2.7 pp,"1,276",IVR,7.3
Pollara,"November 3, 2022",,33,31,20,9,3,3,—,—,"3,418",online,2
Nanos Research,"October 28, 2022",,34.4,32.1,16.9,7.9,3.2,4.3,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.3
Research Co.,"October 26, 2022",,35,31,19,8,2,4,1,±3.1 pp,"1,000",online,4
Abacus Data,"October 26, 2022",,34,31,18,6,4,5,1,±2.1 pp,"1,500",online,3
Nanos Research,"October 21, 2022",,36,30,17,8,4,4,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6
Nanos Research,"October 14, 2022",,35,34,18,6,3,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),1
Leger,"October 10, 2022",,33,31,21,8,2,3,1,±2.50 pp,"1,534",online,2
Nanos Research,"October 7, 2022",,33,32,21,6,2,5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),1
Nanos Research,"September 30, 2022",,33,29,23,6,2,5,—,±3.1 pp,"1,000 (1/2)",telephone (rolling),4
Mainstreet Research,"September 22, 2022",,40.8,32.7,12.4,5.2,3.4,2.6,2.7,±3.0 pp,"1,088",IVR,8.1
Angus Reid,"September 22, 2022",,37,30,20,7,1,3,1,±2 pp,"5,014",online,7
Ipsos,"September 21, 2022",,35,30,20,7,3,3,2,±3.5 pp,"1,000",online,5
Leger,"September 18, 2022",,34,28,23,8,3,3,1,±2.51 pp,"1,522",online,6
EKOS,"September 16, 2022",,33.7,31.7,20.1,5.9,3.1,5.0,0.5,±3.1 pp,"1,005",IVR,2.0
Nanos Research,"September 16, 2022",,30.7,28.4,26.0,6.0,3.4,4.8,—,±3.00 pp,"1,000",telephone (rolling),2.3
Abacus Data,"September 14, 2022",,35,30,17,9,4,4,1,±2.2 pp,"1,990",online,5
,"September 10, 2022",Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party,Pierre Poilievre is elected leader of the Conservative Party
Abacus Data,"August 30, 2022",,33,32,19,7,5,3,1,±2.6 pp,"1,500",online,1
Nanos Research,"August 19, 2022",,32.5,33.3,20.1,5.5,2.1,5.6,—,±3.00 pp,"1,000 (1/2)",telephone (rolling),0.8
Leger,"August 7, 2022",,28,33,21,8,5,4,2,±2.52 pp,"1,509",online,5
Nanos Research,"August 5, 2022",,32.6,29.0,22.7,6.3,1.7,6.8,—,±3.0 pp,"1,000",telephone (rolling),3.6
Abacus Data,"July 27, 2022",,35,30,19,7,4,4,1,±2.0 pp,"2,400",online,5
Mainstreet Research,"July 18, 2022",,38.3,27.6,18.1,5.9,5.2,2.6,2.3,±2.3 pp,"1,749",IVR,10.7
Abacus Data,"July 17, 2022",,33,31,19,8,4,4,1,±2.6 pp,"1,500",online,2
Leger,"July 10, 2022",,28,32,21,7,5,4,3,±2.49 pp,"1,538",online,4
Nanos Research,"July 8, 2022",,34.1,30.6,20.8,5.6,2.8,5.4,—,±3.0 pp,"1,000 (3/4)",telephone (rolling),3.5
Abacus Data,"June 23, 2022",,34,30,18,8,5,4,1,±1.8 pp,"3,026",online,4
Ipsos,"June 20, 2022",,33,32,21,8,2,2,1,±2.5 pp,"2,002",online,1
Nanos Research,"June 17, 2022",,35.5,30.5,19.2,6.1,2.9,5.1,—,±2.9 pp,"1,000",telephone (rolling),5.0
Mainstreet Research,"June 16, 2022",,25.8,34.0,22.8,7.8,3.1,4.5,2.0,±2.8 pp,"1,200",online,8.2
Leger,"June 12, 2022",,32,30,21,6,4,4,2,±2.5 pp,"1,528",online,2
Abacus Data,"May 24, 2022",,31,31,19,8,5,5,1,±2.6 pp,"1,500",online,0
Nanos Research,"May 20, 2022",,32.5,34.4,19.6,6.1,3.3,4.1,—,±2.9 pp,"1,000",telephone (rolling),1.9
EKOS,"May 17, 2022",,35.4,29.2,19.9,4.3,4.2,4.5,3,±2.8 pp,"1,244",IVR,6.2
EKOS,"May 9, 2022",,31.4,31.8,20.3,4.8,4.8,5.2,2,±2.1 pp,"2,140",IVR,0.4
Abacus Data,"May 6, 2022",,33,31,19,8,5,3,1,±2.6 pp,"1,500",online,2
Mainstreet Research,"April 29, 2022",,38.4,32.2,16.9,6.7,—,2.8,3.1,±2.7 pp,"1,327",IVR,6.2
Nanos Research,"April 22, 2022",,35.6,30.0,19.6,5.4,3.4,5.5,—,±2.9 pp,"1,000 (1/2)",telephone (rolling),5.6
Leger,"April 10, 2022",,29,31,21,7,6,4,2,±2.5 pp,"1,538",online,2
Abacus Data,"April 9, 2022",,31,33,18,8,5,4,1,±2.1 pp,"2,000",online,2
Nanos Research,"April 8, 2022",,33,33,18,—,—,—,—,±3.0 pp,"1,000 (1/4)",telephone (rolling),0
Nanos Research,"April 1, 2022",,31,33,21,—,—,—,—,±3.0 pp,"1,000 (1/4)",telephone (rolling),2
Abacus Data,"March 25, 2022",,33,31,17,7,6,4,1,±2.6 pp,"1,500",online,2
Nanos Research,"March 25, 2022",,31.3,32.2,21.6,5.9,3.6,4.8,—,±2.9 pp,"1,000 (1/2)",telephone (rolling),0.9
,"March 22, 2022",The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.,The Liberals and NDP enter into a confidence-and-supply agreement.
Nanos Research,"March 11, 2022",,29.3,32.1,22.2,6.4,5.0,4.9,—,±3.0 pp,"1,000 (1/2)",telephone (rolling),2.8
Leger,"March 6, 2022",,28,33,22,8,5,3,1,±2.5 pp,"1,591",online,5
