Polling firm,Date,T-Days,Con,Lab,Lib Dem,SNP,Green,Brexit,UKIP,Sample size
ComRes/Daily Express,10 Oct 2019,-63,33.0,27.0,18.0,4.0,4.0,12.0,0.0,2018
YouGov/The Times,9 Oct 2019,-64,35.0,22.0,20.0,4.0,6.0,12.0,0.0,1616
ICM Research/Represent Us,7 Oct 2019,-66,35.0,29.0,16.0,3.0,4.0,11.0,1.0,2013
ComRes/The Daily Telegraph,6 Oct 2019,-67,33.0,27.0,19.0,4.0,3.0,13.0,1.0,2006
Opinium/The Observer Archived 17 December 2019 at the Wayback Machine,4 Oct 2019,-69,38.0,23.0,15.0,5.0,4.0,12.0,1.0,2006
BMG/The Independent,4 Oct 2019,-69,31.0,26.0,20.0,3.0,7.0,11.0,0.0,1514
YouGov/The Times,1 Oct 2019,-72,34.0,21.0,23.0,3.0,5.0,12.0,0.0,1623
YouGov/The Sunday Times,27 Sep 2019,-76,33.0,22.0,21.0,4.0,5.0,13.0,0.0,1623
Opinium/The Observer Archived 29 September 2019 at the Wayback Machine,27 Sep 2019,-76,36.0,24.0,20.0,5.0,2.0,11.0,0.0,2007
Survation/Daily Mail,25 Sep 2019,-78,27.0,24.0,22.0,4.0,3.0,16.0,0.0,1011
YouGov/The Times,25 Sep 2019,-78,33.0,22.0,22.0,3.0,6.0,14.0,0.0,1635
YouGov/People's Vote,20 Sep 2019,-83,30.0,23.0,22.0,4.0,5.0,14.0,0.0,2006
Opinium/The Observer Archived 22 September 2019 at the Wayback Machine,20 Sep 2019,-83,37.0,22.0,17.0,4.0,4.0,12.0,2.0,2004
ComRes/Britain Elects,19 Sep 2019,-84,29.0,27.0,20.0,4.0,4.0,13.0,0.0,2050
YouGov/The Times,18 Sep 2019,-85,32.0,21.0,23.0,4.0,4.0,14.0,1.0,1608
Ipsos MORI/Evening Standard,16 Sep 2019,-87,33.0,24.0,23.0,4.0,4.0,10.0,0.0,1006
Opinium/The Observer Archived 7 December 2019 at the Wayback Machine,13 Sep 2019,-90,37.0,25.0,16.0,4.0,2.0,13.0,1.0,2002
ComRes/Sunday Express,12 Sep 2019,-91,28.0,27.0,20.0,4.0,5.0,13.0,1.0,2057
YouGov/The Times,10 Sep 2019,-93,32.0,23.0,19.0,4.0,7.0,14.0,0.0,1676
Kantar Archived 7 November 2019 at the Wayback Machine,9 Sep 2019,-94,38.0,24.0,20.0,4.0,3.0,7.0,1.0,1144
ComRes/The Daily Telegraph,8 Sep 2019,-95,30.0,29.0,17.0,3.0,4.0,13.0,1.0,2016
Deltapoll/The Sun on Sunday,7 Sep 2019,-96,31.0,28.0,17.0,5.0,4.0,13.0,1.0,2049
YouGov/The Sunday Times,6 Sep 2019,-97,35.0,21.0,19.0,4.0,7.0,12.0,1.0,1676
Panelbase,6 Sep 2019,-97,31.0,28.0,19.0,3.0,2.0,15.0,0.0,1013
Survation/Daily Mail,6 Sep 2019,-97,29.0,24.0,18.0,4.0,3.0,17.0,0.0,1006
ComRes/Britain Elects,6 Sep 2019,-97,31.0,27.0,20.0,3.0,3.0,13.0,1.0,2009
Opinium/The Observer Archived 27 December 2019 at the Wayback Machine,6 Sep 2019,-97,35.0,25.0,17.0,5.0,3.0,13.0,1.0,2009
BMG/The Independent,6 Sep 2019,-97,31.0,27.0,19.0,3.0,6.0,13.0,1.0,1504
Hanbury Strategy Archived 9 March 2021 at the Wayback Machine,4 Sep 2019,-99,33.0,26.0,17.0,4.0,3.0,14.0,0.0,995
YouGov/The Times,3 Sep 2019,-100,35.0,25.0,16.0,4.0,7.0,11.0,1.0,1639
ICM Research/Represent Us,3 Sep 2019,-100,37.0,30.0,16.0,3.0,4.0,9.0,1.0,2041
Deltapoll/The Mail on Sunday,31 Aug 2019,-103,35.0,24.0,18.0,4.0,4.0,14.0,0.0,2028
Survation/Daily Mail,30 Aug 2019,-104,31.0,24.0,21.0,4.0,3.0,14.0,0.0,1020
YouGov,29 Aug 2019,-105,33.0,22.0,21.0,4.0,7.0,12.0,0.0,1867
YouGov/The Times,28 Aug 2019,-106,34.0,22.0,17.0,4.0,8.0,13.0,1.0,2006
YouGov/The Sunday Times,23 Aug 2019,-111,33.0,21.0,19.0,4.0,7.0,14.0,0.0,2019
Opinium/The Observer,23 Aug 2019,-111,32.0,26.0,15.0,5.0,4.0,16.0,1.0,2005
YouGov/The Times,21 Aug 2019,-113,32.0,22.0,20.0,4.0,7.0,12.0,0.0,1687
Kantar Archived 21 August 2019 at the Wayback Machine,19 Aug 2019,-115,42.0,28.0,15.0,5.0,3.0,5.0,0.0,1133
YouGov/The Times,14 Aug 2019,-120,30.0,21.0,20.0,4.0,8.0,14.0,1.0,1625
BMG/The Independent,12 Aug 2019,-122,31.0,25.0,19.0,3.0,6.0,12.0,1.0,1515
ComRes/The Daily Telegraph,11 Aug 2019,-123,31.0,27.0,16.0,3.0,4.0,16.0,1.0,2011
Survation,11 Aug 2019,-123,28.0,24.0,21.0,4.0,3.0,15.0,0.0,2040
Opinium/The Observer Archived 7 December 2019 at the Wayback Machine,9 Aug 2019,-125,31.0,28.0,13.0,4.0,5.0,16.0,1.0,2003
YouGov/The Times,6 Aug 2019,-128,31.0,22.0,21.0,4.0,7.0,14.0,0.0,1628
YouGov/The Times,30 Jul 2019,-135,32.0,22.0,19.0,4.0,8.0,13.0,0.0,2066
Ipsos MORI,30 Jul 2019,-135,34.0,24.0,20.0,4.0,6.0,9.0,1.0,1007
ComRes/Britain Elects,28 Jul 2019,-137,29.0,30.0,16.0,3.0,5.0,15.0,1.0,2004
Deltapoll/The Mail on Sunday,27 Jul 2019,-138,30.0,25.0,18.0,4.0,4.0,14.0,1.0,2001
YouGov/The Sunday Times,26 Jul 2019,-139,31.0,21.0,20.0,5.0,8.0,13.0,0.0,1697
Opinium/The Observer,26 Jul 2019,-139,30.0,28.0,16.0,5.0,5.0,15.0,1.0,2006
ComRes/Sunday Express,25 Jul 2019,-140,28.0,27.0,19.0,3.0,4.0,16.0,1.0,2029
YouGov/The Times,24 Jul 2019,-141,25.0,19.0,23.0,4.0,9.0,17.0,1.0,1715
YouGov/The Times,17 Jul 2019,-148,25.0,21.0,20.0,4.0,8.0,19.0,0.0,1749
ComRes/Britain Elects,16 Jul 2019,-149,25.0,28.0,17.0,4.0,5.0,19.0,1.0,2038
ComRes/Sunday Express,11 Jul 2019,-154,24.0,28.0,15.0,3.0,5.0,20.0,1.0,1791
YouGov/The Times,10 Jul 2019,-155,24.0,20.0,19.0,5.0,9.0,21.0,0.0,1671
ComRes/The Daily Telegraph,7 Jul 2019,-158,25.0,28.0,16.0,3.0,5.0,19.0,1.0,2010
Opinium/The Observer,5 Jul 2019,-160,23.0,25.0,15.0,5.0,8.0,22.0,1.0,2002
BMG/The Independent,5 Jul 2019,-160,28.0,27.0,18.0,2.0,6.0,14.0,2.0,1532
YouGov/The Times,3 Jul 2019,-162,24.0,18.0,20.0,4.0,9.0,23.0,0.0,1605
YouGov/The Times,25 Jun 2019,-170,22.0,20.0,19.0,4.0,10.0,22.0,1.0,2059
Ipsos MORI,25 Jun 2019,-170,26.0,24.0,22.0,4.0,8.0,12.0,1.0,1043
Opinium/The Observer Archived 19 July 2019 at the Wayback Machine,20 Jun 2019,-175,20.0,26.0,16.0,4.0,6.0,23.0,2.0,2009
Survation/The Mail on Sunday,20 Jun 2019,-175,24.0,26.0,18.0,3.0,6.0,20.0,1.0,2016
YouGov/The Times,19 Jun 2019,-176,20.0,20.0,21.0,4.0,9.0,23.0,1.0,1641
YouGov/The Sunday Times,14 Jun 2019,-181,21.0,21.0,19.0,3.0,9.0,24.0,0.0,1672
YouGov/The Times,10 Jun 2019,-185,17.0,19.0,22.0,4.0,8.0,26.0,0.0,1702
ComRes/The Daily Telegraph,9 Jun 2019,-186,23.0,27.0,17.0,3.0,5.0,22.0,1.0,2017
BMG/The Independent,7 Jun 2019,-188,26.0,27.0,17.0,3.0,6.0,18.0,1.0,1520
YouGov/The Times,6 Jun 2019,-189,18.0,20.0,20.0,5.0,9.0,26.0,1.0,1670
YouGov,5 Jun 2019,-190,18.0,19.0,22.0,4.0,9.0,25.0,0.0,1663
Deltapoll/The Mail on Sunday,30 May 2019,-196,20.0,26.0,16.0,4.0,5.0,24.0,1.0,2449
Opinium/The Observer Archived 18 July 2019 at the Wayback Machine,30 May 2019,-196,17.0,22.0,16.0,4.0,11.0,26.0,1.0,2005
YouGov/The Times,29 May 2019,-197,19.0,19.0,24.0,6.0,8.0,22.0,1.0,1763
Survation/Daily Mail,22 May 2019,-204,28.0,33.0,13.0,3.0,3.0,12.0,3.0,2029
Number Cruncher Politics,21 May 2019,-205,27.0,31.0,15.0,5.0,4.0,14.0,1.0,1005
Panelbase/The Sunday Times,21 May 2019,-205,21.0,31.0,13.0,4.0,5.0,19.0,3.0,2033
Opinium Archived 16 September 2019 at the Wayback Machine,20 May 2019,-206,22.0,26.0,12.0,4.0,4.0,25.0,2.0,2005
Survation/Daily Mail,17 May 2019,-209,27.0,32.0,13.0,5.0,3.0,13.0,2.0,1000
YouGov/Best for Britain/Hope Not Hate,17 May 2019,-209,24.0,24.0,18.0,4.0,6.0,18.0,2.0,9260
Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,16 May 2019,-210,22.0,29.0,11.0,4.0,3.0,24.0,2.0,2009
YouGov/The Times,14 May 2019,-212,25.0,25.0,16.0,5.0,7.0,18.0,2.0,1655
Ipsos MORI,14 May 2019,-212,25.0,27.0,15.0,4.0,7.0,16.0,3.0,1072
Hanbury Strategy/Politico Archived 26 June 2019 at the Wayback Machine,13 May 2019,-213,21.0,30.0,13.0,4.0,5.0,19.0,2.0,2000
Kantar Archived 25 May 2019 at the Wayback Machine,13 May 2019,-213,25.0,34.0,15.0,5.0,3.0,10.0,4.0,1152
ComRes/The Daily Telegraph,12 May 2019,-214,20.0,27.0,13.0,3.0,4.0,20.0,4.0,2028
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,10 May 2019,-216,22.0,28.0,11.0,4.0,6.0,21.0,4.0,2004
BMG/The Independent,10 May 2019,-216,27.0,30.0,18.0,2.0,6.0,10.0,3.0,1541
ComRes/Brexit Express,9 May 2019,-217,19.0,27.0,14.0,3.0,5.0,20.0,3.0,2034
YouGov/The Times,9 May 2019,-217,24.0,24.0,16.0,5.0,7.0,18.0,2.0,2212
Opinium/People's Vote,7 May 2019,-219,25.0,30.0,11.0,3.0,5.0,17.0,4.0,2000
YouGov,30 Apr 2019,-226,29.0,29.0,13.0,4.0,5.0,15.0,2.0,1630
YouGov/The Times,24 Apr 2019,-232,27.0,30.0,11.0,5.0,5.0,14.0,4.0,1787
Panelbase/The Sunday Times,24 Apr 2019,-232,27.0,36.0,8.0,4.0,3.0,13.0,5.0,2030
Opinium/The Observer Archived 17 May 2019 at the Wayback Machine,23 Apr 2019,-233,26.0,33.0,6.0,5.0,4.0,17.0,4.0,2004
ORB/The Daily Telegraph,17 Apr 2019,-239,26.0,29.0,8.0,4.0,4.0,14.0,5.0,1546
YouGov/The Times,17 Apr 2019,-239,29.0,30.0,10.0,5.0,5.0,12.0,4.0,1755
ComRes/Brexit Express Archived 15 December 2019 at the Wayback Machine,16 Apr 2019,-240,23.0,33.0,7.0,3.0,3.0,14.0,5.0,1061
YouGov/The Times,11 Apr 2019,-245,28.0,32.0,11.0,5.0,5.0,8.0,6.0,1843
BMG/The Independent,5 Apr 2019,-251,29.0,31.0,8.0,3.0,4.0,6.0,7.0,1500
YouGov/The Times,3 Apr 2019,-253,32.0,31.0,12.0,6.0,4.0,5.0,7.0,1771
Deltapoll/The Mail on Sunday,30 Mar 2019,-257,32.0,35.0,7.0,2.0,2.0,6.0,6.0,1010
YouGov/The Times,25 Mar 2019,-262,36.0,33.0,11.0,5.0,4.0,5.0,4.0,2110
Ipsos MORI,19 Mar 2019,-268,38.0,34.0,8.0,5.0,4.0,1.0,7.0,1050
YouGov/The Times,15 Mar 2019,-272,35.0,31.0,12.0,4.0,4.0,4.0,6.0,1756
YouGov/The Times,4 Mar 2019,-283,40.0,31.0,11.0,5.0,4.0,3.0,3.0,2172
YouGov/The Times,23 Feb 2019,-292,41.0,30.0,10.0,5.0,4.0,2.0,5.0,1672
