Polling firm,"Last date of polling",Link,CPC,NDP,LPC,BQ,GPC,"Margin of error","Sample size",Polling method,Lead
EKOS,"October 12, 2015",,31.1,20.6,35.6,3.2,7.5,±2.9 pp,"1,115",IVR/telephone – rolling (2/3),4.5
Nanos Research,"October 11, 2015",,28.9,24.3,35.7,5.7,4.8,±2.8 pp,"1,200",telephone – rolling (1/3),6.8
Innovative Research,"October 11, 2015",,30,22,38,3,6,±3.1 pp,"1,143",telephone,8
EKOS,"October 10, 2015",,35.5,19.0,33.1,3.3,7.4,±2.6 pp,"1,428",IVR/telephone – rolling (2/3),2.4
Nanos Research,"October 10, 2015",,29.0,25.0,35.1,5.2,5.1,±2.8 pp,"1,200",telephone – rolling (1/3),6.1
Forum Research,"October 9, 2015",,31,23,37,5,3,±3 pp,"1,427",IVR,6
Nanos Research,"October 9, 2015",,28.6,24.9,34.8,5.5,5.4,±2.8 pp,"1,200",telephone – rolling (1/3),6.2
Angus Reid,"October 9, 2015",,33,25,31,6,3,±3 pp,"1,083",online,2
EKOS,"October 8, 2015",,33.7,20.4,33.8,3.5,7.2,±2.4 pp,"1,618",IVR/telephone – rolling (1/3),0.1
Nanos Research,"October 8, 2015",,31.0,25.0,34.0,5.3,4.2,±2.8 pp,"1,200",telephone – rolling (1/3),3.0
Innovative Research,"October 8, 2015",,30,24,35,5,5,n.a,"3,417",online,5
Mainstreet Research,"October 7, 2015",,36,20,35,4,5,±1.3 pp,"5,630",IVR,1
Léger Marketing,"October 7, 2015",,30,25,34,6,4,±2.1 pp,"2,087",online,4
EKOS,"October 7, 2015",,32.5,21.1,34.1,3.6,7.3,±2.3 pp,"1,753",IVR/telephone – rolling (1/3),1.6
Nanos Research,"October 7, 2015",,31.6,24.2,33.5,5.6,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),1.9
Forum Research,"October 6, 2015",,31,26,35,4,3,±3 pp,"1,447",IVR,4
Abacus Data,"October 6, 2015",,33,24,32,4,5,±2.2 pp,"2,000",online,1
EKOS,"October 6, 2015",,34.1,21.4,32.3,4.0,6.9,±2.3 pp,"1,788",IVR/telephone – rolling (1/3),1.8
Nanos Research,"October 6, 2015",,32.1,23.0,34.3,5.1,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),2.2
EKOS,"October 5, 2015",,35.1,22.2,30.9,4.0,6.6,±2.4 pp,"1,658",IVR/telephone – rolling,4.2
Nanos Research,"October 5, 2015",,31.5,23.1,35.0,4.9,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),3.5
Ipsos Reid,"October 5, 2015",,33,26,32,5,3,±2.9 pp,"1,441",online,1
Nanos Research,"October 4, 2015",,31.0,22.8,35.6,4.8,4.7,±2.8 pp,"1,200",telephone – rolling (1/3),4.6
Nanos Research,"October 3, 2015",,31.0,24.3,35.3,4.3,4.5,±2.8 pp,"1,200",telephone – rolling (1/3),4.3
Nanos Research,"October 2, 2015",,30.5,25.1,34.6,4.5,4.8,±2.8 pp,"1,200",telephone – rolling (1/3),4.1
Mainstreet Research,"October 1, 2015",,37,24,29,4,7,±1.4 pp,"5,197",IVR,8
Innovative Research,"October 1, 2015",,29,29,31,5,6,n.a,"1,562",online,2
Nanos Research,"October 1, 2015",,31.9,25.9,33.5,4.3,3.9,±2.8 pp,"1,200",telephone – rolling (1/3),1.6
Léger Marketing,"September 30, 2015",,30,26,32,6,6,±2.1 pp,"2,107",online,2
Angus Reid,"September 30, 2015",,34,27,27,6,5,±2.5 pp,"2,021",online,7
Nanos Research,"September 30, 2015",,32.8,26.1,31.7,4.8,4.1,±2.8 pp,"1,200",telephone – rolling (1/3),1.1
Forum Research,"September 29, 2015",,34,28,27,5,5,±3 pp,"1,499",IVR,6
Nanos Research,"September 29, 2015",,32.1,26.3,32.2,4.6,4.4,±2.8 pp,"1,200",telephone – rolling (1/3),0.1
EKOS,"September 29, 2015",,33.4,25.6,26.7,5.3,7.8,±1.9 pp,"2,609",IVR,6.7
Nanos Research,"September 28, 2015",,32.6,27.0,31.4,4.4,4.0,±2.8 pp,"1,200",telephone – rolling (1/3),1.2
Ipsos Reid,"September 28, 2015",,32,27,33,4,4,±3.0 pp,"1,354",online,1
Nanos Research,"September 27, 2015",,33.0,26.9,31.6,4.2,3.6,±2.8 pp,"1,200",telephone – rolling (1/3),1.4
Abacus Data,"September 27, 2015",,32,27,29,5,5,±1.6 pp,"3,814",online,3
Nanos Research,"September 26, 2015",,31.5,27.6,32.5,4.0,3.7,±2.8 pp,"1,200",telephone – rolling (1/3),1.0
Nanos Research,"September 25, 2015",,29.6,30.3,31.8,3.1,4.5,±2.8 pp,"1,200",telephone – rolling (1/3),1.5
Nanos Research,"September 24, 2015",,28.9,31.1,32.3,2.5,4.2,±2.8 pp,"1,200",telephone – rolling (1/3),1.2
Innovative Research,"September 24, 2015",,31,29,28,3,8,n.a.,"2,805",online,2
Forum Research,"September 23, 2015",,31,28,31,4,4,±3 pp,"1,557",IVR,Tie
Nanos Research,"September 23, 2015",,30.5,30.8,31.5,2.3,3.7,±2.8 pp,"1,200",telephone – rolling (1/3),0.7
Léger Marketing,"September 23, 2015",,31,29,31,5,5,±2.1 pp,"2,115",online,Tie
Innovative Research,"September 23, 2015",,32,27,30,3,7,±2.5 pp,"1,784",telephone,2
Nanos Research,"September 22, 2015",,31.5,29.1,31.6,2.6,4.2,±2.8 pp,"1,200",telephone – rolling (1/3),0.1
EKOS,"September 22, 2015",,35.4,24.5,26.3,4.2,7.7,±2.0 pp,"2,343",IVR,9.1
Nanos Research,"September 21, 2015",,31.3,29.4,30.3,3.4,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),1.0
Ipsos Reid,"September 21, 2015",,27,30,33,5,4,±3.4 pp,"1,103",online,3
Nanos Research,"September 20, 2015",,31.0,29.1,29.4,3.8,5.5,±2.8 pp,"1,200",telephone – rolling (1/3),1.6
Nanos Research,"September 19, 2015",,30.8,29.1,30.3,3.7,5.1,±2.8 pp,"1,200",telephone – rolling (1/3),0.5
Forum Research,"September 18, 2015",,33,29,29,4,4,±3 pp,922,IVR,4
Nanos Research,"September 18, 2015",,30.4,28.9,30.8,3.0,6.0,±2.8 pp,"1,200",telephone – rolling (1/3),0.4
Nanos Research,"September 17, 2015",,29.1,31.3,31.0,2.3,5.8,±2.8 pp,"1,200",telephone – rolling (1/3),0.3
Nanos Research,"September 16, 2015",,30.1,30.4,30.9,2.5,5.8,±2.8 pp,"1,200",telephone – rolling (1/3),0.5
Forum Research,"September 15, 2015",,32,30,28,4,6,±3 pp,"1,402",IVR,2
Nanos Research,"September 15, 2015",,29.0,31.6,30.1,2.8,5.3,±2.8 pp,"1,200",telephone – rolling (1/3),1.5
Environics,"September 15, 2015",,26,34,29,4,8,±3.6 pp,"1,001",telephone,5
EKOS,"September 15, 2015",,29.6,29.9,27.4,3.7,7.6,±1.9 pp,"2,704",IVR,0.3
Nanos Research,"September 14, 2015",,31.0,30.4,29.6,2.9,4.8,±2.8 pp,"1,200",telephone – rolling (1/3),0.6
Ipsos Reid,"September 13, 2015",,29,32,31,4,4,±3.6 pp,980,online,1
Nanos Research,"September 13, 2015",,30.2,31.3,30.3,2.6,4.3,±2.8 pp,"1,200",telephone – rolling (1/3),1.0
Nanos Research,"September 12, 2015",,31.7,30.8,30.5,2.5,4.1,±2.8 pp,"1,200",telephone – rolling (1/3),0.9
Abacus Data,"September 11, 2015",,29,31,29,4,6,±2.6 pp,"1,500",online,2
Nanos Research,"September 11, 2015",,30.9,30.1,31.7,2.8,4.0,±2.8 pp,"1,200",telephone – rolling (1/3),0.8
Forum Research,"September 10, 2015",,28,36,29,3,3,±3 pp,"1,308",IVR,7
Nanos Research,"September 10, 2015",,30.8,29.9,30.9,3.2,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),0.1
Innovative Research,"September 10, 2015",,28,31,30,4,6,±2.2 pp,"2,121",online,1
Nanos Research,"September 9, 2015",,28.6,30.6,32.1,3.6,4.8,±2.8 pp,"1,200",telephone – rolling (1/3),1.5
Nanos Research,"September 8, 2015",,25.9,31.2,32.5,3.7,6.1,±2.8 pp,"1,200",telephone – rolling (1/3),1.3
Ipsos Reid,"September 8, 2015",,29,34,30,3,3,±3.6 pp,949,online,4
EKOS,"September 8, 2015",,31.8,29.6,26.9,4.6,5.9,±1.9 pp,"2,677",IVR,2.2
Nanos Research,"September 6, 2015",,26.2,32.7,30.8,3.7,6.0,±2.8 pp,"1,200",telephone – rolling,1.9
Léger Marketing,"September 2, 2015",,28,31,30,4,5,±2.1 pp,"2,119",online,1
Forum Research,"September 1, 2015",,24,36,32,4,4,±3 pp,"1,384",IVR,4
EKOS,"September 1, 2015",,29.5,30.2,27.7,4.2,6.4,±1.7 pp,"3,243",IVR,0.7
Abacus Data,"August 28, 2015",,30,31,28,3,7,±2.6 pp,"1,500",online,1
Nanos Research,"August 28, 2015",,28.8,30.8,29.7,4.2,5.4,±3.1 pp,"1,000",telephone – rolling (1/4),1.1
Innovative Research,"August 26, 2015",,30,32,27,4,6,±1.7 pp,"3,274",online,2
Ipsos Reid,"August 26, 2015",,29,33,30,4,4,±3.5 pp,"1,000",online,3
EKOS,"August 25, 2015",,28.1,33.6,26.7,4.1,5.8,±1.7 pp,"3,524",IVR,5.5
Forum Research,"August 24, 2015",,23,40,30,3,3,±3 pp,"1,440",IVR,10
Angus Reid,"August 24, 2015",,32,36,23,4,4,±1.2 pp,"6,226",online,4
Nanos Research,"August 21, 2015",,30.1,29.1,29.9,4.7,5.2,±3.1 pp,"1,000",telephone – rolling (1/4),0.2
Forum Research,"August 19, 2015",,29,34,28,4,4,±3 pp,"1,473",IVR,5
Abacus Data,"August 17, 2015",,29,35,26,3,6,±2.6 pp,"1,439",online,6
Nanos Research,"August 14, 2015",,31.8,29.0,28.7,4.5,5.3,±3.1 pp,"1,000",telephone – rolling (1/4),2.8
Léger Marketing,"August 12, 2015",,27,33,28,5,6,±2.1 pp,"2,095",online,5
Mainstreet Research,"August 11, 2015",,31,30,29,4,6,±1.35 pp,"5,401",IVR,1
Forum Research,"August 11, 2015",,28,34,27,6,4,±3 pp,"1,392",IVR,6
EKOS,"August 11, 2015",,30.4,31.8,24.2,4.2,7.3,±1.8 pp,"3,055",IVR,1.4
Ipsos Reid,"August 10, 2015",,30.8,33.0,27.8,3.9,4.0,±2.38 pp,"2,022",telephone/online,2.2
Nanos Research,"August 7, 2015",,31.2,30.4,28.6,4.2,5.0,±3.1 pp,"1,000",telephone – rolling (1/4),0.8
Forum Research,"August 2, 2015",,28,39,25,5,3,±3 pp,"1,399",IVR,11
