Polling firm,Date,T-Days,Con,Lab,UKIP,Lib Dem,SNP,Green,Sample size
YouGov/Sunday Times,26 May 2017,-13,43.0,36.0,4.0,9.0,4.0,2.0,2003
ICM/The Sun on Sunday,26 May 2017,-13,46.0,32.0,5.0,8.0,4.0,2.0,2044
"ComRes/Sunday Mirror, Independent on Sunday",26 May 2017,-13,46.0,34.0,5.0,8.0,4.0,2.0,2024
ORB/Sunday Telegraph,25 May 2017,-14,44.0,38.0,5.0,7.0,4.0,2.0,1556
YouGov/The Times,25 May 2017,-14,43.0,38.0,4.0,10.0,5.0,1.0,2052
Opinium/Observer,24 May 2017,-15,45.0,35.0,5.0,7.0,5.0,2.0,2002
Panelbase/The Sunday Times,23 May 2017,-16,48.0,33.0,4.0,7.0,5.0,2.0,1019
Kantar Public Archived 6 June 2017 at the Wayback Machine,22 May 2017,-17,42.0,34.0,4.0,9.0,4.0,4.0,1200
ICM/The Guardian,21 May 2017,-18,47.0,33.0,4.0,9.0,4.0,2.0,2004
Survation/Good Morning Britain,20 May 2017,-19,43.0,34.0,4.0,8.0,3.0,2.0,1034
Survation/Mail on Sunday,20 May 2017,-19,46.0,34.0,3.0,8.0,4.0,1.0,1017
YouGov/Sunday Times,19 May 2017,-20,44.0,35.0,3.0,9.0,5.0,2.0,1925
ORB/Sunday Telegraph,18 May 2017,-21,46.0,34.0,7.0,7.0,4.0,2.0,1551
Opinium/Observer,17 May 2017,-22,46.0,33.0,5.0,8.0,5.0,2.0,2003
YouGov/The Times,17 May 2017,-22,45.0,32.0,6.0,8.0,5.0,2.0,1861
Kantar Public Archived 22 June 2017 at the Wayback Machine,15 May 2017,-24,47.0,29.0,6.0,8.0,4.0,4.0,1201
ICM/The Guardian,14 May 2017,-25,48.0,28.0,6.0,10.0,4.0,3.0,2030
GfK/Business Insider,14 May 2017,-25,48.0,28.0,5.0,7.0,6.0,3.0,1952
Survation/Good Morning Britain,13 May 2017,-26,48.0,30.0,4.0,8.0,4.0,2.0,1016
YouGov/Sunday Times,12 May 2017,-27,49.0,31.0,3.0,9.0,5.0,2.0,1630
"ComRes/Sunday Mirror, Independent on Sunday",12 May 2017,-27,48.0,30.0,5.0,10.0,4.0,3.0,2007
Opinium/Observer,12 May 2017,-27,47.0,32.0,5.0,8.0,5.0,2.0,2003
ORB/Sunday Telegraph,11 May 2017,-28,46.0,32.0,6.0,8.0,5.0,4.0,1508
YouGov/The Times,10 May 2017,-29,46.0,30.0,5.0,11.0,6.0,2.0,1651
Panelbase,9 May 2017,-30,48.0,31.0,5.0,8.0,4.0,2.0,1027
Kantar Public Archived 14 August 2017 at the Wayback Machine,8 May 2017,-31,44.0,28.0,8.0,11.0,4.0,5.0,1201
ICM/The Guardian,7 May 2017,-32,49.0,27.0,6.0,9.0,4.0,3.0,2038
Survation/Good Morning Britain,6 May 2017,-33,47.0,30.0,4.0,7.0,5.0,3.0,1005
YouGov/Sunday Times,5 May 2017,-34,47.0,28.0,6.0,11.0,5.0,2.0,1644
ORB/Sunday Telegraph,4 May 2017,-35,46.0,31.0,8.0,9.0,3.0,3.0,1550
Opinium/Observer,3 May 2017,-36,46.0,30.0,7.0,9.0,4.0,2.0,2005
YouGov/The Times,3 May 2017,-36,48.0,29.0,5.0,10.0,5.0,2.0,2066
Panelbase,2 May 2017,-37,47.0,30.0,5.0,10.0,5.0,2.0,1034
ICM/The Guardian,2 May 2017,-37,47.0,28.0,8.0,8.0,3.0,4.0,1970
Qriously,1 May 2017,-38,44.0,28.0,8.0,9.0,3.0,4.0,1240
Kantar Public Archived 8 July 2017 at the Wayback Machine,2 May 2017,-37,48.0,24.0,7.0,11.0,4.0,4.0,1205
YouGov/Sunday Times,28 Apr 2017,-41,44.0,31.0,6.0,11.0,4.0,2.0,1612
Opinium/Observer,28 Apr 2017,-41,47.0,30.0,7.0,8.0,5.0,3.0,2007
ORB/Sunday Telegraph,27 Apr 2017,-42,42.0,31.0,8.0,10.0,4.0,4.0,2093
YouGov/The Times,26 Apr 2017,-43,45.0,29.0,7.0,10.0,5.0,3.0,1590
Ipsos MORI/Evening Standard[permanent dead link],25 Apr 2017,-44,49.0,26.0,4.0,13.0,4.0,1.0,1004
ICM/The Guardian,24 Apr 2017,-45,48.0,27.0,7.0,10.0,4.0,3.0,2024
Panelbase,24 Apr 2017,-45,49.0,27.0,5.0,10.0,5.0,3.0,1026
Kantar Public Archived 26 April 2017 at the Wayback Machine,24 Apr 2017,-45,46.0,24.0,8.0,11.0,5.0,4.0,1196
Survation/Mail on Sunday,22 Apr 2017,-47,40.0,29.0,11.0,11.0,4.0,2.0,2072
YouGov/Sunday Times,21 Apr 2017,-48,48.0,25.0,5.0,12.0,6.0,3.0,1590
ICM/ITV,21 Apr 2017,-48,48.0,26.0,8.0,10.0,4.0,3.0,2027
ORB/Daily Telegraph,20 Apr 2017,-49,44.0,29.0,10.0,8.0,5.0,4.0,1860
ComRes/Sunday Mirror Archived 22 April 2017 at the Wayback Machine,20 Apr 2017,-49,50.0,25.0,7.0,11.0,4.0,3.0,2074
Opinium/Observer,20 Apr 2017,-49,45.0,26.0,9.0,11.0,4.0,3.0,2003
YouGov,20 Apr 2017,-49,44.0,25.0,9.0,12.0,6.0,3.0,12746
YouGov/The Times,19 Apr 2017,-50,48.0,24.0,7.0,12.0,6.0,2.0,1727
ICM/The Guardian,18 Apr 2017,-51,46.0,25.0,8.0,11.0,4.0,4.0,1000
ICM/The Guardian,17 Apr 2017,-52,44.0,26.0,11.0,10.0,4.0,4.0,2052
YouGov/The Times,13 Apr 2017,-56,44.0,23.0,10.0,12.0,6.0,4.0,2069
"ComRes/Sunday Mirror, Independent on Sunday",13 Apr 2017,-56,46.0,25.0,9.0,11.0,4.0,4.0,2026
Opinium/Observer,13 Apr 2017,-56,38.0,29.0,14.0,7.0,5.0,5.0,2002
YouGov/The Times,6 Apr 2017,-63,42.0,25.0,11.0,11.0,8.0,3.0,1651
ICM/The Guardian,2 Apr 2017,-67,43.0,25.0,11.0,11.0,5.0,4.0,2005
YouGov/The Times,27 Mar 2017,-73,43.0,25.0,10.0,11.0,6.0,3.0,1957
YouGov/The Times,21 Mar 2017,-79,41.0,25.0,12.0,11.0,6.0,3.0,1627
ICM/The Guardian,19 Mar 2017,-81,45.0,26.0,10.0,9.0,4.0,4.0,2012
"ComRes/Sunday Mirror, Independent on Sunday",17 Mar 2017,-83,42.0,25.0,10.0,12.0,5.0,4.0,2026
Opinium/Observer,17 Mar 2017,-83,41.0,28.0,13.0,8.0,6.0,3.0,2007
GfK,15 Mar 2017,-85,41.0,28.0,12.0,7.0,5.0,6.0,1938
YouGov/The Times,14 Mar 2017,-86,44.0,27.0,9.0,10.0,5.0,4.0,1631
YouGov/The Times,9 Mar 2017,-91,44.0,25.0,11.0,10.0,6.0,3.0,1598
ICM/The Guardian,5 Mar 2017,-95,44.0,28.0,11.0,8.0,4.0,5.0,1787
YouGov/The Times,28 Feb 2017,-100,42.0,25.0,12.0,11.0,6.0,4.0,1666
YouGov/The Times,22 Feb 2017,-106,41.0,25.0,13.0,11.0,6.0,3.0,2060
ICM/The Guardian,19 Feb 2017,-109,44.0,26.0,13.0,8.0,4.0,4.0,2028
Opinium/Observer,16 Feb 2017,-112,40.0,27.0,14.0,8.0,5.0,4.0,2004
Ipsos MORI/Evening Standard,14 Feb 2017,-114,40.0,29.0,9.0,13.0,5.0,4.0,1014
YouGov/The Times,13 Feb 2017,-115,40.0,24.0,15.0,11.0,6.0,4.0,2052
"ComRes/Sunday Mirror, Independent on Sunday",10 Feb 2017,-118,41.0,26.0,11.0,11.0,5.0,4.0,1218
YouGov/The Times,6 Feb 2017,-122,40.0,24.0,14.0,11.0,6.0,4.0,1984
ICM/The Guardian,5 Feb 2017,-123,42.0,27.0,12.0,10.0,5.0,4.0,1984
Opinium/Observer,1 Feb 2017,-127,37.0,30.0,14.0,8.0,5.0,5.0,2005
YouGov/The Times,31 Jan 2017,-128,40.0,26.0,12.0,11.0,6.0,4.0,1705
YouGov/The Times,24 Jan 2017,-135,40.0,24.0,14.0,10.0,6.0,3.0,1643
ICM/The Guardian,22 Jan 2017,-137,42.0,26.0,13.0,10.0,4.0,5.0,2052
YouGov/The Times,18 Jan 2017,-141,42.0,25.0,12.0,11.0,6.0,3.0,1654
Survation/Mail on Sunday,13 Jan 2017,-146,38.0,29.0,13.0,10.0,4.0,2.0,1177
Opinium/Observer,12 Jan 2017,-147,38.0,30.0,14.0,7.0,5.0,4.0,2007
YouGov/The Times,10 Jan 2017,-149,39.0,28.0,13.0,11.0,6.0,3.0,1660
YouGov/The Times,4 Jan 2017,-155,39.0,26.0,14.0,10.0,6.0,4.0,1740
