Date,Polling firm,Sample size,LAB,NAT,GRN,ACT,TPM,NZF,TOP,NCP,Lead
20–25 Oct 2022,Horizon Research,"1,154",29.7,26.6,13,13.5,2.2,7.2,2,1.8,3.1
26 Sep – 23 Oct 2022,Roy Morgan,951,29,32,15.5,12.5,3,3.5,3,0.5,3
2–11 Oct 2022,Taxpayers' Union–Curia,"1,000",34.4,39.2,7.2,9.4,2.1,2.1,3.4,1,4.8
1 Oct 2022,Talbot Mills,,35,35,9,11,2.2,4,–,–,Tie
29 Aug – 25 Sep 2022,Roy Morgan,942,29.5,36,12.5,12.5,3.5,1,2.5,0.5,6.5
17–21 Sep 2022,1 News–Kantar Public,"1,001",34,37,9,9,1.6,3,1.3,1,3
1–9 Sep 2022,Taxpayers' Union–Curia,"1,000",33.4,37,9.9,12.4,1.5,1.6,0.7,1.5,3.6
31 Aug – 7 Sep 2022,Talbot Mills,,35,38,8,9,3,–,–,–,3
25 Jul – 21 Aug 2022,Roy Morgan,947,35,35.5,9,10.5,5,1.5,1,0.5,0.5
3–11 Aug 2022,Taxpayers' Union–Curia,"1,200",35.2,34,9.5,11,3.5,2.6,–,–,1.2
28 Jul – 8 Aug 2022,Talbot Mills,,36,37,9,10,–,–,–,–,1
30 Jul – 3 Aug 2022,1 News–Kantar Public,"1,023",33,37,9,11,2.3,2.6,1.9,0.7,4
29 Jul – 3 Aug 2022,Horizon Research,"1,044",34.1,31.4,10.2,10.7,2.2,3.5,1.7,2.7,2.7
1 Jul 2022,Roy Morgan,937,34,35,10.5,11,4,1.5,2.5,1,1
3–10 Jul 2022,Taxpayers' Union–Curia,"1,200",34.7,37,8.5,10,3.7,2.8,–,–,2.3
30 May – 26 Jun 2022,Roy Morgan,947,33.5,39,10,9.5,1.5,1.5,2,0.5,5.5
1–12 Jun 2022,Taxpayers' Union–Curia,"1,200",34.2,37.4,8.3,9.4,1.8,2.3,3,1.4,3.2
2–10 Jun 2022,Talbot Mills,"1,200",36,35,10,8,3.1,3.3,–,–,1
26 Apr – 22 May 2022,Roy Morgan,934,31.5,40,11.5,10,1,3,1,0.5,8.5
21–25 May 2022,1 News–Kantar Public,"1,002",35,39,10,7,1.9,1.3,1.7,1.2,4
4–11 May 2022,Taxpayers' Union–Curia,"1,000",34.2,36.8,9.7,10.9,2.4,1.8,1.4,1.3,2.6
29 Apr – 10 May 2022,Talbot Mills,,37,36,8,7,3,4,–,–,1
18–27 Apr 2022,Newshub–Reid Research,"1,000",38.2,40.5,8.4,6.4,2.5,1.7,0.9,0.7,2.3
28 Mar – 24 Apr 2022,Roy Morgan,918,33.5,37.5,10.5,10,1.5,2.5,2,0.5,4
7–13 Apr 2022,Taxpayers' Union–Curia,"1,000",36.8,37.8,9.4,8.4,3.6,1.7,–,–,1
28 Feb – 27 Mar 2022,Roy Morgan,944,32,38,10.5,9,2,4,1.5,0.5,6
"14–15 Mar 2022",Taxpayers' Union–Curia,"1,000",36.2,35.3,12.4,11.2,0.2,1.8,0.1,0.6,0.9
5–8 Mar 2022,1 News–Kantar Public,"1,000",37,39,9,8,2.3,2.2,1.3,0.9,2
31 Jan – 27 Feb 2022,Roy Morgan,963,32,38,11,11.5,2,2,1,1,6
1–10 Feb 2022,Taxpayers' Union–Curia,"1,000",42.3,38.4,6.3,6.6,1,1.5,2,–,3.9
22 Jan – 4 Feb 2022,Newshub–Reid Research,"1,000",44.3,31.3,9.6,8,2,1.8,1.5,1.1,13
4–30 Jan 2022,Roy Morgan,951,33,35,10.5,13.5,2.5,2.5,1.5,1,2
22–26 Jan 2022,1 News–Kantar Public,"1,000",40,32,9,11,1.6,1.8,1.6,1,8
10–17 Jan 2022,Taxpayers' Union–Curia,"1,000",41.2,33,10.7,11.5,0.5,0.9,1.1,–,8.2
22 Nov – 19 Dec 2021,Roy Morgan,967,35.5,31.5,8.5,18.5,1,2,1,0.5,4
1–8 Dec 2021,Taxpayers' Union–Curia,"1,000",39.5,32.6,10.9,10.6,3,2.3,–,–,6.9
25 Oct – 21 Nov 2021,Roy Morgan,951,36,26.5,10.5,17.5,3,2.5,1.5,1,9.5
10–17 Nov 2021,Newshub–Reid Research,"1,000",42.7,26.9,7.2,16,2.1,2.5,1.2,0.9,15.8
6–10 Nov 2021,1 News–Kantar Public,"1,001",41,28,9,14,0.9,3.3,1.2,1,13
1–8 Nov 2021,Taxpayers' Union–Curia,"1,000",39.3,26.2,8.6,15.9,2.3,1.7,–,–,13.1
29 Oct – 3 Nov 2021,Labour–Talbot Mills,"1,023",41,24,9,17,2.4,4.2,–,–,17
27 Sep – 24 Oct 2021,Roy Morgan,929,39.5,26,10.5,16,2,2.5,1,1.5,13.5
3–11 Oct 2021,Taxpayers' Union–Curia,"1,000",44.8,22.5,6.4,16.6,1.5,3.6,–,–,22.3
28 Sep – 5 Oct 2021,Labour–Talbot Mills,"1,200",46,22,7,16,1.9,3.8,–,–,24
30 Aug – 26 Sep 2021,Roy Morgan,940,45.5,23,9.5,16,2,1.5,1.5,–,22.5
22–26 Sep 2021,1 News–Kantar Public,"1,001",43,26,8,14,2.1,2.5,1.2,1.3,17
5–9 Sep 2021,Taxpayers' Union–Curia,"1,000",45.8,21.3,9.6,14.9,1.2,2.7,–,–,24.5
31 Aug – 6 Sep 2021,Labour–Talbot Mills,"1,050",45,26,6,13,2,4.1,–,–,19
26 Jul – 22 Aug 2021,Roy Morgan,940,39.5,25,12,13,2.5,2.5,2,–,14.5
21 Jul – 1 Aug 2021,Labour–Talbot Mills,"1,216",43,28,7,13,1.7,4.4,–,–,15
22–29 Jul 2021,Newshub–Reid Research,"1,000",43,28.7,8.5,11.1,1.9,3.4,0.8,1.6,14.3
28 Jun – 25 Jul 2021,Roy Morgan,945,39.5,29,10,13,2.5,2,3,–,10.5
24 Jun – 1 Jul 2021,Labour–Talbot Mills,"1,199",48,24,8,11,1.5,5,–,–,24
31 May – 27 Jun 2021,Roy Morgan,927,38.5,29.5,12.5,11.5,2.5,1.5,2,–,9
22–26 May 2021,1 News–Kantar Public,"1,002",46,29,8,9,1.8,1.2,1.8,1.5,17
26 Apr – 23 May 2021,Roy Morgan,932,45,28.5,11,9,1.5,2,1.5,–,16.5
7–13 May 2021,Newshub–Reid Research,"1,000",52.7,27,7.1,6.9,1.2,1.9,1.3,1.2,25.7
29 Mar – 25 Apr 2021,Roy Morgan,933,41.5,29.5,13.5,9,2.5,1,0.5,–,12
21–28 Mar 2021,Roy Morgan,924,45.5,23,12,11,1,2.5,2,–,22.5
9–13 Mar 2021,1 News–Kantar Public,"1,006",49,27,9,8,1.5,1.8,1.2,1.4,22
25 Jan – 21 Feb 2021,Roy Morgan,924,45,29,13.5,7.5,1,1.5,1,–,16
4–24 Jan 2021,Roy Morgan,937,47,25,11.5,9,2,2,1.5,–,22
23 Nov – 13 Dec 2020,Roy Morgan,923,44,28,10.5,10,2,2,2,–,16
28 Nov – 2 Dec 2020,1 News–Kantar Public,"1,004",53,25,8,8,1.5,1.6,0.5,1.1,28
26 Oct – 22 Nov 2020,Roy Morgan,939,44,25.5,12.5,10.5,1.5,1,2,–,18.5
