"Date",Polling firm,"Sample size",Con,Lab,UKIP,Lib Dem,SNP,Green,Others,Lead
28 Feb,YouGov/The Times,"1,666",42%,25%,12%,11%,6%,4%,1%,17%
22 Feb,YouGov/The Times,"2,060",41%,25%,13%,11%,6%,3%,1%,16%
19 Feb,ICM/The Guardian,"2,028",44%,26%,13%,8%,4%,4%,1%,18%
16 Feb,Opinium/Observer,"2,004",40%,27%,14%,8%,5%,4%,2%,13%
14 Feb,Ipsos MORI/Evening Standard,"1,014",40%,29%,9%,13%,5%,4%,0%,11%
13 Feb,YouGov/The Times,"2,052",40%,24%,15%,11%,6%,4%,2%,16%
10 Feb,"ComRes/Sunday Mirror, Independent on Sunday","1,218",41%,26%,11%,11%,5%,4%,2%,15%
6 Feb,YouGov/The Times,"1,984",40%,24%,14%,11%,6%,4%,1%,16%
5 Feb,ICM/The Guardian,"1,984",42%,27%,12%,10%,5%,4%,1%,15%
1 Feb,Opinium/Observer,"2,005",37%,30%,14%,8%,5%,5%,2%,7%
31 Jan,YouGov/The Times,"1,705",40%,26%,12%,11%,6%,4%,1%,14%
24 Jan,YouGov/The Times,"1,643",40%,24%,14%,10%,6%,3%,0%,16%
22 Jan,ICM/The Guardian,"2,052",42%,26%,13%,10%,4%,5%,1%,16%
18 Jan,YouGov/The Times,"1,654",42%,25%,12%,11%,6%,3%,0%,17%
13 Jan,Survation/Mail on Sunday,"1,177",38%,29%,13%,10%,4%,2%,4%,9%
12 Jan,Opinium/Observer,"2,007",38%,30%,14%,7%,5%,4%,2%,8%
10 Jan,YouGov/The Times,"1,660",39%,28%,13%,11%,6%,3%,1%,11%
4 Jan,YouGov/The Times,"1,740",39%,26%,14%,10%,6%,4%,1%,13%
